ID,Value_lang,ReqID,ParentWidgetID
7,Kontrolliert: %2476w,2,4
8,Kontrollierte Festungen der Allianz,3,4
9,Letzter Sieger: Allianz,4,4
10,Kontrolliert: %2478w,2,5
11,Kontrollierte Festungen der Horde,3,5
12,Letzter Sieger: Horde,4,5
13,Verbleibende Zeit: %4248k,2,6
16,Sammelt %14684w Azerit.,14,7
17,Azeritdetektor in: %13654k,2,8
18,Zeit bis zur Aktivierung des Azeritdetektors,3,8
19,,4,8
1406,%12953w,2,497
1407,Qirajipunkte der Allianz,3,497
1408,,4,497
1409,%12952w,2,498
1410,Qirajipunkte der Horde,3,498
1411,,4,498
1412,Feindliche Angreifer = %2454w,2,499
1413,Anzahl feindlicher Angreifer im Stützpunkt der Horde.,3,499
1414,,4,499
1415,Feindliche Angreifer = %2454w,2,500
1416,Anzahl feindlicher Angreifer im Stützpunkt der Horde.,3,500
1417,,4,500
1418,Verbleibende Wachen: %2491w/%2493w,2,501
1419,,3,501
1420,,4,501
1421,Verbleibende Wachen: %2491w/%2493w,2,503
1422,,3,503
1423,,4,503
1424,Verbleibende Zeit - %2509w:%2512w%2510w,2,504
1425,"Verbleibende Zeit, bis die Geistertürme wieder erobert werden können.",3,504
1426,,4,504
1427,Medivhs verbleibender Schild: %2540w%,2,507
1428,,3,507
1429,,4,507
1430,Violettes Team: %3600w überlebende Spieler,2,508
1431,,3,508
1432,,4,508
1433,Goldenes Team: %3601w überlebende Spieler,2,509
1434,,3,509
1435,,4,509
1436,Westliches Leuchtsignal,2,510
1437,Kontrollierte Leuchtsignale der Allianz,3,510
1438,,4,510
1439,Westliches Leuchtsignal,2,511
1440,Kontrollierte Leuchtsignale der Horde,3,511
1441,,4,511
1442,Westliches Leuchtsignal,2,512
1443,Kontrollierte neutrale Leuchtsignale,3,512
1444,,4,512
1445,Östliches Leuchtsignal,2,513
1446,Kontrollierte Leuchtsignale der Allianz,3,513
1447,,4,513
1448,Östliches Leuchtsignal,2,514
1449,Kontrollierte Leuchtsignale der Horde,3,514
1450,,4,514
1451,Östliches Leuchtsignal,2,515
1452,Kontrollierte neutrale Leuchtsignale,3,515
1453,,4,515
1454,Goldenes Team: %3601w überlebende Spieler,2,516
1455,,3,516
1456,,4,516
1457,Violettes Team: %3600w überlebende Spieler,2,517
1458,,3,517
1459,,4,517
1460,Kontrollierte Türme: %2621w,2,518
1461,Kontrollierte Türme der Allianz,3,518
1462,,4,518
1463,Kontrollierte Türme: %2622w,2,519
1464,Kontrollierte Türme der Horde,3,519
1465,,4,519
1466,Brandsätze platziert = %2436w/5,2,522
1467,Anzahl von platzierten Brandsätzen in Durnholde.,3,522
1468,,4,522
1475,Verbleibende Zeit - %2509w:%2512w%2510w,2,525
1476,"Verbleibende Zeit, bis die Geistertürme wieder erobert werden können.",3,525
1477,,4,525
1478,Verbleibende Zeit - %2509w:%2512w%2510w,2,526
1479,"Verbleibende Zeit, bis die Geistertürme wieder erobert werden können.",3,526
1480,,4,526
1481,Geöffnete Zeitrisse: %2784w/18,2,527
1482,,3,527
1483,,4,527
1484,Derzeitige Welle = %2842w von 8,2,528
1485,Derzeitige Welle,3,528
1486,,4,528
1487,Nördliches Warptor: %2880w%,2,529
1488,,3,529
1489,,4,529
1490,Südliches Warptor: %2881w%,2,530
1491,,3,530
1492,,4,530
1493,Goldenes Team: %3601w überlebende Spieler,2,531
1494,,3,531
1495,,4,531
1496,Violettes Team: %3600w überlebende Spieler,2,532
1497,,3,532
1498,,4,532
1499,Verbleibender Schild: %3054w%,2,533
1500,Anteil des noch verbleibenden Schilds.,3,533
1501,,4,533
1502,Verbleibende Schützen: %3082w/12,2,534
1503,Anzahl der noch lebenden Verteidiger von Theramore.,3,534
1504,,4,534
1505,Zeit bis zur Opferung: %3106w Min.,2,535
1506,"Verbleibende Zeit, bis die Gefangenen getötet werden.",3,535
1507,,4,535
1508,Verstärkung: %3127w,2,536
1509,Verstärkung der Allianz,3,536
1510,,4,536
1511,Verstärkung: %3128w,2,537
1512,Verstärkung der Horde,3,537
1513,,4,537
1514,Entdeckte verseuchte Kisten = %3480w/5,2,539
1515,Anzahl der entdeckten verseuchten Kornkisten.,3,539
1516,,4,539
1517,Angreiferwelle = %3504w/10,2,541
1518,Anzahl angreifender Dienerwellen der Geißel.,3,541
1519,,4,541
1520,Fahrzeuge: %3490w/%3491w,2,542
1521,Status der Horde,3,542
1522,,4,542
1523,Fahrzeuge: %3680w/%3681w,2,543
1524,Status der Allianz,3,543
1525,,4,543
1526,Zentrifugenkonstrukte: %3486w verbleiben,2,544
1527,,3,544
1528,,4,544
1529,Angreifer,2,546
1530,Status der Allianz,3,546
1531,,4,546
1532,Verteidiger,2,547
1533,Status der Horde,3,547
1534,,4,547
1535,Ende der Runde: %3557k,2,548
1536,Die Runde endet nach Ablauf dieser Zeit.,3,548
1537,,4,548
1538,Verteidiger,2,549
1539,Status der Allianz,3,549
1540,,4,549
1541,Angreifer,2,550
1542,Status der Horde,3,550
1543,,4,550
1544,Bonuszeit: %3557k,2,551
1545,Verbleibende Zeit für Bonuspunkte.,3,551
1546,,4,551
1547,Ende der Runde: %3557k,2,552
1548,Die Runde endet nach Ablauf dieser Zeit.,3,552
1549,,4,552
1550,Verbleibende Streitmächte des Lichts: %3590w,2,553
1551,Verbleibende Streitmächte des Lichts!,3,553
1552,,4,553
1553,Verbleibende Streitmächte der Geißel: %3591w,2,554
1554,Verbleibende Streitmächte der Geißel!,3,554
1555,,4,554
1556,"%3604w Minuten, bis die Schlacht um die Kapelle des Hoffnungsvollen Lichts beginnt!",2,555
1557,"Verbleibende Zeit, bis die Schlacht um die Kapelle des Hoffnungsvollen Lichts beginnt!",3,555
1558,,4,555
1559,Die Schlacht um die Kapelle des Hoffnungsvollen Lichts hat begonnen!,2,556
1560,,3,556
1561,,4,556
1562,Goldenes Team: %3601w überlebende Spieler,2,557
1563,,3,557
1564,,4,557
1565,Violettes Team: %3600w überlebende Spieler,2,558
1566,,3,558
1567,,4,558
1568,Goldenes Team: %3601w überlebende Spieler,2,559
1569,,3,559
1570,,4,559
1571,Violettes Team: %3600w überlebende Spieler,2,560
1572,,3,560
1573,,4,560
1574,Verbleibende Zeit: %3781k,2,561
1575,Das Spiel endet nach Ablauf dieser Zeit.,3,561
1576,,4,561
1577,Kontrolliert von der Allianz,2,562
1578,,3,562
1579,,4,562
1580,Kontrolliert von der Horde,2,563
1581,,3,563
1582,,4,563
1583,Nächster Kampf: %4354k,2,564
1584,Die Schlacht um den Tausendwintersee wird nach Ablauf dieser Zeit fortgesetzt.,3,564
1585,,4,564
1586,Integrität des Gefängnissiegels: %3815w%,2,565
1587,,3,565
1588,,4,565
1589,Portale geöffnet: %3810w/18,2,566
1590,,3,566
1591,,4,566
1592,Die Schlacht um Unterstadt hat begonnen!,2,567
1593,Die Schlacht um Unterstadt hat begonnen!,3,567
1594,,4,567
1595,"%3877w Min., bis die Schlacht um Unterstadt beginnt!",2,568
