Name_lang,ID,Priority
Zurückgekehrt,1,0
Neuheiten,2,1000
Feier,3,1100
Plunderstorm,4,1100
Paladin,5,235
Schurke,6,225
Priester,7,230
Hexenmeister,8,215
Krieger,9,210
Mönch,10,240
Druide,11,260
Todesritter,12,270
Dämonenjäger,13,265
Magier,14,245
Schamane,15,220
Jäger,16,250
Rufer,17,255
Stoff,18,310
Leder,19,320
Platte,20,340
Kette,21,330
Haustiere,22,1100
Reittiere,23,1200
Spielzeuge,24,1000
Floral,25,1100
Sommerspaß,26,1100
Meerestiefen,27,1100
Herzige Hexen,28,1100
Hochseebeute,29,1100
Waffensammlungen,30,900
Nahkampfwaffen,31,800
Schildhandwaffe,32,800
Rüstungstransmogrifikation,33,1000
Distanzwaffen,34,800
Rüstungssammlungen,35,1100
Ikonisch,36,1100
Sammelsurium,37,800
