Money,Title_lang,Description_lang,ID,DecorID,DecorQuantity,Field_12_0_0_63534_006,Favor,RewardQuestID
50,tiger test reward [DNT],,1,0,0,0,0,0
0,Meilenstein 1,Neue Gegenstände werden bei Verkäufern für Unterfangen freigeschaltet,2,0,0,0,0,0
0,Meilenstein 2,Neue Gegenstände werden bei Verkäufern für Unterfangen freigeschaltet,3,0,0,0,0,0
0,Meilenstein 3,Neue Gegenstände werden bei Verkäufern für Unterfangen freigeschaltet,4,0,0,0,0,0
0,Belohnung für abgeschlossenes Unterfangen,,5,0,0,0,0,93262
0,Belohnung für abgeschlossenes Unterfangen,,21,0,0,0,0,93262
0,Belohnung für abgeschlossenes Unterfangen,,22,0,0,0,0,93262
0,Belohnung für abgeschlossenes Unterfangen,,23,0,0,0,0,93262
0,Belohnung für abgeschlossenes Unterfangen,,24,0,0,0,0,93262
0,Belohnung für abgeschlossenes Unterfangen,,25,0,0,0,0,93262
0,Belohnung für abgeschlossenes Unterfangen,,26,0,0,0,0,93262
0,Belohnung für abgeschlossenes Unterfangen,,27,0,0,0,0,93262
0,Belohnung für abgeschlossenes Unterfangen,,28,0,0,0,0,93262
0,Belohnung für abgeschlossenes Unterfangen,,29,0,0,0,0,93262
