Name_lang,Description_lang,ID,GarrTalentTreeID,Tier,UiOrder,IconFileDataID,PlayerConditionID,GarrAbilityID,Flags,TalentType,PrerequisiteTalentID,ResearchCostSource,ActiveDurationSecs,GarrTalentSocketPropertiesID
Kampfrausch,"Ermöglicht die Fähigkeit 'Kampfrausch', welche die Erfolgschance der ersten entsandten Mission jedes Tages um ${$a701}% erhöht.",39,31,0,1,136012,41962,578,0,0,0,0,0,0
Reinkarnation,"Ermöglicht die Fähigkeit 'Reinkarnation' für alle Missionen, welche bei erfolgreicher Mission eine Chance von ${$a772}% gewährt, einen gefallenen Trupp mit $m772 Vitalität wieder ins Leben zu rufen.",40,31,1,1,451167,41955,646,0,0,0,0,0,0
Gabe der Vorfahren,"Gewährt eine Chance, dass Eure Champions nach einer erfolgreichen Mission mit Waffen oder Ausrüstung für Champions zurückkehren.",41,31,2,1,237574,41958,788,0,0,0,0,0,0
Legenden der Ahnen,"Erhöht die Anzahl der legendären Gegenstände, die Ihr anlegen könnt, um ${$a898}.",42,31,5,0,237571,41961,0,0,0,0,0,0,0
Elementarwissen,"Neu rekrutierte geringe Elementare werden zu großen Elementaren, was ihre Chance auf erfolgreiche Missionsabschlüsse um ${$a638-$a637}% erhöht.",43,31,3,0,893777,41959,0,0,0,0,0,0,0
Flüstern der Erde,"Neu rekrutierte Erdenrufer werden zu Geomanten des Irdenen Rings. Diese erhalten:

|TInterface\ICONS\ABILITY_RHYOLITH_MAGMAFLOW_WAVE.BLP:20:20:0:0|t |CffffffffMagmasturm|R
$@garrabdesc583",44,31,3,1,451165,41959,0,0,0,0,0,0,0
Erhebt Euch!,"Gestattet es Euch, Aszendenten zu rekrutieren.

Aszendenten erhöhen die Erfolgschance von Missionen mit entweder |C00b3ffffGefahren|R, |C00b3ffffZaubern|R oder |C00b3ffffDienern|R (zufällige Auswahl) um ${$a650}% und ermöglichen zusätzlich:

|TInterface\ICONS\ABILITY_DUALWIELDSPECIALIZATION.BLP:20:20:0:0|t |CffffffffZorn der Aszendenten|R
$@garrabdesc531",46,31,4,1,132148,41960,0,0,0,0,0,0,0
Geisterpfoten,"Gestattet es Euch, im Austausch gegen Ordensressourcen einen Arbeitsauftrag für 1 Eurer 3 wöchentlich erhältlichen Siegel des verheerten Schicksals zu erteilen.",49,31,4,0,636335,41960,0,0,0,0,0,0,0
Ausbildungsgelände,"Erhöht die maximale Anzahl Eurer rekrutierbaren geringen und großen Elementare, Erdenrufer sowie Geomanten um ${$a702}.",52,31,2,0,135776,41958,579,0,0,0,0,0,0
Elementarbindung,"Gewährt Zugang zu den Lords von Feuer, Erde, Wind und Wasser. Jeden Tag erscheint ein zufällig ausgewählter Lord in Eurer Ordenshalle und bietet Euch einen mächtigen Kampfbonus.",53,31,1,0,135988,41955,0,0,0,0,0,0,0
