Text_lang,Text1_lang,ID,LanguageID,ConditionID,EmotesID,Flags,ChatBubbleDurationMs,VoiceOverPriorityID,SoundKitID[0],SoundKitID[1],EmoteID[0],EmoteID[1],EmoteID[2],EmoteDelay[0],EmoteDelay[1],EmoteDelay[2]
"Hilfe, Hilfe! Ich werde bedrängt!",,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0
Selbstzerstörungssequenz aktiviert.,,3927,0,0,0,69,0,0,0,0,0,0,0,0,0,0
DAS FEUER WIRD EUCH LÄUTERN!,,9426,0,0,0,71,0,0,8046,0,0,0,0,0,0,0
,"Kommt mit, hier entlang.",15708,7,0,0,68,0,0,0,44118,0,0,0,0,0,0
"Das ist weit genug, Orc! Steigt ab und unterwerft Euch oder sterbt!","Das ist weit genug, Orc! Steigt ab und unterwerft Euch oder sterbt!",33630,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
,"Geht uns aus dem Weg, Ihr Trottel!",33631,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
Verlust an Leben unvermeidlich.,,33996,0,0,0,65,0,0,0,0,0,0,0,0,0,0
"Ich tue, was ich muss.",,33997,0,0,0,65,0,0,0,0,0,0,0,0,0,0
Eure Zeit ist abgelaufen.,,34001,0,0,0,65,0,0,0,0,0,0,0,0,0,0
"Vielleicht ist es Eure Unvollkommenheit, die Quelle Eures freien Willens, die Euch entgegen allen berechneten kosmischen Erwartungen durchhalten lässt. Ihr obsiegt dort, wo die perfekten Schöpfungen der Titanen versagt haben.",,34012,0,0,0,65,0,0,0,0,0,0,0,0,0,0
,Kapitän! Schiffswrack steuerbord voraus! Und ich sehe Überlebende!,39672,0,0,0,71,0,0,0,20916,0,0,0,0,0,0
Und jetzt sammelt Euch! Noch in dieser Stunde werden wir Orcs töten.,,41964,0,0,1,71,0,0,21208,0,0,0,0,0,0,0
Angetreten!,,41984,0,0,22,71,0,0,21205,0,0,0,0,0,0,0
Diese Insel am Horizont ist unser Ziel.,,42092,0,0,1,71,0,0,21185,0,0,0,0,0,0,0
"Dort werden wir unsere Pflicht tun, für unseren König, für Sturmwind und seine Bürger...",,42093,0,0,1,71,0,0,21186,0,0,0,0,0,0,0
"Höllschrei hat seine besten Truppen zur Insel geschickt. Wir sorgen dafür, dass keiner von ihnen heimkehrt...",,42095,0,0,1,71,0,0,21188,0,0,0,0,0,0,0
Sturmwind wird niemals fallen!,,42097,0,0,53,71,0,0,21190,0,0,0,0,0,0,0
,"Auf, meine Naga! Heißt den mächtigen Gezeitenjäger in Azeroth willkommen!",42407,0,0,1,118,0,0,0,18874,0,0,0,0,0,0
Ihr und Eure Schuppenwürmer seid machtlos gegen mich…,,42434,0,0,0,118,0,0,19457,0,0,0,0,0,0,0
,Ihr Narr! Dies wird Euer letztes Stündlein!,42435,0,0,15,118,0,0,0,18875,0,0,0,0,0,0
"Ihr geht zu weit, Schlange. Für dieses Sakrileg werdet Ihr leiden!",,42518,0,0,0,118,0,0,19463,0,0,0,0,0,0,0
,"Zu mir, Diener! Schlagt zu!",42545,0,0,15,118,0,0,0,18876,0,0,0,0,0,0
,Jetzt! Lasst den Kraken frei!,44211,0,0,15,118,0,0,0,18877,0,0,0,0,0,0
Aaaaaahhh...,,44212,0,0,0,118,0,0,19464,0,0,0,0,0,0,0
,"Folgt mir, meine Hübschen! Das Reich des mächtigen Neptulon ist endlich unser!",44213,0,0,15,118,0,0,0,18878,0,0,0,0,0,0
