ID,Name_lang,OptionEnum,TransmogOutfitSlotInfoID,Flags,OtherSlot,ItemCostMultiplier,IllusionCostMultiplier
1,Einhandwaffe,1,13,0,0,3,0
2,Einhandwaffe,1,14,0,0,3,0
3,Dolch,6,13,0,0,3,0
4,Dolch,6,14,0,0,3,0
5,Zweihändige Waffe,2,13,4,0,6,0
6,Zweihändige Waffe (Furor),7,14,0,0,3,0
7,Distanzwaffe,3,13,5,0,3,0
8,Schild,5,14,1,0,3,0
9,Schildhand,4,14,1,0,3,0
10,Zweihändige Waffe (Furor),7,13,0,0,3,0
11,,8,13,2,15,6,0
12,,9,13,2,16,6,0
13,,10,13,2,17,6,0
14,,11,13,2,18,6,0
15,,8,14,2,11,0,0
16,,9,14,2,12,0,0
17,,10,14,2,13,0,0
18,,11,14,2,14,0,0
