Description_lang,Title_lang,ID,ScenarioID,CriteriatreeID,RewardQuestID,RelatedStep,Supersedes,OrderIndex,Flags,VisibilityPlayerConditionID,WidgetSetID
Bringt Braumeister Bo zum Braukessel von Unga Ingu.,Eskortiert Braumeister Bo,24,15,21004,0,0,0,0,0,0,0
Bringt 200 Becher Ungadschungelbräu zum Braukessel.,Füllt den Braukessel,25,15,27707,0,0,0,1,0,0,0
Bezwingt Kapitän Uuk.,Bezwingt Kapitän Uuk,26,15,21008,0,0,0,2,0,0,0
Bezwingt den verderbten Anführer der Shado-Pan.,Beendet den Alptraum,114,39,21048,0,0,0,0,0,0,0
Geht tiefer in die Krypta hinein und durchsucht die untere Ebene.,Durchsucht die Krypta,115,39,22065,0,0,0,2,0,0,0
"Bezwingt die Monster, die die Dorfbewohner von Grünstein angreifen.",Rettet die Dorfbewohner,116,40,20975,0,0,0,0,0,0,0
Bezwingt den rachsüchtigen Hui.,Bezwingt den rachsüchtigen Hui,117,40,20982,0,0,0,4,0,0,0
Findet gestohlene Braufässer im Wald und bringt sie zum Dojo des Dorfes zurück.,Findet die gestohlenen Fässer,118,40,21059,0,0,0,2,0,0,0
Bezwingt die vom Sha korrumpierten Streitkräfte im Tempel der Jadeschlange.,Tempel der Jadeschlange,123,44,21078,0,0,0,0,0,0,0
"Bezwingt die Kräfte, die in der Brauerei Sturmwind Chaos anrichten.",Brauerei Sturmbräu,124,45,21087,0,0,0,0,0,0,0
"Bezwingt die Streitkräfte, die sich Euch im Shado-Pan-Kloster entgegenstellen.",Shado-Pan-Kloster,125,46,21095,0,0,0,0,0,0,0
"Bezwingt die Streitkräfter der Mantis, die das Tor der Untergehenden Sonne angreifen.",Tor der Untergehenden Sonne,127,48,21100,0,0,0,0,0,0,0
"Bezwingt die Streitkräfte der Mantis, die den Niuzaotempel belagern.",Belagerung des Niuzaotempels,128,49,21105,0,0,0,0,0,0,0
,Mogu'shanpalast,129,50,21110,0,0,0,0,0,0,0
Bezwingt die Todenbeschwörer in der Scholomance.,Scholomance,130,51,21120,0,0,0,0,0,0,0
Bezwingt die Streitkräfte des Scharlachroten Kreuzzugs.,Scharlachrote Hallen,131,52,21130,0,0,0,0,0,0,0
Reist zum Steinmetzviertel und weckt die bewusstlosen Dorfbewohner auf.,Rettet die Steinmetze von Grünstein,132,40,21126,0,0,0,3,0,0,0
Bezwingt die Streitkräfte des Scharlachroten Kreuzzugs in ihrem Kloster.,Scharlachrotes Kloster,133,53,21134,0,0,0,0,0,0,0
Beschwört und bezwingt die mächtige Drachenschildkröte Narbenpanzer.,Narbenpanzer,138,58,21323,0,0,0,0,0,0,0
"Beschwört und bezwingt den grummelfressenden, schneepirschenden Schrecken Jol'Grum.",Jol'Grum,139,58,21325,0,0,0,1,0,0,0
"Beschwört und bezwingt den verspielten Feuergeist, Liuyang.",Klein Liuyang,140,58,21327,0,0,0,2,0,0,0
Beschwört und bezwingt den wandernden Yaungolkrieger Chagan Feuerhuf.,Chagan Feuerhuf,141,58,21332,0,0,0,3,0,0,0
Beschwört und bezwingt den letzten Herausforderer und holt Euch bei Wodin Eure Belohnung ab!,Bezwingt den letzten Herausforderer!,142,58,21334,0,0,0,4,0,0,0
"Helft den Gehilfen von Braumeister Boof dabei, die Zutaten für den Kun-Lai-Hammer zu sammeln.",Das Braumondfest!,154,63,21845,0,0,0,0,0,0,0
Halte die Invasion der Bataari auf Binan auf.,Die Yaungol greifen an!,155,63,21849,0,0,0,2,0,0,0
Bezwingt Kriegshetzer Qobi.,Kriegshetzer Qobi,156,63,21851,0,0,0,3,0,0,0
Untersucht die Sichtungen der Yaungol.,Berichte der Späher,157,63,21853,0,0,0,1,0,0,0
"Helft Blanche dabei, ihr berühmtes Hammerbräu zu brauen.",Braut Hammerbräu,159,65,21993,0,0,0,0,0,0,0
Eskortiert Blanche entlang des Donnerpfotenpfads.,Donnerpfotenpfad,160,65,21995,0,0,0,1,0,0,0
