ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Supersedes,Priority
Schließt 30 Quests ab,"Schließt Quests ab, für die Ihr Erfahrung erhaltet.",3,135693,200,0,0
Besiegt 50 Dungeonbosse,"Besiegt Dungeonbosse, für die Ihr Erfahrung erhaltet.",4,135695,200,0,0
Winterhauchfest: Erhaltet eine fein gewirkte Festtagsmütze,Erhaltet zwischen dem {EventStartDate} und {EventEndDate} eine fein gewirkte Festtagsmütze,5,135697,50,0,-100
Schließt 5 Dungeons auf Mythisch+ ab,,6,135699,200,0,7
Schließt 15 Weltquests ab,,7,136176,150,0,0
Besiegt 10 Schlachtzugsbosse von Dragonflight,,8,136202,200,0,0
Tötet einen Schlachtzugsboss von Dragonflight auf dem Schwierigkeitsgrad 'Mythisch',,9,136211,200,0,0
Verdient 7.500 Ehre,,10,136220,200,0,0
Siegt auf 5 Schlachtfeldern,,11,136222,200,0,0
Gewinnt 10 Arenakämpfe außer Geplänkeln,,12,136224,200,0,0
Erfüllt Handwerksaufträge,"Sprecht mit einem Verwaltungsangestellten für Handwerksaufträge, um Handwerksaufträge zu erfüllen.",13,136242,200,0,0
Gewinnt 15 Haustierkämpfe,,14,136244,200,0,0
Besiegt Dungeonbosse in einer fraktionsübergreifenden Gruppe,"Besiegt Dungeonbosse, für die Ihr Erfahrung erhaltet, während Ihr Euch in einer fraktionsübergreifenden Gruppe befindet.",16,136248,150,0,0
Schließt Quests in Nordend ab,,17,136250,100,0,0
Schließt 5 Zeitwanderungsdungeons von Wrath of the Lich King ab,,18,136265,250,0,0
Besiegt den Lichkönig,Tötet den Lichkönig in der Eiskronenzitadelle.,19,136286,50,0,0
Schließt Schlachtfelder im Alteractal ab,,20,136288,100,0,0
Woche des Kampfhaustiers: Besiegt Meisterzähmer aus Nordend mit einem kleinen Helfer,"Verwendet in der Zeit zwischen dem {EventStartDate} und dem {EventEndDate} mindestens einen kleinen Helfer, um alle Meisterzähmer von Nordend zu besiegen.",21,136291,75,0,-110
Zeitwanderung: Angelt in Nordend,Angelt in der Zeit zwischen dem {EventStartDate} und {EventEndDate} Gegenstände in Nordend.,22,136300,100,0,0
Fröstelt bei Ragnaros,Verwendet das Emote /kalt bei Ragnaros im Geschmolzen Kern.,23,136323,25,0,0
Winterhauchfest: Kleidet Euch passend zum Anlass und tanzt um den Baum,"Tanzt zwischen dem {EventStartDate} und {EventEndDate} mit einem anderen Spielercharakter in der Nähe eines festlichen Baums, während Ihr Wintergewandung tragt.",24,136325,50,0,-100
Tötet 100 Eiselementare,,25,136327,100,0,0
"Dunkelmond-Jahrmarkt: Schließt ""Werft den Ring"" ab","Schließt in der Zeit vom 04.05. bis zum 10.05. die Quest ""Werft den Ring"" auf der Insel des Dunkelmond-Jahrmarkts ab.",26,136357,75,0,0
Winterhauchfest: Tötet 3 Festtagsbosse,Tötet zwischen dem {EventStartDate} und {EventEndDate} drei der folgenden Bosse.,27,136359,50,0,-100
Wanderfest: Nehmt am Fest teil,Nehmt zwischen dem {EventStartDate} und {EventEndDate} am Wanderfest am Schildkrötenstrand in der Krasarangwildnis teil.,28,136364,100,0,-70
"Wanderfest: Entzündet eine Lampe und lest ""Warten auf die Schildkröte""","Entzündet zwischen dem {EventStartDate} und {EventEndDate} eine Lampe und lest ""Warten auf die Schildkröte"" beim Wanderfest in der Krasarangwildnis.",29,136366,75,0,-70
Dunkelmond-Jahrmarkt: Esst nach Eurem Ritt ein mit Mais paniertes Würstchen,Fahrt zwischen dem 07.09. und 13.09. mit dem Dunkelmond-Karussell oder der Achterbahn und esst ein mit Mais paniertes Würstchen.,30,136369,25,0,-60
Tötet den Anführer der gegnerischen Fraktion,,31,136449,400,0,0
Erforscht eine verschneite Region,Erkundet eine der folgenden Zonen vollständig.,32,136527,50,0,0
Schließt 5 fraktionsübergreifende Schlachtfelder ab,,33,136652,150,0,0
Winterhauchfest: Erhaltet Blitzeis,Erhaltet zwischen dem {EventStartDate} und dem {EventEndDate} Blitzeis aus Frostzorns Kühlbox.,34,136855,100,0,-100
Zeitwanderung: Schließt Quests in Draenor ab,Schließt vom {EventStartDate} bis zum {EventEndDate} Quests in Draenor ab.,36,149949,100,0,0
Zeitwanderung: Schließt 5 Zeitwanderungsdungeons von Warlords of Draenor ab,Schließt in der Zeit vom {EventStartDate} bis zum {EventEndDate} Zeitwanderungsdungeons von Warlords of Draenor ab.,37,137530,100,213,0
Schließt die Höllenfeuerzitadelle ab,,38,137539,150,0,0
Tötet 15 Spielercharaktere im Tanaandschungel,,39,137541,200,0,0
Besiegt Meisterzähmer der Dracheninseln mit Drachkinhaustieren,"Besiegt 2 Meisterzähmer der Dracheninseln mit einem Team, das aus mindestens 2 Drachkinhaustieren besteht.",40,137543,200,0,0
Zeitwanderung: Angelt in Draenor,Angelt in der Zeit zwischen dem {EventStartDate} und {EventEndDate} Gegenstände in Draenor.,41,149979,100,0,0
Verwendet Leckerlis für glückliche Haustiere,Kauft Leckerlis für glückliche Haustiere von Breanni in der Magischen Menagerie in Dalaran.,42,137615,100,0,0
"Liebe liegt in der Luft: Verwendet das Spielzeug ""Q. Pidos herziger Ruhestein"" auf den Dracheninseln","Verwendet in der Zeit vom {EventStartDate} bis zum {EventEndDate} das Spielzeug ""Q. Pidos herziger Ruhestein"" auf den Dracheninseln.",43,137617,150,0,0
"Liebe liegt in der Luft: Verwendet das Spielzeug ""Picknickkorb für Verliebte"" auf den Ebenen von Ohn'ahra","Verwendet in der Zeit vom {EventStartDate} bis zum {EventEndDate} das Spielzeug ""Picknickkorb für Verliebte"" auf den Ebenen von Ohn'ahra.",44,137619,150,0,0
"Liebe liegt in der Luft: Schließt ""Bonbonangriff"" ab","Schließt in der Zeit vom {EventStartDate} bis zum {EventEndDate} die Quest ""Bonbonangriff"" ab.",45,137621,150,0,0
Liebe liegt in der Luft: Besiegt Apotheker Hummel,Besiegt in der Zeit vom {EventStartDate} bis zum {EventEndDate} Apotheker Hummel in Burg Schattenfang.,46,137623,100,0,0
Liebe liegt in der Luft: Übergebt einen hübschen Glücksbringerarmreif,Übergebt einem Eurer Fraktionsanführer in der Zeit vom {EventStartDate} bis zum {EventEndDate} einen hübschen Glücksbringerarmreif.,47,137625,150,0,0
Einen toten Spielercharakter /umarmen,Emote: Einen toten Spielercharakter /umarmen.,48,137634,50,0,0
Belebt Spielercharaktere wieder,,49,137636,50,0,0
Verwendet Zanzils schleichendes Gift,"Benutzt Zanzils schleichendes Gift, das Ihr von Gerald Schwartz in Sturmwind oder von Alpheus Cain in Orgrimmar erhaltet.",50,137645,50,0,0
Popelt in der Nase und zeigt Garrosh Höllschrei bei der Schlacht um Orgrimmar Eure Ausbeute,,51,137649,100,0,0
Verdient Gold im Auktionshaus,,52,137647,100,0,0
"Esst ein Stück Schokoladenkuchen, ein Stück Punschtorte und ein Stück Beerenkuchen","Esst ein Stück Schokoladenkuchen, ein Stück Punschtorte und ein Stück Beerenkuchen, die Ihr von Aimee im alten Dalaran erhalten könnt.",53,137651,50,0,0
Das große Hippogryphenschlüpfen: Fransenfederküken,"Brütet am {EventStartDate} ein Fransenfederei aus, damit sich ein Küken auf Eure Schulter setzt.",54,137655,150,0,0
Das große Hippogryphenschlüpfen: Verwendet eine Spektralfeder,Erbeutet am {EventStartDate} eine Spektralfeder von Lorthalium und verwendet sie.,55,137657,150,0,0
Dunkelmond-Jahrmarkt: Stellt einen großen Beerenkuchen auf,Stellt in der Zeit vom 02.02. bis zum 08.02. einen großen Beerenkuchen auf der Insel des Dunkelmond-Jahrmarkts auf.,56,137659,50,0,0
Schließt 15 Quests auf den Verheerten Inseln ab,,57,137661,200,0,0
"Schließt Antorus, der Brennende Thron, ab",,59,137684,100,0,0
Schließt 5 Schlachtfelder von Ashran ab,,60,137686,200,0,0
Der große Stylecheck: Verdient 100 Marken des großen Stylechecks,"Verdient vom {EventStartDate} bis zum {EventEndDate} Marken des großen Stylechecks, indem Ihr am großen Stylecheck teilnehmt.",61,137688,100,266,0
"Besiegt alle Meisterzähmer von Legion mit einem Team, das komplett aus magischen Haustieren besteht",,62,137715,350,0,0
Zeitwanderung: Angelt auf den Verheerten Inseln,Angelt in der Zeit zwischen dem {EventStartDate} und {EventEndDate} Gegenstände auf den Verheerten Inseln.,63,149983,100,0,0
"Erhaltet ein Spielzeug, dass Euch ""gut aussehen"" lässt",,64,137776,50,0,0
Der große Stylecheck: Verwendet /jubeln für andere Spielercharaktere,Benutzt das Emote /jubeln in der Zeit vom {EventStartDate} bis zum {EventEndDate} für andere Spielercharaktere im Zuge des großen Stylechecks.,65,137787,50,0,0
"Der große Stylecheck: Verwendet den Scheinwerfer, die Tanzfläche und die Flammen des großen Stylechecks","Verwendet in der Zeit vom {EventStartDate} bis zum {EventEndDate} den Scheinwerfer, die Tanzfläche und die Flammen im Zuge des großen Stylechecks.",66,137789,100,0,0
Der große Stylecheck: Verwendet die Fanpost,Verwendet in der Zeit vom {EventStartDate} bis zum {EventEndDate} die Fanpost im Zuge des großen Stylechecks.,67,137793,50,0,0
Bezwingt Kael'thas Sonnenwanderer auf der Terrasse der Magister,,68,137795,150,0,0
Un'Gorowahnsinn: Sammelt Dinomojo,Sammelt in der Zeit vom {EventStartDate} bis zum {EventEndDate} Dinomojo im Krater von Un'Goro.,69,137797,150,0,0
Un'Gorowahnsinn: Erhaltet die coole Anpassung,"Verwendet in der Zeit vom {EventStartDate} bis zum {EventEndDate} Dinomojo, um Euren Anpassungseffekt zu verbessern, bis Ihr ""cool"" seid.",70,137799,150,0,0
"Dunkelmond-Jahrmarkt: Schließt ""Die menschliche Kanonenkugel"" ab","Schließt in der Zeit vom 02.03. bis zum 08.03. die Quest ""Die menschliche Kanonenkugel"" auf der Insel des Dunkelmond-Jahrmarkts ab.",71,137801,75,0,0
"Benutzt das Spielzeug ""Überjustierte Corgibrille""",,72,137803,50,0,0
Der große Stylecheck: Verändert Euer Aussehen,"Sucht in der Zeit vom {EventStartDate} bis zum {EventEndDate} einen Barbier auf, um Euer Aussehen zu verändern.",73,137805,25,0,0
Der große Stylecheck: Sammelt die Vorlage 'Zweispitz des Händlers',"Erhaltet in der Zeit vom {EventStartDate} bis zum {EventEndDate} die Vorlage ""Zweispitz des Händlers"", indem Ihr am großen Stylecheck teilnehmt.",74,137807,25,0,0
"Verwendet /angeben vor einem anderen Spielercharakter, während Ihr ""gut ausseht""","Verwendet das Emote /angeben vor einem Spielercharakter, während Ihr unter dem Effekt eines ""gutaussehenden"" Spielzeugs steht.",75,137809,50,0,0
Macht einen /Knicks vor einem Spielercharakter der gegnerischen Fraktion,Macht einen /Knicks vor einem Spielercharakter der gegnerischen Fraktion.,76,137811,20,0,0
"Erstarrt vor einem ""gut aussehenden"" Spielercharakter in /Ehrfurcht","Erstarrt vor einem Spielercharakter, der unter dem Effekt eines ""gutaussehenden"" Spielzeugs steht, in /Ehrfurcht.",77,137813,50,0,0
Erreicht bei einem Drachenrennen eine Zeit des Ranges Gold,,78,137870,150,0,0
Erlangt Ruf auf den Dracheninseln,,79,137872,150,0,0
Schließt 15 Dungeons auf Mythisch+ ab,,81,140979,200,6,5
Schließt die großen Jagden der Zentauren der Maruuk ab,Schließt große Jagden der Zentauren der Maruuk auf den Dracheninseln ab.,82,140981,150,0,0
Fangt einen Oschi mit einem Freund,"Benutzt eine Harpune, um auf den Dracheninseln gemeinsam mit einem anderen Spielercharakter einen Oschi zu fangen.",83,140983,50,0,0
Schließt während des gemeinschaftlichen Festmahls der Tuskarr von Iskaara Aufgaben ab,Schließt Aufgaben während des gemeinschaftlichen Festmahls in Iskaara auf den Dracheninseln ab.,84,140985,50,0,0
Schließt die Belagerung der Drachenfluchfestung ab,Schließt die Belagerung der Drachenfluchfestung an der Küste des Erwachens auf den Dracheninseln ab.,85,140987,50,0,0
Nutzt das Freundschaftssystem beim Klettern,Nutzt das Freundschaftssystem während Kletterweltquests auf den Dracheninseln.,86,140989,50,0,0
Besiegt besondere Kreaturen während Primalistenstürmen,Besondere Kreaturen werden während der Primalistenstürme auf den Dracheninseln auftauchen.,87,140991,100,0,0
Schließt vier Drachenreitenstrecken auf den Dracheninseln ab,Sprecht an einer aktiven Rennstrecke auf den Dracheninseln mit einem Bronzezeithüter.,88,141010,250,265,0
Schließt eine PvP-Weltquest auf den Dracheninseln ab,,89,141012,100,0,0
Besiegt einen Weltboss der Dracheninseln,,90,141021,100,0,0
Schließt die optionalen Geschichtsstränge an der Küste des Erwachens ab,,91,141032,200,0,0
Schließt wöchentliche Sammelquests ab,Sprecht mit einem Berufsausbilder für das Sammeln auf dem Handwerkermarkt von Valdrakken.,92,141044,100,0,0
Schließt wöchentliche Handwerksquests ab,Sprecht mit einem Berufsausbilder für Handwerk auf dem Handwerkermarkt von Valdrakken.,93,141057,100,0,0
Plündert Kisten mit Kriegsvorräten auf den Dracheninseln,,94,141095,100,0,0
Angelt Gegenstände auf den Dracheninseln,,95,141125,100,0,0
Zeigt den Drachenaspekten etwas /Liebe,Zeigt den Drachenaspekten in Valdrakken etwas /Liebe.,96,141883,50,0,0
/Liebe für gefallene Drachen,Zeigt 2 gefallenen Drachen in ihrem Schlachtzug etwas /Liebe.,97,141887,50,0,0
Erhaltet ein Spielzeug mit Frühlingsthematik,,98,141941,50,0,0
Nobelgartenfest: Esst Nobelgartenschokolade in Iskaara,Esst in der Zeit vom {EventStartDate} bis zum {EventEndDate} Nobelgartenschokolade in Iskaara auf den Dracheninseln.,99,141949,100,0,0
Nobelgartenfest: Verwendet Frühlingsblumen in einer Arena oder auf einem Schlachtfeld,Verwendet in der Zeit vom {EventStartDate} bis zum {EventEndDate} Frühlingsblumen bei einem gegnerischen Spielercharakter in einer Arena oder auf einem Schlachtfeld.,100,141951,100,0,0
Nobelgartenfest: Sammelt bunt gefärbte Eier,Sammelt in der Zeit vom {EventStartDate} bis zum {EventEndDate} bunt gefärbte Eier.,101,141953,100,0,0
Fotografiert legendäre Angler,Fotografiert legendäre Angler während Katalogisierungsweltquests auf den Dracheninseln.,102,141960,50,0,0
Schließt Katalogisierungsweltquests ab,Schließt Katalogisierungsweltquests auf den Dracheninseln ab.,103,141971,50,0,0
Erlangt Elementarüberfluss,"Erlangt Elementarüberfluss von Kreaturen, die von den Primalistenstürmen auf den Dracheninseln beeinflusst sind.",104,141979,100,0,0
Schließt Drachenreitenstrecken auf den Dracheninseln ab,Sprecht mit einem Bronzezeithüter auf den Dracheninseln.,105,141981,100,0,0
Nobelgartenfest: Eier platzieren,Platziert in der Zeit vom {EventStartDate} bis zum {EventEndDate} 12 aufwendig bemalte Eier oder 1 fantastisch bemaltes Ei.,106,141983,50,0,0
"Marsch der Kaulquappen: Schließt ""Ein Geschenk von Eurer Kaulquappe"" ab","Schließt am {EventStartDate} die Quest ""Ein Geschenk von Eurer Kaulquappe"" ab.",107,141986,150,0,0
Schließt die optionalen Geschichtsstränge auf den Ebenen von Ohn'ahra ab,,108,141988,150,0,0
Besiegt Bosse der großen Jagd,Besiegt Bosse während der großen Jagd der Zentauren der Maruuk auf den Dracheninseln.,109,141997,100,0,0
Fangt Oschis mit einer Harpune,"Benutzt eine Harpune, um auf den Dracheninseln Oschis zu fangen.",110,142034,50,0,0
Gebt Obsidianschlüssel ab,Liefert Obsidianschlüssel bei Personen um die Obsidianzitadelle auf den Dracheninseln ab.,111,142036,100,0,0
Ändert das Aussehen Eures Reitdrachen,"Besucht ein Podium der Transformation auf den Dracheninseln, um die Anpassungen Eures Reitdrachen zu ändern.",112,142038,20,0,0
Verdient im Ausbildungsgelände des Kobaltkonvents im Azurblauen Gebirge Ehre,,113,142733,100,0,0
Tag der Wachen: Eindringlinge töten,Salutiert (/salutieren) am {EventStartDate} vor Wachen in Sturmwind oder Orgrimmar und erschlagt Eindringlinge in den Hauptstädten.,114,142040,200,0,0
"Dunkelmond-Jahrmarkt: Schließt ""Dunkelmond-Tanzparty"" ab","Schließt in der Zeit vom 01.06. bis zum 07.06. die Quest ""Dunkelmond-Tanzparty"" auf der Insel des Dunkelmond-Jahrmarkts ab.",115,142044,50,0,0
Dunkelmond-Jahrmarkt: Verwendet während der Fahrt mit dem Karussell oder einem Sandkastentiger das Emote /jubeln,"Verwendet in der Zeit vom 02.02. bis zum 08.02. das Emote /jubeln, während Ihr mit dem Karussell oder einem Sandkastentiger auf der Insel des Dunkelmond-Jahrmarkts fahrt.",116,142048,50,0,0
Verwendet das Teleportationsnetzwerk der Dracheninseln,"Interagiert mit einem uralten Portal, um das Teleportationsnetzwerk der Dracheninseln zu benutzen.",117,142050,100,0,0
Tötet Kreaturen am Drachenquellgipfel,"Tötet am Drachenquellgipfel im Südosten der Ebenen von Ohn'ahra Kreaturen, die Erfahrung gewähren.",118,142052,50,0,0
Schließt die Prüfung der Flut ab,Schließt an den Quellen von Ohn'iri auf den Dracheninseln die Prüfung der Flut ab.,119,142054,50,0,0
Schließt den Geschichtsstrang im Bad der Ruhigen Träume ab,Schließt den Geschichtsstrang im Bad der Ruhigen Träume in Thaldraszus auf den Dracheninseln ab.,120,142056,50,0,0
Besiegt Elitehaustiere der Dracheninseln mit Drachkinhaustieren,"Besiegt 2 Elitehaustiere der Dracheninseln mit einem Team, das aus mindestens 2 Drachkinhaustieren besteht.",121,142058,200,0,0
"Angelt Gegenstände, während Ihr ""gut ausseht""","Angelt Gegenstände, während Ihr einen Onyxblendschutz oder ein Handwerkermonokel tragt.",122,142063,50,0,0
"Stellt Gegenstände her, während Ihr gut seht und ausseht","Stellt Gegenstände her, während Ihr einen Onyxblendschutz oder ein Handwerkermonokel tragt.",123,142065,50,0,0
Schließt die optionalen Geschichtsstränge des Azurblauen Gebirges ab,,124,142067,150,0,0
Verdient in der Festung Nokhudon Ehre,Verdient in der Festung Nokhudon auf den Dracheninseln Ehre.,125,142046,100,0,0
Verändert das Aussehen Eures Begleiters der großen Jagd,Sprecht an einem Ort der großen Jagden auf den Dracheninseln mit Trainer Frodrum.,126,142080,20,0,0
Entdeckt Ansammlungen versteckter Juwelen auf den Dracheninseln,Verwendet Karten für Edelsteinklumpen auf den Dracheninseln.,127,142082,50,0,0
Besiegt Meisterzähmer der Dracheninseln mit mechanischen Haustieren,"Besiegt 2 Meisterzähmer der Dracheninseln mit einem Team, das aus mindestens 2 mechanischen Haustieren besteht.",128,142725,200,0,0
Sammelt ein Kopfgeld und öffnet eine Kiste mit Kriegsvorräten auf den Ebenen von Ohn'ahra,Sammelt ein Kriegsmoduskopfgeld von einem bezwungenen Spielercharakter ein und öffnet eine Kiste mit Kriegsvorräten auf den Ebenen von Ohn'ahra.,129,142087,150,0,0
Schließt die Belagerung der Drachenfluchfestung ab,"Schließt das Szenario ""Belagerung der Drachenfluchfestung"" an der Küste des Erwachens ab.",133,0,50,0,0
Schließt eine PvP-Weltquest ab,Schließt eine der folgenden PvP-Weltquests ab,134,142094,50,0,0
Schließt Kletterweltquests ab,Schließt Kletterweltquests auf den Dracheninseln ab.,135,142099,100,0,0
Werdet von Tornados des Primalistensturms getroffen,Werdet während eines Gewitters der Primalisten von Tornados getroffen.,136,142112,50,0,0
Schließt Quests der Karawane der Aylaag ab,Schließt auf den Ebenen von Ohn'ahra auf den Dracheninseln Quests der Karawane der Aylaag ab.,137,142114,100,0,0
Fliegt beim Drachenreiten durch die Winde der Inseln,Fliegt beim Drachenreiten auf den Dracheninseln durch die Winde der Inseln.,138,142133,50,0,0
Angelt Gegenstände an Angellöchern der Tuskarr von Iskaara,,139,142135,50,0,0
Sammelt blutige Abzeichen auf den Dracheninseln,Schließt PvP-Aktivitäten auf den Dracheninseln ab.,140,142224,150,0,0
Nobelgartenfest: Schließt tägliche Quests ab,Schließt in der Zeit vom {EventStartDate} bis zum {EventEndDate} tägliche Quests des Nobelgartenfests ab.,141,142243,100,0,0
Verwendet /hüpfen vor Kleintieren auf den Dracheninseln,Verwendet /hüpfen vor Kleintieren auf den Dracheninseln.,142,142248,150,0,0
"Esst Suppe, während Ihr ""gut ausseht""","Esst Suppe aus dem gemeinschaftlichen Topf in Iskaara, während Ihr unter dem Effekt eines ""gutaussehenden"" Spielzeugs steht.",143,142261,50,0,0
Jubiläum des Handelspostens: Zeigt dem Handelsposten etwas /Liebe,Zeigt den Händlern am Handelsposten und ihren Waren etwas /Liebe.,144,142268,50,0,0
Besiegt 25 Schlachtzugsbosse,,145,142290,250,0,10
Fangt einen Oschi mit Freunden,"Benutzt eine Harpune, um mit mindestens 5 anderen Spielercharakteren auf den Dracheninseln einen Oschi zu fangen.",146,142297,50,0,0
Erfüllt öffentliche Handwerksaufträge,"Sprecht mit einem Verwaltungsangestellten für Handwerksaufträge auf dem Handwerkermarkt von Valdrakken, um Handwerksaufträge anzunehmen.",147,142299,100,0,0
Erfüllt persönliche Handwerksaufträge,Sprecht mit einem Berufsausbilder auf dem Handwerkermarkt von Valdrakken.,148,142303,100,0,0
"Nobelgartenfest: Schließt einen Dungeon von Dragonflight ab, während Ihr einen Frühlingsreif tragt","Schließt vom {EventStartDate} bis zum {EventEndDate} einen Dungeon von Dragonflight ab, während Ihr einen Frühlingsreif tragt.",149,142324,50,0,0
"Besiegt Bosse aus ""Der Zorn des Sturms""","Besiegt Bosse aus ""Der Zorn des Sturms"" in der Zukunft der Primalisten auf den Dracheninseln.",150,142527,100,0,0
