ID,Description_lang,PendingText_lang,UiTextureKitID,GarrTypeID,GarrBuildingType,BaseCapacity,SmallDisplayInfoID,MediumDisplayInfoID,LargeDisplayInfoID,WorkingDisplayInfoID,WorkingSpellVisualID,CompleteSpellVisualID,MediumThreshold,LargeThreshold,Faction,CrossFactionID
2,,,0,2,17,1,16091,16092,16093,0,0,0,3,5,-1,0
3,,,0,2,0,2,439,7321,10344,0,0,0,3,5,-1,0
30,,Eine Lieferung köstlichen Fisch kommt schon bald!,51,2,0,0,15020,0,0,0,0,0,5,5,-1,0
31,"Stellt eine Lieferung alchemischer Katalysatoren zusammen.

Den Fortschritt Eurer Lieferungen könnt Ihr im Garnisonsbericht nachvollziehen.

Wenn sich das Gebäude auf Stufe 2 oder höher befindet, könnt Ihr über den Architektentisch einen Anhänger zuweisen, um Euren Ertrag zu erhöhen.",Alchemischer Katalysator,43,2,16,1,16091,16092,22545,0,0,0,14,21,1,57
32,"Stellt, je nach gefangenem Wildtier, eine Lieferung Fleisch, Leder oder Pelze zusammen.

Wenn sich das Gebäude auf Stufe 2 oder höher befindet, könnt Ihr über den Architektentisch einen Anhänger zuweisen, um Euren Ertrag zu erhöhen.",Scheunenlieferung,51,2,3,1,17819,14563,16155,0,0,0,14,21,-1,0
36,"Stellt eine Lieferung Garnisonsressourcen aus dem auf Draenor gesammelten Holz zusammen.

Den Fortschritt Eurer Lieferungen könnt Ihr im Garnisonsbericht nachvollziehen. 

Kehrt zurück, um Eure Güter einzusammeln, wenn die Lieferungen abgeschlossen sind.",Sägewerklieferung,54,2,4,1,16091,16092,19906,0,0,0,14,21,-1,0
37,"Stellt eine Lieferung Hexenzwirnstoff zusammen.

Den Fortschritt Eurer Lieferungen könnt Ihr im Garnisonsbericht nachvollziehen.

Wenn sich das Gebäude auf Stufe 2 oder höher befindet, könnt Ihr über den Architektentisch einen Anhänger zuweisen, um Euren Ertrag zu erhöhen.",Hexenzwirnstoff,52,2,23,1,16091,16092,22545,0,0,0,14,21,1,64
49,"Stellt eine Lieferung Echtstahlbarren zusammen.

Den Fortschritt Eurer Lieferungen könnt Ihr im Garnisonsbericht nachvollziehen.

Wenn sich das Gebäude auf Stufe 2 oder höher befindet, könnt Ihr über den Architektentisch einen Anhänger zuweisen, um Euren Ertrag zu erhöhen.",Echtstahlbarren,42,2,17,1,16091,16092,22545,0,0,0,14,21,1,58
50,"Stellt eine Lieferung poliertes Leder zusammen.

Den Fortschritt Eurer Lieferungen könnt Ihr im Garnisonsbericht nachvollziehen.

Wenn sich das Gebäude auf Stufe 2 oder höher befindet, könnt Ihr über den Architektentisch einen Anhänger zuweisen, um Euren Ertrag zu erhöhen.",Poliertes Leder,49,2,22,1,16091,16092,22545,0,0,0,14,21,1,63
51,"Stellt eine Lieferung Taladitkristall zusammen.

Den Fortschritt Eurer Lieferungen könnt Ihr im Garnisonsbericht nachvollziehen.

Wenn sich das Gebäude auf Stufe 2 oder höher befindet, könnt Ihr über den Architektentisch einen Anhänger zuweisen, um Euren Ertrag zu erhöhen.",Taladitkristall,46,2,21,1,16091,16092,22545,0,0,0,14,21,1,62
