Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
USD,%s $,%s $,"Einverständniserklärung: Durch Klick auf die Schaltfläche ""Jetzt kaufen"" bestätige ich, dass ich die |HurlIndex:14|h|cff71d5ffVerkaufsbedingungen|r|h und |HurlIndex:15|h|cff71d5ffDatenschutzrichtlinien|r|h gelesen habe und ihnen zustimme, und bestätige den Kauf.",1,840,16,833
GBP,%s £,%s £,"Indem Sie auf ""Jetzt bezahlen"" klicken, erklären Sie sich mit den |HurlIndex:16|h|cff71d5ffVerkaufsbedingungen|r|h und der sofortigen Lieferung Ihrer Bestellung einverstanden. Sobald der Liefervorgang begonnen hat, verlieren Sie Ihr Widerrufsrecht.",2,826,16,836
KRW,%s*,%s Battle Coins,"Einverständniserklärung: Durch Klick auf die Schaltfläche ""Jetzt kaufen"" bestätige ich, dass ich alle diese Transaktion betreffenden Bestimmungen gelesen habe und ihnen zustimme, und bestätige den Kauf. Das schließt die Folgenden ein: 
|HurlIndex:9|h|cff71d5ffVerkaufsbedingungen|r|h, |HurlIndex:8|h|cff71d5ffRückerstattungsrichtlinien|r|h und |HurlIndex:13|h|cff71d5ffDatenschutzrichtlinien|r|h.",3,410,48,834
EUR,%s €,%s €,"Indem Sie auf ""Jetzt bezahlen"" klicken, erklären Sie sich mit den |HurlIndex:16|h|cff71d5ffVerkaufsbedingungen|r|h und der sofortigen Lieferung Ihrer Bestellung einverstanden. Sobald der Liefervorgang begonnen hat, verlieren Sie Ihr Widerrufsrecht.",4,978,16,836
RUB,%s RUB,%s RUB,"Indem Sie auf ""Jetzt bezahlen"" klicken, erklären Sie sich mit den |HurlIndex:16|h|cff71d5ffVerkaufsbedingungen|r|h und der sofortigen Lieferung Ihrer Bestellung einverstanden. Sobald der Liefervorgang begonnen hat, verlieren Sie Ihr Widerrufsrecht.",5,643,16,836
COP,%s $,%s $,"Einverständniserklärung: Durch Klick auf die Schaltfläche ""Jetzt kaufen"" bestätige ich, dass ich die |HurlIndex:14|h|cff71d5ffVerkaufsbedingungen|r|h und |HurlIndex:15|h|cff71d5ffDatenschutzrichtlinien|r|h gelesen habe und ihnen zustimme, und bestätige den Kauf.",6,170,4,833
PEN,%s S/.,%s S/.,"Einverständniserklärung: Durch Klick auf die Schaltfläche ""Jetzt kaufen"" bestätige ich, dass ich die |HurlIndex:14|h|cff71d5ffVerkaufsbedingungen|r|h und |HurlIndex:15|h|cff71d5ffDatenschutzrichtlinien|r|h gelesen habe und ihnen zustimme, und bestätige den Kauf.",7,604,4,833
ARS,%s $,%s $,"Einverständniserklärung: Durch Klick auf die Schaltfläche ""Jetzt kaufen"" bestätige ich, dass ich die |HurlIndex:14|h|cff71d5ffVerkaufsbedingungen|r|h und |HurlIndex:15|h|cff71d5ffDatenschutzrichtlinien|r|h gelesen habe und ihnen zustimme, und bestätige den Kauf.",8,32,0,833
CLP,%s $,%s $,"Einverständniserklärung: Durch Klick auf die Schaltfläche ""Jetzt kaufen"" bestätige ich, dass ich die |HurlIndex:14|h|cff71d5ffVerkaufsbedingungen|r|h und |HurlIndex:15|h|cff71d5ffDatenschutzrichtlinien|r|h gelesen habe und ihnen zustimme, und bestätige den Kauf.",9,152,0,833
MXN,%s $,%s $,"Einverständniserklärung: Durch Klick auf die Schaltfläche ""Jetzt kaufen"" bestätige ich, dass ich die |HurlIndex:14|h|cff71d5ffVerkaufsbedingungen|r|h und |HurlIndex:15|h|cff71d5ffDatenschutzrichtlinien|r|h gelesen habe und ihnen zustimme, und bestätige den Kauf.",10,484,0,833
