ID,Name_lang,Description_lang,Cooldown,Duration,Flags,SchoolMask,IconFileDataID
1,DNT JasonTest Envirospell,,2,1,0,0,0
2,DNT JasonTest Ability Spell,"DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3",4,2,1,0,461809
3,DNT Owen Test Double Effect,,3,0,0,0,0
4,Doppelschlag,"Nadjia greift den nächsten Gegner zweimal an. Der erste Angriff verursacht $s1, der zweite $s2 körperlichen Schaden.",3,0,0,1,333546
5,Flügelfeger,Draven fügt mit einem fegenden Flügelschlag allen Gegnern $s1 körperlichen Schaden zu.,1,0,0,1,2103875
6,Blutexplosion,Theotar stößt Schattenimpulse aus und fügt allen entfernten Gegnern $s1 Schattenschaden zu.,2,0,0,32,136118
7,Skelettschmettern,Fügt dem nächsten Gegner $s1 körperlichen Schaden zu.,2,1,0,32,3386321
8,Falkenschlag,Eli schlägt flink wie ein Falke zu und fügt dem am nächsten stehenden Gegner Schaden zu.,1,0,0,8,132188
9,Heilendes Heulen,Heilt alle Verbündeten um $s1% ihrer maximalen Gesundheit.,4,0,0,64,1033494
10,Sternzweigschlag,Zerschmettert den nächsten Gegner und fügt ihm Schaden in Höhe von $s1% seiner maximalen Gesundheit zu. Heilt in jeder Runde um $s3% der maximalen Gesundheit und fügt allen Gegnern Frostschaden in Höhe von $s2% der maximalen Gesundheit zu.,3,3,0,16,514019
11,Automatischer Angriff,Fügt dem am nächsten stehenden Gegner Schaden zu.,0,0,0,1,1064261
12,Knochenrekonstruktion,Heilt alle Verbündeten um $s1 Gesundheit.,1,1,0,32,136230
13,Sanfte Liebkosung,,0,0,0,8,132125
14,Liebkosung des Geistes,Anjali heilt alle Verbündeten um $s1 Gesundheit.,3,0,0,32,132993
15,Automatischer Angriff,Fügt einem entfernten Gegner Schaden zu.,0,0,0,1,135490
16,Seele brechen,Thela entreißt dem entferntesten Gegner eine Erinnerung und fügt ihm $s1 Schattenschaden zu.,1,0,0,32,2065625
17,Graberdenhagel,"Grub schleudert eine Schaufel Graberde nach allen Gegnern, fügt ihnen $s1 Frostschaden zu und heilt sich selbst um $s2 Gesundheit.",0,0,0,16,134436
