ID,Name_lang,TypeID,Parent_group_ID,Order_index
1,Classic: Dungeons,1,0,114
2,Burning Crusade: Normal,1,0,113
3,Burning Crusade: Heroisch,1,0,112
4,Wrath of the Lich King: Normal,1,0,111
5,Wrath of the Lich King: Heroisch,1,0,110
6,Classic: Schlachtzüge,2,0,522
7,Burning Crusade: Schlachtzüge,2,0,521
8,Wrath of the Lich King: Schlachtzüge (10),2,0,520
9,Wrath of the Lich King: Schlachtzüge (25),2,0,519
11,Weltevents,0,0,10
12,Cataclysm: Heroisch,1,0,108
13,Cataclysm: Normal,1,0,109
14,Cataclysm: Schlachtzüge (25),2,0,517
15,Cataclysm: Schlachtzüge (10),2,0,518
20,Gewertetes Schlachtfeld,2,0,1024
33,Stunde des Zwielichts: Heroisch,1,0,107
36,Mists of Pandaria: Heroisch,1,0,105
37,Mists of Pandaria: Normal,1,0,106
38,Szenarien,1,0,1025
40,Mists of Pandaria: Schlachtzüge (25),2,0,516
41,Mists of Pandaria: Schlachtzüge (10),2,0,515
43,Heroische Szenarien,1,0,1026
44,Zeitwanderung,0,0,1027
45,Mists of Pandaria: Schlachtzüge (Flex),2,0,514
46,Mists of Pandaria: Weltbosse,2,0,513
47,Warlords of Draenor: Normal,1,0,104
48,Warlords of Draenor: Heroisch,1,0,103
49,Warlords of Draenor: Schlachtzüge (Normal),2,0,510
50,Warlords of Draenor: Schlachtzüge (Heroisch),2,0,511
51,Warlords of Draenor: Schlachtzüge (Mythisch),2,0,512
52,Legion: Heroisch,1,0,102
53,Legion: Normal,1,0,101
54,Legion: Schlachtzüge (Normal),2,0,507
55,Legion: Schlachtzüge (Heroisch),2,0,508
56,Legion: Schlachtzüge (Mythisch),2,0,509
57,Battle for Azeroth: Normal,1,0,99
58,Battle for Azeroth: Heroisch,1,0,100
159,Battle for Azeroth: Schlachtzüge (Normal),2,0,510
160,Battle for Azeroth: Schlachtzüge (Heroisch),2,0,511
161,Battle for Azeroth: Schlachtzüge (Mythisch),2,0,512
162,Battle for Azeroth: Mythisch,1,0,101
163,Shadowlands: Mythisch,1,0,98
164,Shadowlands: Heroisch,1,0,97
165,Shadowlands: Normal,1,0,96
166,Insel des Verbannten,1,0,115
167,Shadowlands: Schlachtzüge (Mythisch),2,0,95
168,Shadowlands: Schlachtzüge (Heroisch),2,0,94
169,Shadowlands: Schlachtzüge (Normal),2,0,93
170,Dragonflight: Mythisch,1,0,92
171,Dragonflight: Heroisch,1,0,91
172,Dragonflight: Normal,1,0,90
173,Dragonflight-Anhänger,1,0,90
177,The War Within - Normal,1,0,87
178,The War Within - Heroisch,1,0,88
180,Anhänger: Mists of Pandaria,1,0,106
182,Zeitläuferdungeons,0,0,1028
183,Zeitläuferdungeons: Heroisch,0,0,1029
184,Zeitläuferszenarien,1,0,1030
185,Zeitläuferszenarien: Heroisch,1,0,1031
186,The War Within - Heroisch: Saison 1,1,0,89
192,The War Within - Heroisch: Saison 2,1,0,89
194,The War Within - Heroisch: Saison 3,1,0,89
196,Zeitläuferschlachtzüge,2,0,1032
