DisplayName_lang,AlternateVerb_lang,Description_lang,HordeDisplayName_lang,NeutralDisplayName,ID,CategoryID,SpellIconFileID,CanLink,ParentSkillLineID,ParentTierIndex,Flags,SpellBookSpellID,ExpansionNameSharedStringID,HordeExpansionNameSharedStringID
Schwerter,,Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.,,,43,6,136243,0,0,0,128,0,0,0
Äxte,,Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.,,,44,6,136243,0,0,0,128,0,0,0
Bögen,,Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.,,,45,6,136243,0,0,0,128,0,0,0
Schusswaffen,,Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.,,,46,6,136243,0,0,0,128,0,0,0
Streitkolben,,Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.,,,54,6,136243,0,0,0,128,0,0,0
Zweihandschwerter,,Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.,,,55,6,136243,0,0,0,128,0,0,0
Verteidigung,,"Eine höhere Verteidigungsfertigkeit erhöht die Chance, Angriffe zu parieren, blocken und ihnen auszuweichen, senkt die Chance des Gegners, Euch im Kampf zu treffen, und verringert die Wahrscheinlichkeit, durch einen kritischen Treffer verletzt zu werden.",,,95,6,136243,0,0,0,640,0,0,0
Sprache: Gemeinsprache,,,,,98,10,136243,0,0,0,144,0,0,0
Volksfähigkeit - Zwerge,,Volksfähigkeit - Zwerge,,,101,9,136243,0,0,0,33938,0,0,0
Sprache: Orcisch,,,,,109,10,136243,0,0,0,128,0,0,0
Sprache: Zwergisch,,,,,111,10,136243,0,0,0,128,0,0,0
Sprache: Darnassisch,,,,,113,10,136243,0,0,0,128,0,0,0
Sprache: Taurahe,,,,,115,10,136243,0,0,0,128,0,0,0
Beidhändigkeit,,Beidhändigkeit,,,118,6,136243,0,0,0,146,0,0,0
Volksfähigkeit - Tauren,,Volksfähigkeit - Tauren,,,124,9,136243,0,0,0,33938,0,0,0
Volksfähigkeit - Orcs,,Volksfähigkeit - Orcs,,,125,9,136243,0,0,0,32914,0,0,0
Volksfähigkeit - Nachtelfen,,Volksfähigkeit - Nachtelfen,,,126,9,136243,0,0,0,33938,0,0,0
Stäbe,,Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.,,,136,6,136243,0,0,0,128,0,0,0
Sprache: Thalassisch,,,,,137,10,136243,0,0,0,128,0,0,0
Sprache: Drakonisch,,,,,138,10,136243,0,0,0,128,0,0,0
Sprache: Dämonisch,,Die widerliche Sprache der Dämonen.,,,139,10,236293,0,0,0,128,0,0,0
Sprache: Titanensprache,,,,,140,10,136243,0,0,0,128,0,0,0
Sprache: Alte Sprache,,,,,141,10,136243,0,0,0,128,0,0,0
Überlebenskunst,,,,,142,9,136243,0,0,0,0,0,0,0
Pferdreiten,,,,,148,9,136243,0,0,0,1170,0,0,0
Wolfsreiten,,,,,149,9,136243,0,0,0,1170,0,0,0
Tigerreiten,,,,,150,9,136243,0,0,0,1170,0,0,0
Widderreiten,,,,,152,9,136243,0,0,0,1170,0,0,0
Schwimmen,,,,,155,9,136243,0,0,0,0,0,0,0
Zweihandstreitkolben,,Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.,,,160,6,136243,0,0,0,128,0,0,0
Unbewaffnet,,Eine erhöhte Fertigkeit steigert Eure Trefferchance.,,,162,6,136243,0,0,0,128,0,0,0
Schmiedekunst,Umarbeiten,"Eine hohe Schmiedefertigkeit ermöglicht es Euch, höherstufigere Schmiedepläne zu benutzen. Pläne könnt Ihr bei Lehrern überall in der Welt erwerben. Tote Gegner hinterlassen manchmal Schmiedepläne oder Ihr erhaltet sie als Questbelohnung.",,,164,11,4620670,1,0,0,4224,2018,0,0
Lederverarbeitung,Prägen,"Eine hohe Lederverarbeitungsfertigkeit ermöglicht es Euch, höherstufigere Schnittmuster zu benutzen. Muster könnt Ihr bei Lehrern überall in der Welt erwerben. Tote Gegner hinterlassen manchmal Schnittmuster oder Ihr erhaltet sie als Questbelohnung.",,,165,11,4620678,1,0,0,4224,2108,0,0
Alchemie,Nachfüllen,"Eine hohe Alchemiefertigkeit ermöglicht es Euch, höherstufigere Rezepte zu benutzen. Alchemierezepte könnt Ihr bei Lehrern überall in der Welt erwerben. Tote Gegner hinterlassen manchmal Rezepte oder Ihr erhaltet sie als Questbelohnung.",,,171,11,4620669,1,0,0,4224,2259,0,0
Zweihandäxte,,Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.,,,172,6,136243,0,0,0,128,0,0,0
Dolche,,Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.,,,173,6,136243,0,0,0,128,0,0,0
Kräuterkunde,,"Eine hohe Kräuterkundefertigkeit ermöglicht es Euch, schwierigere Kräuter zu ernten. Wenn Ihr ein bestimmtes Kraut nicht ernten könnt, steigert Eure Kräuterkundefertigkeit, indem Ihr in niedrigstufigeren Gebieten leichtere Kräuter erntet.",,,182,11,4620675,0,0,0,4224,2366,0,0
ALLGEMEIN (DND),,Allgemeine Fähigkeiten.,,,183,12,136243,0,0,0,1170,0,0,0
Kochkunst,,"Eine hohe Kochfertigkeit ermöglicht es Euch, höherstufigere Rezepte zu benutzen. Rezepte könnt Ihr bei Lehrern überall in der Welt erwerben. Tote Gegner hinterlassen manchmal Kochrezepte oder Ihr erhaltet sie als Questbelohnung.",,,185,9,4620671,1,0,0,128,2550,0,0
Bergbau,,"Eine hohe Bergbaufertigkeit ermöglicht es Euch, schwierigere Erzvorkommen abzubauen. Wenn Ihr ein bestimmtes Erzvorkommen nicht abbauen könnt, steigert Eure Bergbaufertigkeit, indem Ihr in niedrigstufigeren Gebieten leichtere Erzvorkommen abbaut.",,,186,11,4620679,0,0,0,4224,2575,0,0
Begleiter - Wichtel,,,,,188,7,136243,0,0,0,0,0,0,0
Begleiter - Teufelsjäger,,,,,189,7,136243,0,0,0,0,0,0,0
Schneiderei,Besticken,"Eine hohe Schneiderfertigkeit ermöglicht es Euch, höherstufigere Schnittmuster zu benutzen. Muster könnt Ihr bei Lehrern überall in der Welt erwerben. Tote Gegner hinterlassen manchmal Schnittmuster oder Ihr erhaltet sie als Questbelohnung.",,,197,11,4620681,1,0,0,4224,3908,0,0
Ingenieurskunst,Basteln,"Eine hohe Ingenieursfertigkeit ermöglicht es Euch, höherstufigere Baupläne zu benutzen. Baupläne könnt Ihr bei Lehrern überall in der Welt erwerben. Tote Gegner hinterlassen manchmal Baupläne oder Ihr erhaltet sie als Questbelohnung.",,,202,11,4620673,1,0,0,4224,4036,0,0
Tier - Spinne,,,,,203,7,136243,0,0,0,0,0,0,0
Begleiter - Leerwandler,,,,,204,7,136221,0,0,0,0,0,0,0
Begleiter - Sukkubus,,,,,205,7,136243,0,0,0,0,0,0,0
Begleiter - Höllenbestie,,,,,206,7,136243,0,0,0,0,0,0,0
Begleiter - Verdammniswache,,Verdammniswache,,,207,7,136243,0,0,0,0,0,0,0
Tier - Wolf,,,,,208,7,136243,0,0,0,0,0,0,0
Tier - Katze,,,,,209,7,136243,0,0,0,0,0,0,0
Tier - Bär,,,,,210,7,136243,0,0,0,0,0,0,0
Tier - Eber,,,,,211,7,136243,0,0,0,0,0,0,0
Tier - Krokilisk,,,,,212,7,136243,0,0,0,0,0,0,0
Tier - Aasvogel,,,,,213,7,136243,0,0,0,0,0,0,0
Tier - Krebs,,,,,214,7,136243,0,0,0,0,0,0,0
Tier - Primat,,,,,215,7,136243,0,0,0,0,0,0,0
Tier - Raptor,,,,,217,7,136243,0,0,0,0,0,0,0
Tier - Weitschreiter,,,,,218,7,136243,0,0,0,0,0,0,0
Volksfähigkeit - Untote,,Volksfähigkeit - Untote,,,220,9,136243,0,0,0,33938,0,0,0
Armbrüste,,Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.,,,226,6,136243,0,0,0,128,0,0,0
Zauberstäbe,,Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.,,,228,6,136243,0,0,0,146,0,0,0
Stangenwaffen,,Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.,,,229,6,136243,0,0,0,128,0,0,0
Tier - Skorpid,,,,,236,7,136243,0,0,0,0,0,0,0
Tier - Schildkröte,,,,,251,7,136243,0,0,0,0,0,0,0
Tier - Jäger allgemein,,,,,270,7,136243,0,0,0,0,0,0,0
Platte,,Erlaubt das Tragen von Plattenrüstungen.,,,293,8,136243,0,0,0,128,0,0,0
