ID,Name_lang,Tooltip_lang,Field_10_1_0_48776_002_lang,Field_8_2_0_30430_003
57,Eroberte Flaggen,"Flaggen, die von Euch erobert wurden",Eroberte Flaggen,0
58,Zerstörte Wälle,Anzahl der zerstörten gegnerischen Wälle,Zerstörte Wälle,0
59,Zerstörte Gebäude,Anzahl der zerstörten gegnerischen Gebäude,Zerstörte Gebäude,0
60,Zerstöre Tore,Anzahl der zerstörten Tore,Zerstöre Tore,0
61,Verteidigte Friedhöfe,Anzahl der verhinderten Friedhoferoberungen,Verteidigte Friedhöfe,0
62,Verteidigte Flaggen,"Flaggen, die Ihr in die eigene Basis zurückgebracht habt",Verteidigte Flaggen,0
63,Eroberte Türme,Anzahl der gestohlenen gegnerischen Turmbanner,Eroberte Türme,0
64,Sekundäre Ziele,Anzahl der erreichten sekundären Ziele,Sekundäre Ziele,0
65,Eroberte Basen,Anzahl der gestohlenen Flaggen aus der Feindbasis,Eroberte Basen,0
67,Verteidigte Türme,Anzahl der verhinderten Turmeroberungen,Verteidigte Türme,0
69,Verteidigte Basen,Anzahl der verhinderten Baseneroberungen,Verteidigte Basen,0
70,Zerstörte Verwüster,Anzahl der zerstörten Verwüster,Zerstörte Verwüster,0
71,Eroberte Friedhöfe,Anzahl der gestohlenen gegnerischen Friedhofsbanner,Eroberte Friedhöfe,0
75,Kontrollierte Loren,"Anzahl der Loren, bei deren Kontrolle Ihr geholfen habt",Kontrollierte Loren,0
78,Eroberte Loren,Anzahl der von Euch eroberten gegnerischen Minenloren,Eroberte Loren,0
79,Verteidigte Loren,Anzahl der von Euch vom Schlachtfeld zu Eurer Basis zurückgebrachten Minenloren,Verteidigte Loren,0
81,Verteidigte Minen,Anzahl der verhinderten Mineneroberungen,Verteidigte Minen,0
87,Kugeln besessen,"Anzahl der Male, die Ihr eine Kugel kontrolliert habt",Kugel besessen,0
88,Siegpunkte,Anzahl der gesammelten Siegpunkte,Siegpunkte,0
89,Punktestand,Siegbeitrag,Punktestand,0
98,Gesammelte Artefakte,"Anzahl der Artefaktfragmente, die Ihr gesammelt und abgegeben habt",Gesammelte Artefakte,0
99,Gesammeltes Azerit,Gesamtes von Euch gesammeltes Azerit,Gesammeltes Azerit,0
102,Gesammelte Zutaten,Anzahl der gesammelten Zutaten,Gesammelte Zutaten,0
1092,Eroberte Minen,Anzahl der gestohlenen Flaggen aus der Feindbasis,Eroberte Minen,0
1093,Eroberte Flaggen,"Flaggen, die von Euch erobert wurden",Eroberte Flaggen,0
1097,Gewonnene Runden,,Gewonnene|nRunden,0
1100,Kristalleroberungen,Anzahl der von Euch eroberten Kristalle,Kristalleroberungen,0
