ID,Name_lang,LocaleMask,Create_charsetMask,Existing_charsetMask,Flags,Order
1,Entwicklung,0,0,0,0,-127
2,Vereinigte Staaten,0,1,1,0,0
3,Ozeanisch,0,1,1,0,0
4,Lateinamerika,0,1,1,0,0
5,Turnier,0,1,1,1,50
6,Korea,0,10,10,0,0
7,Turnier,0,10,10,1,50
8,Englisch,3277,1,1,0,0
9,Deutsch,3277,1,1,0,0
10,Französisch,3277,1,1,0,0
11,Spanisch,3277,1,1,0,0
12,Russisch,256,4,4,0,0
13,Turnier,0,1,1,1,50
14,Taiwan,0,17,17,0,-127
15,Turnier,0,17,17,1,50
16,China,0,17,17,0,0
17,CN1,0,17,17,0,0
18,CN2,0,17,17,0,0
19,CN3,0,17,17,0,0
20,CN4,0,17,17,0,0
21,CN5,0,17,17,0,0
22,CN6,0,17,17,0,0
23,CN7,0,17,17,0,0
24,CN8,0,17,17,0,0
25,Turnier,0,17,17,1,50
26,Test Server,0,0,0,0,0
27,Turnier,0,0,0,1,50
28,QA Server,0,0,0,0,0
29,CN9,0,17,17,0,0
30,Test Server 2,0,0,0,0,0
31,CN10,0,17,17,0,0
32,CTC,0,17,17,0,0
33,CNC,0,17,17,0,0
34,CN1/4,0,17,17,0,0
35,CN2/6/9,0,17,17,0,0
36,CN3/7,0,17,17,0,0
37,CN5/8,0,17,17,0,0
38,"Russisch, Turnier",256,4,4,1,51
39,CN11,0,17,17,0,0
40,CN12,0,17,17,0,0
41,CN13,0,17,17,0,0
42,CN14,0,17,17,0,0
43,CN15,0,17,17,0,0
44,CN16,0,17,17,0,0
45,CN17,0,17,17,0,0
46,CN18,0,17,17,0,0
47,CN19,0,17,17,0,0
48,CN20,0,17,17,0,0
49,Brasilien,0,1,1,0,0
50,Italienisch,3277,1,1,0,0
51,Hyrule,0,0,0,0,0
52,QA2 Test,0,0,0,0,0
55,Empfohlener Realm,0,17,17,0,0
56,Test,0,1,1,0,80
58,Future Test,0,1,1,0,80
159,Regionaler Test,0,0,0,0,80
160,Classic,0,0,0,0,0
161,Classic,0,0,0,0,0
162,USA West,0,1,1,0,-50
163,USA Ost,0,1,1,0,-49
164,Automation,0,0,0,0,0
165,Era Test,0,0,0,0,0
166,Classic-Ära,0,1,1,0,0
167,Classic-Ära,3277,1,1,0,0
168,Classic-Ära,0,10,10,0,0
169,Classic-Ära,0,17,17,0,0
170,Classic-Ära,0,17,17,0,0
171,Saisonbedingt,0,1,1,0,-127
172,Saisonbedingt,3277,1,1,0,-127
173,Saisonbedingt,0,10,10,0,-127
174,Saisonbedingt,0,17,17,0,-127
175,Saisonbedingt,0,17,17,0,-127
179,Testkopie,0,17,17,0,-127
180,Global,0,17,17,0,0
181,Hardcore,0,0,0,0,0
182,Saisonbedingt,0,0,0,0,0
183,Internal Dev,0,0,0,2,0
184,Dev 3,0,1,1,2,0
185,PS,0,1,1,2,0
186,Beta,0,0,0,0,0
187,NetEase-Test,0,17,17,0,0
188,Rückkehr nach Nordend,0,1,1,2,0
189,Progression,0,1,1,0,0
190,Progression,3277,1,1,0,0
191,Progression,0,10,10,0,0
192,Progression,0,17,17,0,0
193,Progression,0,17,17,0,0
194,Jubiläum,0,1,1,0,-127
195,Jubiläum,0,10,10,0,-127
196,Jubiläum,3277,1,1,0,-127
197,Jubiläum,0,17,17,0,-127
198,Jubiläum,0,17,17,0,-127
199,Classic-Ära,0,17,17,0,0
201,Classic-Ära,0,0,0,0,0
202,Jubiläum,0,0,0,0,0
203,Aktiv,0,1,1,0,-50
204,Klassisch,0,1,1,0,-49
205,Aktiv,0,1,1,0,-50
206,Klassisch,0,1,1,0,-49
207,Titanen-neugeschmiedet,0,17,17,0,0
