SourceText_lang,ID,CostItemID,CurrencyID,OrderIndex,ItemBonusSeasonID,FragmentItemID,FragmentsEarnedTrackingCurrencyID
"Errungen:|n- In mythischen Dungeons von Dragonflight unter Stufe 6|n- Von Bossen in Aberrus auf dem Schwierigkeitsgrad 'Schlachtzugsbrowser'|n- Bei Weltquests, Schätzen und Aktivitäten in der Zaralekhöhle",9,204193,0,1,3,204075,2409
Errungen:|n- In mythischen Dungeons von Dragonflight zwischen Stufe 6 und 10|n- Von Bossen in Aberrus auf dem Schwierigkeitsgrad 'Normal'|n- Bei bestimmten wöchentlichen Aktivitäten in der Zaralekhöhle,10,204195,0,2,3,204076,2410
Errungen:|n- Von Bossen in Aberrus auf dem Schwierigkeitsgrad 'Heroisch'|n- In mythischen Dungeons von Dragonflight zwischen Stufe 11 und 15,11,204196,0,3,3,204077,2411
Errungen:|n- Von Bossen in Aberrus auf dem Schwierigkeitsgrad 'Mythisch'|n- In mythischen Dungeons von Dragonflight über Stufe 16,12,204194,0,4,3,204078,2412
,14,0,2706,1,7,0,0
,15,0,2707,2,7,0,0
,16,0,2708,3,7,0,0
,17,0,2709,4,7,0,0
,18,0,2806,1,8,0,0
,19,0,2807,2,8,0,0
,20,0,2809,3,8,0,0
,21,0,2812,4,8,0,0
