ID,Name_lang,TotemCategoryType,TotemCategoryMask
1,Kürschnermesser (alt),1,1
2,Erdtotem,2,1
3,Lufttotem,2,2
4,Feuertotem,2,4
5,Wassertotem,2,8
6,Runenverzierte Verzauberkunstrute,24,65536
7,Runenverzierte Verzauberkunstrute,24,65536
8,Runenverzierte Verzauberkunstrute,24,65536
9,Runenverzierte Verzauberkunstrute,24,65536
10,Runenverzierte Verzauberkunstrute,24,65536
11,Spitzhacke (alt),21,1
12,Stein der Weisen,22,1
13,Schmiedehammer,23,1
14,Bogenlichtschraubenschlüssel,24,1
15,Gyromatischer Mikroregler,24,2
21,Meistertotem,2,15
41,Runenverzierte Verzauberkunstrute,24,65536
62,Runenverzierte Verzauberkunstrute,24,65536
63,Runenverzierte Verzauberkunstrute,24,65536
81,Hohler Federkiel,22,4
101,Runenverzierte Verzauberkunstrute,24,69631
121,Schreibzeug des Virtuosen,24,-2147483648
141,Trommeln,24,1073741824
161,Gnomisches Armeemesser,24,127
162,Schmiedehammer,24,4
165,Spitzhacke,24,8
166,Kürschnermesser,24,16
167,Spitzhammer,24,12
168,Klingenhacke,24,24
169,Feuerstein und Zunder,24,32
189,Runenverzierte Verzauberkunstrute,24,65536
190,Runenverzierte Verzauberkunstrute,24,65536
209,Runenverzierte Verzauberkunstrute,24,65536
210,Hochleistungsbolzenschusspistole,24,64
230,Runenverzierte Verzauberkunstrute,24,65536
238,Juwelierswerkzeuge,24,64
250,Ultimatives gnomisches Armeemesser,24,-2147417985
253,Lana'thels blutiger Federkiel,61,1
354,Üb3r-Schrauber,24,1
355,Leerenfokus,162,1
356,Verstärkter Leerenfokus,162,3
357,Entfesselter Leerenfokus,162,7
358,Meisterbastler,24,-2147483553
359,Gravurset des Virtuosen,24,-2147483648
362,Ingenieursmehrzweckwerkzeug,24,71
369,Gnomisches Armeeallzweckwerkzeug,164,-1
