Name_lang,SourceText_lang,Description_lang,ID,MountTypeID,Flags,SourceTypeEnum,SourceSpellID,PlayerConditionID,MountFlyRideHeight,UiModelSceneID,MountSpecialRiderAnimKitID,MountSpecialSpellVisualKitID
Braunes Pferd,|cFFFFD200Verkäufer: |rUnger Stattfort|n|cFFFFD200Zone: |rSumpfland|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Dank seiner Geduld und Ausdauer ein Favorit bei den Wachen von Sturmwind.,6,230,0,2,458,0,0,4,0,0
Grauer Wolf,|cFFFFD200Verkäufer: |rOgunaro Wolfsläufer|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Diese Wolfsart bevorzugt es, im Nebel zu jagen, und verlässt sich dabei darauf, dass ihr rauchiges Fell sie vor ahnungsloser Beute versteckt.",7,230,64,2,459,0,0,4,0,0
Schimmel,|cFFFFD200Klassisch|r,Der mächtige und unbeugsame Schimmel kommt oft in den Mythen der alten Menschenstämme vor.,8,230,64,2,468,0,0,4,0,0
Rappe,|cFFFFD200Verkäufer: |rKatie Stokx|n|cFFFFD200Zone: |rSturmwind|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Wird angeblich wegen seines dunklen Fells von der SI:7 bei Nachtmissionen bevorzugt.,9,230,0,2,470,0,0,4,0,0
Schecke,|cFFFFD200Verkäufer: |rKatie Stokx|n|cFFFFD200Zone: |rSturmwind|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Aufgrund seines ruhigen Temperaments eignet er sich hervorragend, um junge Kinder ans Reiten zu gewöhnen.",11,230,0,2,472,0,0,4,0,0
Schwarzer Wolf,|cFFFFD200Verkäufer: |rOgunaro Wolfsläufer|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Heult laut genug, um meilenweit gehört zu werden.",12,230,64,2,578,0,0,4,0,0
Roter Wolf,|cFFFFD200Klassisch|r,"Es verbleiben nur noch wenige in ganz Azeroth, und nur die Erfahrensten von uns haben sie je zu Gesicht bekommen.",13,230,64,2,579,0,0,4,0,0
Waldwolf,|cFFFFD200Verkäufer: |rOgunaro Wolfsläufer|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Heult laut genug, um meilenweit gehört zu werden.",14,230,0,2,580,0,0,4,0,0
Winterwolf,|cFFFFD200Klassisch|r,Uralte Legenden der Furbolgs nach waren Wölfe mit weißem Fell durch die zwei Monde von Azeroth gesegnet.,15,230,64,2,581,0,0,4,0,0
Teufelsross,|cFFFFD200Klasse: |rHexenmeister,"Durch dämonische Mächte verdorben und einst gezwungen, dem Schattenrat zu dienen.",17,230,0,1,5784,31504,0,4,0,0
Kastanienbraune Stute,|cFFFFD200Verkäufer: |rKatie Stokx|n|cFFFFD200Zone: |rSturmwind|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Robust und beständig: ""Das Pferd, mit dem Sturmwind gebaut wurde.""",18,230,0,2,6648,0,0,4,0,0
Terrorwolf,|cFFFFD200Verkäufer:|r Ogunaro Wolfsläufer|n|cFFFFD200Ort:|r Orgrimmar|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Man dachte, es gäbe ihn nur noch im hohen Norden. Jene, die sich auf den Winter vorbereiten, hätten sie gerne.",19,230,0,2,6653,0,0,4,0,0
Brauner Wolf,|cFFFFD200Verkäufer: |rOgunaro Wolfsläufer|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Heult laut genug, um meilenweit gehört zu werden.",20,230,0,2,6654,0,0,4,0,0
Grauer Widder,|cFFFFD200Verkäufer: |rVeron Bernruh|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Männliche Widder rammen häufig stundenlang ihre Schädel aneinander, um Weibchen zu imponieren. In dieser Hinsicht ähneln sie recht stark den Zwergen.",21,230,0,2,6777,0,0,4,0,0
Schwarzer Widder,|cFFFFD200Klassisch|r,"Gezüchtet wurden die schon seit Ewigkeiten nicht mehr, doch mit der Stärke eines Widders lässt man sich eben nicht unterkriegen. - Veron Bernruh",22,230,64,2,6896,0,0,4,0,0
Weißer Widder,|cFFFFD200Verkäufer: |rVeron Bernruh|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Männliche Widder rammen häufig stundenlang ihre Schädel aneinander, um Weibchen zu imponieren. In dieser Hinsicht ähneln sie recht stark den Zwergen.",24,230,0,2,6898,0,0,4,0,0
Brauner Widder,|cFFFFD200Verkäufer: |rVeron Bernruh|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Männliche Widder rammen häufig stundenlang ihre Dickschädel aneinander, um Weibchen zu imponieren. In dieser Hinsicht ähneln sie recht stark den Zwergen.",25,230,0,2,6899,0,0,4,0,0
Gestreifter Frostsäbler,|cFFFFD200Verkäufer: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Der maßlose Appetit dieses tüchtigen Reittiers hat ihm in der Sprache der Nachtelfen den Spitznamen ""Drachenbauch"" eingebracht.",26,230,0,2,8394,0,0,4,0,0
Smaragdgrüner Raptor,|cFFFFD200Verkäufer: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Wurde aus den wildesten Herden gezüchtet und beißt garantiert nicht (oft).,27,230,0,2,8395,0,0,4,0,0
Skelettpferd,|cFFFFD200Klassisch|r,Wie die meisten untoten Wesen hat es sein Schicksal nicht selbst gewählt.,28,230,64,2,8980,0,0,4,0,0
Gefleckter Frostsäbler,|cFFFFD200Verkäufer: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Kosten: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n,"Der maßlose Appetit dieses tüchtigen Reittiers hat ihm in der Sprache der Nachtelfen den Spitznamen ""Drachenbauch"" eingebracht.",31,230,0,2,10789,0,0,4,0,0
