ID,Name_lang,HonorLevel,BadgeTextureFileDataID,Flags,AwardedAchievementID
1,Ehrestufe 5,5,1375574,0,12893
2,Ehrestufe 10,10,1375575,0,12894
3,Ehrestufe 15,15,1375576,0,12895
4,Ehrestufe 20,20,1375577,0,12900
6,Ehrestufe 25,25,1551554,1,12901
8,Ehrestufe 30,30,1551555,1,12902
9,Ehrestufe 40,40,1551556,1,12903
10,Ehrestufe 50,50,1551557,1,12904
11,Ehrestufe 60,60,1567394,0,12905
12,Ehrestufe 70,70,1597388,0,12906
13,Ehrestufe 80,80,1597390,0,12907
14,Ehrestufe 90,90,1597392,0,12908
15,Ehrestufe 100,100,1597394,0,12909
16,Ehrestufe 125,125,1597397,0,12910
17,Ehrestufe 150,150,1597398,0,12911
18,Ehrestufe 175,175,1597399,0,12912
19,Ehrestufe 200,200,1597400,0,12913
20,Ehrestufe 250,250,1713158,0,12914
21,Ehrestufe 300,300,1713159,0,12915
22,Ehrestufe 400,400,1713160,0,12916
23,Ehrestufe 500,500,1713161,0,12917
24,Ehrestufe 600,253,1713162,0,0
25,Ehrestufe 750,254,1713163,0,0
26,Ehrestufe 1000,255,1713164,0,0
