ID,Name_lang,Flags,UsesPerWeek,MaxCharges,ChargeRecoveryTime,TypeMask
1,Standard,0,0,0,0,0
2,Direktschaden - Zauber,0,0,0,0,0
4,Gegenstand - Kampf (Trank),32,0,0,0,0
11,Gegenstand - Speise,0,0,0,0,0
12,Heilung - Zauber,0,0,0,0,0
17,Schneller Stärkungszauber (Widerstand) - Zauber,0,0,0,0,0
18,Regelmäßiger Schaden - Zauber,0,0,0,0,0
19,Schneller Schaden - Zauber,0,0,0,0,0
20,Unverwundbarkeit (Andere),0,0,0,0,0
21,Schneller Stärkungszauber - Zauber,0,0,0,0,0
22,Schneller Schwächungszauber - Zauber,0,0,0,0,0
23,Beschwörung,0,0,0,0,0
24,Gegenstand - Kampf (Offensiv),0,0,0,0,0
25,Schnelle Heilung - Zauber,0,0,0,0,0
26,Auferstehung (Vollständig),0,0,0,0,0
27,Gegenstand - Rolle,0,0,0,0,0
28,Gegenstand - Schneller Stärkungszauber,0,0,0,0,0
29,Gegenstand - Schwächungszauber,0,0,0,0,0
30,Gegenstand - Heilung,32,0,0,0,0
31,Herbeizaubern (Kurz),0,0,0,0,0
32,Betäuben,0,0,0,0,0
33,Betörung,0,0,0,0,0
34,Unbeweglichkeit,0,0,0,0,0
35,Direktschaden (FE) - Zauber,0,0,0,0,0
36,Schwächungszauber - Zauber,0,0,0,0,0
37,Unverwundbarkeit,0,0,0,0,0
38,Aura,0,0,0,0,0
39,Gestaltwandel,0,0,0,0,0
40,Nahkampf (Allgemein),0,0,0,0,0
41,Kritisch,0,0,0,0,0
42,Verlangsamung,0,0,0,0,0
43,Ruf,0,0,0,0,0
44,Tempo,0,0,0,0,0
45,Totem (Steinklaue),0,0,0,0,0
46,Heilung (Gruppe) - Zauber,0,0,0,0,0
47,Kampfstatus,0,0,0,0,0
49,Direktschaden (FE) - Fähigkeit,0,0,0,0,0
50,Direktschaden (FE: Kegel) - Fähigkeit,0,0,0,0,0
51,Schneller Schwächungszauber (SPS) - Zauber,0,0,0,0,0
52,Schneller Schwächungszauber (SR) - Zauber,0,0,0,0,0
54,Schneller Stärkungszauber (SR) - Zauber,0,0,0,0,0
55,Schneller Stärkungszauber (SPS) - Zauber,0,0,0,0,0
56,Sofortheilung - Zauber,0,0,0,0,0
57,Schnelle Heilung (Gruppe) - Zauber,0,0,0,0,0
58,Sofortheilung (Gruppe) - Zauber,0,0,0,0,0
59,Gegenstand - Getränk,0,0,0,0,0
60,Unverwundbarkeit (Temporär),0,0,0,0,0
61,Energetisieren (Gruppe) - Zauber,0,0,0,0,0
62,Energetisieren - Zauber,0,0,0,0,0
63,Hoher Direktschaden - Zauber,0,0,0,0,0
64,Minikarte spezial,0,0,0,0,0
65,Nahkampf (Spezial),0,0,0,0,0
66,Ausweichmanöver,0,0,0,0,0
67,Blockmanöver,0,0,0,0,0
68,Pariermanöver,0,0,0,0,0
72,Direktschaden (FE: Anhaltend) - Zauber,0,0,0,0,0
73,Kampfkunst (Allgemein),0,0,0,0,0
74,Kampfkunst (Spezial),0,0,0,0,0
75,Entdecken,0,0,0,0,0
76,Schießen/Werfen,0,0,0,0,0
77,Handwerk - Kräuterkunde,0,0,0,0,0
78,Handwerk - Bergbau,0,0,0,0,0
79,Gegenstand - Trank (Nicht-Kampf),0,0,0,0,0
82,Spott/Spott aufheben,0,0,0,0,0
83,Zähmen,0,0,0,0,0
84,Spott (FE),0,0,0,0,0
85,Direktschaden (FE: Kette) - Fähigkeit,0,0,0,0,0
86,Begleiter,0,0,0,0,0
87,Herbeizaubern (Lang),0,0,0,0,0
88,Stille,0,0,0,0,1
89,Portal,0,0,0,0,0
93,Bezauberung,0,0,0,0,0
94,Gegenstand - Beschwörung,0,0,0,0,0
95,Volksfähigkeit,0,0,0,0,0
96,Volksfähigkeit 2,0,0,0,0,0
97,Sekundär - Überleben,0,0,0,0,0
98,Hoher Direktschaden - Zauber (2),0,0,0,0,0
99,Spontanzauber,0,0,0,0,0
100,Gegenstand - Manaedelstein,0,0,0,0,0
101,Teufelsjäger,0,0,0,0,0
102,Gegenstand - Langer Stärkungszauber,0,0,0,0,0
103,Gegenstand - Episch,0,0,0,0,0
104,Totem (Heilung),0,0,0,0,0
105,Totem (Schlange),0,0,0,0,0
106,Totem (Verlangsamung),0,0,0,0,0
107,Totem (Mana),0,0,0,0,0
108,Totem (Unsichtbarkeit),0,0,0,0,0
109,Nahkampf (Entwaffnen),0,0,0,0,0
132,Disziplin,0,0,0,0,0
133,Global,0,0,0,0,0
150,Gegenstand - Verband,0,0,0,0,0
170,Finishing-Move (Waffenskaliert),0,0,0,0,0
190,Verbannung,0,0,0,0,0
230,Totem (Erdung),0,0,0,0,0
250,Druckwelle,0,0,0,0,0
270,Nierenhieb,0,0,0,0,0
290,Pyroschlag,0,0,0,0,0
310,Transmutieren - Alchemie,8,0,0,0,0
330,Reittier,0,0,0,0,0
350,Innere Wut,0,0,0,0,0
351,Distanzwaffe,2,0,0,0,0
371,Blitzschlagschild,0,0,0,0,0
391,Quest - Teufelsfluch,0,0,0,0,0
411,Falle (Frost),0,0,0,0,0
431,Heilige Nova,0,0,0,0,0
451,Heiliges Feuer,0,0,0,0,0
471,Eisbarriere,0,0,0,0,0
511,Astraler Rückruf,0,0,0,0,0
531,Griff der Natur,0,0,0,0,0
551,Aura des Frommen,0,0,0,0,0
571,Hurrikan,0,0,0,0,0
591,Totem (Manaflut),0,0,0,0,0
611,Schwingen der Hoffnung,0,0,0,0,0
631,Seelenfeuer,0,0,0,0,0
633,Todesmantel,0,0,0,0,0
634,Schreckensgeheul,0,0,0,0,0
651,Class - Warlock - Shadowburn,0,0,2,12000,1
671,Verzweifeltes Gebet,0,0,0,0,0
672,Class - Warlock - Conflagrate,0,0,2,12960,1
691,Verschlingende Seuche,0,0,0,0,0
731,Hexenmeisterbegleiter beschwören,0,0,0,0,0
751,Baumgestalt,0,0,0,0,0
791,Gegenstand - Salzstreuer,0,0,0,0,0
811,Göttlicher Eingriff,0,0,0,0,0
831,Seelenstein,0,0,0,0,0
851,Wiederherstellung,0,0,0,0,0
871,Schattenmimik,0,0,0,0,0
891,Wirbelwind,0,0,0,0,0
892,Heiliger Schock,0,0,0,0,4
911,Ablenkender Schuss,0,0,0,0,0
931,Heiliger Schild,0,0,0,0,0
932,Weihe,0,0,0,0,0
951,PvP-Schlachtfeldgegenstand - LANG (30 Min.),0,0,0,0,0
971,Class - Warrior - Mortal Strike,0,0,1,6000,1
991,Gegenstand - Schneesteuerung,0,0,0,0,0
1011,Rasende Heilung,0,0,0,0,0
1031,Gegenstand - 30 Min.,0,0,0,0,0
1051,Gegenstand - Überbrückungskabel,0,0,0,0,0
1071,Gegenstand - Jubling,0,0,0,0,0
1091,Schlachtfeld-Rückruf,0,0,0,0,0
1111,Wyverngift,0,0,0,0,0
1131,Hammer der Rache,0,0,0,0,0
1132,Einschüchterung,0,0,0,0,0
1133,Feenfeuer (Tiergestalt),0,0,0,0,0
1134,Riposte,0,0,0,0,0
1135,Gegenangriff,0,0,0,0,0
1136,Feiertag - Feuerwerksraketen,0,0,0,0,0
1137,Feiertag - Knallfrösche,0,0,0,0,0
1138,Magische Fernkampfwaffen,0,0,0,0,0
1139,Gegenstand - Quest (10 Min.),0,0,0,0,0
1140,Gegenstand - Quest (1 Min.),0,0,0,0,0
1141,Gegenstand - Stärkungsschmuckstück,0,0,0,0,0
1142,Feiertag - Valentin,0,0,0,0,0
1143,Gegenstand - Zieldummy,0,0,0,0,0
1144,Volksfähigkeit Priester,0,0,0,0,0
1145,Lichtbrunnen,0,0,0,0,0
1146,Gegenstand - Verzauberkunstrute,0,0,0,0,0
1147,Champion wiederbeleben,0,0,0,0,0
1148,Zauberstein,0,0,0,0,0
1149,Quest - 1 Stunde,0,0,0,0,0
1150,Schattendonnerstoß,0,0,0,0,0
1151,Talent - SPS,0,0,0,0,0
1152,Creature Special 1,0,0,0,0,0
1153,Gegenstand - Kampf (Nicht-Offensiv),0,0,0,0,0
1154,Juwelenschleifen - Juwel schleifen,0,0,0,0,0
1155,Arathibecken-Schmuckstück,0,0,0,0,0
1156,Reincarnation (Pet Talent),0,0,0,0,0
1157,Gegenstand - Quest (10 Sek.),0,0,0,0,0
1158,Abfangen,0,0,0,0,0
1159,Kreatur: Spezial 2,0,0,0,0,0
1160,Gegenstand - Epischer Priesterstab,0,0,0,0,0
1161,Reincarnation (Player),0,0,0,0,0
1162,Unsichtbarkeit,0,0,0,0,0
1163,"Schachabklingzeit, Bewegung",0,0,0,0,0
1164,Quest - Azurmythosreittier,0,0,0,0,0
1165,Welle des Schmerzes,0,0,0,0,0
1166,PvP-Schmuckstück/Wille der Verlassenen,0,0,0,0,0
1167,Quest - Brocken werfen,0,0,0,0,0
1168,Rauchsignal,0,0,0,0,0
1169,Schattenwort: Tod,0,0,1,10000,1
1170,Quest - Luftangriff,0,0,0,0,0
1171,Class - Hunter - Survival - Kill Command,0,0,1,6000,1
1172,Flinker Schuss,0,0,0,0,0
1173,Arkaner Schuss,0,0,0,0,0
1174,Verzauberkunst,0,0,0,0,0
1175,PvP - Hunter Stings,0,0,0,0,0
1176,Ruhestein,0,0,0,0,0
1177,Ritual der Seelen/Erfrischung,0,0,0,0,0
1178,Verstohlenheitsbeginn,0,0,0,0,0
1179,Fluch der Verdammnis,0,0,0,0,0
1180,Goblinischer Raketenhelm,0,0,0,0,0
1181,Gebet der Besserung,0,0,0,0,0
