Name_lang,Description_lang,ID,TriggerEnum,Flags
,,1,1,3
,,2,2,0
Standorte,"|cnHIGHLIGHT_FONT_COLOR:Alle Standorte:|r Diese Kleidung ist an allen Standorten gültig. Kleidung, die einem bestimmten Standort zugeordnet ist, wird bevorzugt.|n|n|cnHIGHLIGHT_FONT_COLOR:Ruhebereiche:|r Gebiete ohne Kämpfe wie Städte oder Nachbarschaften.|n|n|cnHIGHLIGHT_FONT_COLOR:Haus:|r Das Haus Eurer Kriegsmeute.|n|n|cnHIGHLIGHT_FONT_COLOR:Charakterauswahl:|r Die Anzeige für Euer Kriegsmeutenlager sowie eine eigenständige Ansicht.|n|n|cnHIGHLIGHT_FONT_COLOR:Welt:|r Außenbereiche mit Kämpfen.",3,3,4
Bewegung,"Wählt die Art der Bewegung, für die diese Kleidung gültig ist.",4,4,4
Spezialisierungen,"Wählt die Spezialisierungen, für die diese Kleidung gültig ist.",5,5,4
Ausrüstungssets,"Wählt die Ausrüstungssets, für die diese Kleidung gültig ist.",6,6,4
Völkerformen,"Wählt die Völkerformen, für die diese Kleidung gültig ist.",7,7,4
,,9,8,0
Wetter,"Wählt die Wetterbedingungen, für die diese Kleidung gültig ist.",11,9,4
Tageszeit,"Wählt die Tageszeit, für die diese Kleidung gültig ist.",12,10,4
