ID,Question_lang
28,Wurde Dir durch den GM eine passende Antwort oder Lösung auf Deine Frage oder Dein Problem gegeben?
29,"Wie einfach war es, die zur Verfügung gestellten Informationen zu verstehen und / oder zu befolgen?"
30,"War der GM während eures Gesprächs sachkundig, respektvoll und zuvorkommend?"
31,Wie würdest Du die Antwortzeit bis zur Bearbeitung Deines Tickets bewerten?
32,"Wie würdest Du den Gesamteindruck des GMs bewerten, der Dein Ticket bearbeitet hat?"
33,"Wie hoch ist die Wahrscheinlichkeit, dass Du aufgrund Deiner Erfahrungen mit dem Kundendienst World of Warcraft weiterempfehlen würdest?"
35,Würdest Du basierend auf dieser Erfahrung mit dem Kundendienst einem Freund Blizzard-Produkte und Blizzard-Dienstleistungen empfehlen?
36,Wurde Dein Problem gelöst?
37,... war mein Gesamteindruck mit dem Kundendienst von Blizzard:
38,... war meine Wartezeit beim Kundendienst von Blizzard:
39,... war die Professionalität dieses Blizzard-Mitarbeiters:
40,... war die Kommunikationsfähigkeit dieses Blizzard-Mitarbeiters:
41,... war die Gesamtleistung dieses Blizzard-Mitarbeiters:
42,Wie zufrieden bist Du mit World of Warcraft insgesamt?
43,"Wie hoch ist die Wahrscheinlichkeit, dass Du auch in Zukunft weiter World of Warcraft spielen wirst?"
44,"Wie hoch ist die Wahrscheinlichkeit, dass Du World of Warcraft einem Freund weiterempfehlen wirst?"
45,Wie zufrieden warst Du mit dem gebotenen Service durch den Mitarbeiter bei Deinem letzten Kontakt mit Blizzard?
46,Der Mitarbeiter hat den Grund meiner Kontaktaufnahme mit Blizzard eindeutig verstanden.
47,Ich wurde wie ein geschätzter Kunde behandelt.
48,Der Mitarbeiter hat verständliche und genaue Informationen vermittelt.
49,"Der Mitarbeiter hat erklärt, wie mein Problem weiter behandelt wird."
50,Wurde Dein Problem gelöst?
51,Wie zufrieden bist Du mit der Wartezeit bis zur Kontaktaufnahme durch den Mitarbeiter?
52,Nach wie vielen Kontakten mit Blizzard wurde Dein Problem behoben?
53,Der Mitarbeiter war sachkundig.
