AreaName_lang,ID,OrderIndex,PlayerConditionID,Field_11_1_5_59571_004,AreaID
Kammer des Verlorenen Lichts,1,0,68604,0,9994
Die Handwerkerterrasse,2,1,63282,0,8670
Wankender Anker,3,0,63448,0,9401
Das Unterwasserloch,4,0,63426,0,9617
Der Sinkende Schwimmer,5,0,5703,0,9617
Heymans Unterschlupf,6,0,63291,0,8502
Die Sandbar,7,0,63292,0,8733
Die Schreiende Grube,8,0,5703,0,9698
Torgas Taverne,9,0,63306,0,8502
Der Walbauch,10,0,63374,0,8567
Peonschlupfwinkel,11,0,65214,0,5484
Grongs Grotte,12,0,65990,0,9420
Grongs Grotte,13,0,65990,0,8731
Unterschlupf,15,0,67602,0,9979
Unterschlupf,16,0,67602,0,8717
Anduins Zorn,17,0,67138,0,10454
Morgenwind,18,0,67139,0,10454
Tiffins Melodie,19,0,67140,0,10454
Löwenherz,20,0,67141,0,10454
Löwenherz,21,0,67141,0,10455
Tiffins Melodie,22,0,67140,0,10455
Morgenwind,23,0,67139,0,10455
Anduins Zorn,24,0,67138,0,10455
Licht der Loa,25,0,68603,0,9994
Salon des Wahnsinnigen Herzogs,27,0,73061,0,10985
Costels Unterschlupf,28,0,73506,0,10985
Animalisches Anwesen,29,1,76787,0,10985
Sitz des Primus,30,0,78035,0,11466
Zitadelle des Zweifels,31,0,0,0,13311
Zerekriss,42,0,85380,0,11462
Die Flickwerke,43,0,86352,0,13473
Zolramus,44,0,86354,0,13473
Arkobanhalle,45,0,87430,0,13400
Folterkammer: Jaina,46,0,87491,0,13404
Folterkammer: Thrall,47,0,87550,0,13413
Ring des Tanzes,48,0,88819,0,11510
Ring des Tanzes,49,0,88819,0,12244
Ring des Tanzes,50,0,88819,0,12243
Ossuarium der Verbannten,51,0,89786,0,13575
Tempel der Hingabe,52,0,91076,0,11379
Der Riss,53,0,91308,0,13196
Der Riss,54,0,91308,0,11524
Der Riss,55,0,91308,0,11528
Der Riss,56,0,91308,0,11530
Der Riss,57,0,91308,0,11400
Der Riss,58,0,91308,0,13217
Der Riss,59,0,91308,0,13216
Der Riss,60,0,91308,0,13560
Der Riss,61,0,91308,0,11526
Der Riss,62,0,91308,0,13215
Höhle des Anmaßenden,63,0,91308,0,13432
Der Riss,64,0,91308,0,11525
Der Riss,65,0,91308,0,13222
Der Riss,66,0,91308,0,11529
Der Riss,67,0,91308,0,13223
Der Riss,68,0,91308,0,13437
Der Riss,69,0,91308,0,13218
Der Riss,70,0,91308,0,13491
Der Riss,71,0,91308,0,13492
Der Riss,72,0,91308,0,11527
Der Riss,73,0,91308,0,13219
Der Riss,74,0,91308,0,13221
Der Riss,75,0,91308,0,13570
Der Riss,76,0,91308,0,13624
Der Riss,77,0,91308,0,13625
Der Riss,78,0,91308,0,13626
Der Riss,79,0,91308,0,13627
Der Riss,80,0,91308,0,13628
Der Riss,81,0,91308,0,13629
Der Riss,82,0,91308,0,13630
Der Riss,83,0,91308,0,13631
Der Riss,84,0,91308,0,13666
Der Riss,85,0,91308,0,13673
Der Riss,86,0,91308,0,13677
Der Riss,87,0,91308,0,13538
Sühne des Gefallenen Königs,88,0,92820,0,13561
Der Rundblick des Auges,89,3,92897,0,13561
Das Blubberbad,90,0,102752,0,14158
Die Seglerschenke,91,0,105179,0,13646
Gewölbe von Zskera: Ur,92,0,105458,0,14619
Gewölbe von Zskera: Az,93,0,105457,0,14619
Gewölbe von Zskera,94,0,108147,0,14619
Gewölbe von Zskera: Kx,95,0,106952,0,14619
Gewölbe von Zskera: Ix,96,0,105459,0,14619
Durchdringungslager: Gefrierbrand,97,3,109548,0,13892
Durchdringungslager: Glutwind,98,1,107864,0,13754
Durchdringungslager: Gefrierbrand,99,1,109548,0,13860
Ruinen von Felsheim,100,0,111020,0,14875
Großes Bollwerk,101,1,125385,0,15362
Großes Bollwerk,103,1,125385,0,15364
Terrasse der Majestät,104,1,125954,0,15365
Die Aufsteigenden Weiten,105,1,126053,0,15365
Kili-zar-Arena,106,1,126056,0,15365
Entrepreneur AG,107,0,127336,0,15351
Entrepreneur AG,108,0,127336,0,15350
Die Gelddruckerei,109,0,128497,0,15347
