Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Yellow [DNT],[DNT] This is a UI Engineering test SubTree.,9,18688,898
Pink [DNT],[DNT] This is a UI Engineering test SubTree.,10,4076,898
Blue [DNT],[DNT] This is a UI Engineering test SubTree.,11,4073,898
Red [DNT],[DNT] This is a UI Engineering test SubTree.,12,11358,898
UI Test Subtree 1,Beschreibung,16,11409,878
UI Test Subtree 2,Weitere Beschreibung,17,0,880
Leerenweber,"Leerenweber haben sich der Erforschung der Ursprünge der Leerenmagie gewidmet und einen Weg gefunden, eine schwache Verbindung zur Leere aufzureißen. Diese Macht ist unglaublich gefährlich und unbeständig und verzehrt alles, was sich ihr in den Weg stellt.",18,26682,795
Archon,"Archonten sind sehr gläubig und tief mit dem Licht und dem Schatten verbunden. Sie können von höheren Wesen gesegnet werden, um in einen aufgestiegenen Zustand zu gelangen und eine ultimative Version ihrer selbst zu werden.",19,27430,795
Orakel,"Orakel erhalten Einblicke in die Zukunft und verwenden sie, um ihre Verbündeten zu schützen und zu stärken. In ihrer Voraussicht können Orakel einzigartige Segen und Stärkungseffekte gewähren, von denen ihre Verbündeten noch gar nicht wussten, dass sie sie brauchen.",20,26934,795
Druide der Klaue,"Druiden der Klaue sind Meister ihrer mächtigen Tiergestalten. Wenn sie sich in Katzen oder Bären verwandeln, werden sie zu wilden Kämpfern und Beschützern der Wildnis.",21,26675,793
Wildpirscher,"Wildpirscher leben in der tiefen Wildnis. Sie jagen, um den Kreislauf des Lebens und Todes aufrechtzuerhalten und all jene zu vernichten, die es wagen, die Natur auszubeuten. Sie nutzen ihre Heilkräfte, um das Leben in verödeten Landstrichen wiederherzustellen.",22,26677,793
Hüter des Hains,"Hüter des Hains sind von den mächtigen Kindern von Cenarius inspiriert, das Gleichgewicht der Natur und den Traum zu behüten. Sie kanalisieren die Macht des Traums, um ihre Zauber zu verstärken und mächtige Treants zu beschwören, die ihre Verbündeten schützen und ihre Gegner zerschmettern.",23,26686,793
Elunes Auserwählte,"Elunes Auserwählte haben sich ganz der Mondgöttin verschrieben, die ihnen eine Verbindung zum Mond und zu den Sternen gewährt. Die Fähigkeiten der Auserwählten sind erfüllt von astraler Macht und beschwören mächtige Mondmagie.",24,26685,793
Schadensklasse,Mit seiner alten Donnerbüchse streckt Brann Feinde aus der Ferne nieder.,29,24179,874
Heiler,"Brann benutzt medizinische Vorräte und eingesammelte Relikte, um verletzte Spielercharaktere zu heilen.",30,24186,874
San'layn,"San'layn sind Meister darin, ihre Feinde mit Blut- und Schattenmagie zu schwächen und ihre eigenen Fähigkeiten zu verstärken.",31,26673,750
Reiter der Apokalypse,"Die Reiter der Apokalypse rufen die Macht der legendären vier Reiter herbei. Sie können die Reiter um Hilfe bitten und die Kräfte des Todes, des Hungers und der Krankheit nutzen.",32,27222,750
Todesbringer,Werdet zu einem Abgesandten des Todes. Greift mit der Macht der Schattenlande die Seele Eurer Feinde an und erinnert sie an das Unausweichliche.,33,26672,750
Teufelsgezeichnete,Die Teufelsgezeichneten akzeptieren ihren inneren Dämon und verstärken dadurch die explosive Kraft ihres mächtigen Teufelsfeuers.,34,27066,854
Häscher der Aldrachi,"Die Krieger der Aldrachi waren die ultimativen Meister der Gleve und führten ihre Klingen mit tödlicher Eleganz. Sie verschlangen Seelen, um ihren Waffen mehr Macht zu verleihen.",35,27132,854
Schuppenkommandant,"Schuppenkommandanten sind geborene Anführer, die die Krieger in ihren Reihen zu Großem inspirieren. Sie sind die auserwählten Kriegsherren der Dracthyr und nutzen ihre ermächtigten Zauber, um Kampfbefehle zu erteilen und Truppen herbeizurufen.",36,27067,872
Flammenformer,"Flammenformer sind eng mit Alexstrasza verbunden und spezialisieren sich auf den Schutz, die Heilung und Erneuerung von Verbündeten. Sie verfügen außerdem über die einzigartige Fähigkeit, Drachenflammen zu verbreiten, zu verstärken und zu manipulieren.",37,27223,872
Chronowächter,"Chronowächter können die Zeit manipulieren, wodurch sie Einblicke in die Zukunft erhalten und ihre Angriffe beschleunigen oder Echos zurückrufen können, um vergangene Taten erneut zu erleben. Spezialisierung in Bronzemagie kann zu Labilität führen, da sie ständig so viele mögliche Zukünfte sehen.",38,26678,872
Sonnenzorn,Sonnenzorn-Magier greifen auf die Arkana-Flammen zurück und verbessern damit ihre verheerendsten Zauberformeln. Sie können sogar einen Zauberfeuerphönix an ihre Seite rufen.,39,27133,658
