ID,Name_lang,Description_lang,GarrAbilityCategoryID,GarrFollowerTypeID,IconFileDataID,FactionChangeGarrAbilityID,Flags
4,Orctöter,Erhöht die Erfolgschance im Kampf gegen Orcs.,1,1,897144,0,1
5,Blizzard,"Wird von Magiern eingesetzt, um mehreren Gegnern Schaden zuzufügen.",0,1,135857,0,0
6,Schildwall,"Wird von Kriegern eingesetzt, um Schaden zu vermeiden.",0,1,132362,0,0
7,Bergsteiger,Erhöht die Erfolgschance im Kampf in den Bergen.,6,1,236848,0,1
8,Kaltblütig,Erhöht die Erfolgschance beim Kampf im Schnee.,6,1,236833,0,1
9,Ödlandbewohner,Erhöht die Erfolgschance beim Kampf in der Wüste.,6,1,236846,0,1
10,Glaubenssprung,"Wird von Priestern eingesetzt, um ein Ziel vor einer Gefahr zu retten (oder es einfach nur zu nerven).",0,1,463835,0,0
11,Gebet der Heilung,"Wird von Priestern eingesetzt, um eine Gruppe Verbündeter zu heilen.",0,1,135943,0,0
29,Schneller Lerner,"Erhöht die Erfahrung, die dieser Anhänger bei einer Mission erhält, um 50%.",7,1,236225,0,33
30,Geborener Anführer,Erhöht die gewonnene Erfahrung aller Anhänger auf einer Mission.,0,1,236362,0,3
36,Dämonentöter,Erhöht die Erfolgschance im Kampf gegen Dämonen.,1,1,254651,0,1
37,Wildtiertöter,Erhöht die Erfolgschance im Kampf gegen Wildtiere.,1,1,298659,0,1
38,Ogertöter,Erhöht die Erfolgschance im Kampf gegen Oger.,1,1,236695,0,1
39,Ursprünglichentöter,Erhöht die Erfolgschance im Kampf gegen Ursprüngliche und ihre Diener.,1,1,254105,0,1
40,Gronntöter,Erhöht die Erfolgschance im Kampf gegen Brecher und ihre Diener.,1,1,236412,0,1
41,Zorntöter,Erhöht die Erfolgschance im Kampf gegen Elementarzorne.,1,1,254652,0,1
42,Leerentöter,Erhöht die Erfolgschance im Kampf gegen Monstrositäten und Untote.,1,1,298680,0,1
43,Krallentöter,Erhöht die Erfolgschance im Kampf gegen Arakkoa und ihre Diener.,1,1,952507,0,1
44,Naturalist,Erhöht die Erfolgschance beim Kampf im Wald.,6,1,236830,0,1
45,Höhlenbewohner,Erhöht die Erfolgschance beim unterirdischen Kampf.,6,1,409595,0,1
46,Guerillakrieger,Erhöht die Erfolgschance beim Kampf im Dschungel.,6,1,236850,0,1
47,Meisterassassine,Gewährt einen sehr hohen Bonus auf die Erfolgschance einer Mission.,11,1,458726,0,19
48,Marschenläufer,Erhöht die Erfolgschance beim Kampf in einem Sumpf.,6,1,236819,0,1
49,Ebenenläufer,Erhöht die Erfolgschance im Kampf auf einer Ebene.,6,1,236712,0,1
52,Bergbau,Erhöht bei Zuweisung zur Mine die Produktion bei Arbeitsaufträgen.,5,1,4620679,0,33
53,Kräuterkunde,"Dieser Anhänger bietet Kräuterkundeverbesserungen und erhöht die Produktion bei Arbeitsaufträgen, wenn er dem Kräutergarten zugewiesen wird.",5,1,4620675,0,33
54,Alchemie,"Dieser Anhänger bietet diverse Alchemieboni und erhöht die Erfolgschance von Alchemiemissionen, wenn er dem Alchemielabor zugewiesen wird.",5,1,4620669,0,33
55,Schmiedekunst,"Dieser Anhänger kann den Haltbarkeitsverlust von Gegenständen verringern, die Produktion bei Arbeitsaufträgen steigern und die Erfolgschance von Schmiedemissionen erhöhen, wenn er der Schmiede zugewiesen wird.",5,1,4620670,0,33
56,Verzauberkunst,"Dieser Anhänger bietet diverse Verzauberungsboni und erhöht die Erfolgschance von Verzauberkunstmissionen, wenn er dem Verzauberungsatelier zugewiesen wird.",5,1,4620672,0,33
57,Ingenieurskunst,"Dieser Anhänger verkauft Ingenieurszubehör und erhöht die Produktion bei Arbeitsaufträgen sowie die Erfolgschance von Ingenieursmissionen, wenn er dem Ingenieurlabor zugewiesen wird.",5,1,136243,0,33
58,Inschriftenkunde,"Dieser Anhänger ermöglicht es, besondere Dokumente herzustellen und erhöht die Produktion bei Arbeitsaufträgen sowie die Erfolgschance von Inschriftenkundemissionen, wenn er der Schreibstube zugewiesen wird.",5,1,4620676,0,33
59,Juwelierskunst,"Dieser Anhänger bietet diverse Juwelenschleiferboni und erhöht die Erfolgschance von Juwelierskunstmissionen, wenn er der Juwelenschleiferei zugewiesen wird.",5,1,4620677,0,33
60,Lederverarbeitung,"Dieser Anhänger stellt verschiedene Zelte her und erhöht die Produktion bei Arbeitsaufträgen sowie die Erfolgschance von Lederverarbeitungsmissionen, wenn er der Gerberei zugewiesen wird.",5,1,4620678,0,33
61,Schneiderei,"Dieser Anhänger bietet diverse Schneidereiboni und erhöht die Erfolgschance von Schneidereimissionen, wenn er der Maßschneiderei zugewiesen wird.",5,1,4620681,0,33
62,Kürschnerei,Dieser Anhänger erhöht die Produktivität von Arbeitsaufträgen basierend auf der Stufe des Anhängers. wenn er der Scheune zugewiesen wird.,5,1,4620680,0,33
63,Freund der Gnome,"Erhöht die Erfolgschance, wenn das Team einen Gnom enthält.",4,1,236446,73,9
64,Humanist,"Erhöht die Erfolgschance, wenn das Team einen Menschen enthält.",4,1,236447,71,9
65,Zwergischen Ursprungs,"Erhöht die Erfolgschance, wenn das Team einen Zwerg enthält.",4,1,236443,70,9
66,Kind des Mondes,"Erhöht die Erfolgschance, wenn das Team einen Nachtelf enthält.",4,1,236450,74,9
67,Verbündeter von Argus,"Erhöht die Erfolgschance, wenn das Team einen Draenei enthält.",4,1,236442,72,9
68,Hündischer Begleiter,"Erhöht die Erfolgschance, wenn das Team einen Worgen enthält.",4,1,528692,75,9
69,Bräuliebhaber,"Erhöht die Erfolgschance, wenn das Team einen Pandaren enthält.",4,1,626190,0,1
70,Kind Draenors,"Erhöht die Erfolgschance, wenn das Team einen Orc enthält.",4,1,236451,65,5
71,Vom Tod fasziniert,"Erhöht die Erfolgschance, wenn das Team einen Verlassenen enthält.",4,1,236457,64,5
72,Totemträger,"Erhöht die Erfolgschance, wenn das Team einen Tauren enthält.",4,1,236454,67,5
73,Voodoozelot,"Erhöht die Erfolgschance, wenn das Team einen Troll enthält.",4,1,236456,63,5
74,Elfenfreund,"Erhöht die Erfolgschance, wenn das Team einen Blutelf enthält.",4,1,236440,66,5
75,Ökonom,"Erhöht die Erfolgschance, wenn das Team einen Goblin enthält.",4,1,632354,68,5
76,Große Ausdauer,"Erhöht die Erfolgschance bei Missionen, deren Dauer mehr als 7 Stunden beträgt.",8,1,135987,0,1
77,Kraftspurt,"Erhöht die Erfolgschance bei Missionen, deren Dauer weniger als 7 Stunden beträgt.",8,1,136088,0,1
78,Einsamer Wolf,Erhöht die Erfolgschance bei einer Solomission.,9,1,538568,0,3
79,Wiederverwertung,Erhöht die durch eine Mission erhaltenen Garnisonsressourcen um 100%.,7,1,413571,0,1
80,Zusätzliches Training,Erhöht die bei einer Mission erhaltene Erfahrung für alle Anhänger um 30%.,7,1,975743,0,1
100,Spott,"Zwingt einen Gegner, den Krieger anzugreifen.",0,1,136080,0,0
101,Mehrfachschuss,"Wird von Jägern eingesetzt, um mehreren Gegnern Schaden zuzufügen.",0,1,132330,0,0
102,Heldenhafter Sprung,"Wird von Kriegern eingesetzt, um schnell Gefahren zu entkommen.",0,1,236171,0,0
103,Schnellfeuer,"Wird von Jägern eingesetzt, um Schadensspitzen deutlich zu erhöhen.",0,1,132208,0,0
104,Kopfnuss,"Wird von Schurken eingesetzt, um einen gefährlichen Gegner außer Gefecht zu setzen (oder einfach nur jemanden zu nerven).",0,1,132310,0,0
105,Tritt,Damit unterbrechen Schurken ständig Zauber (supernervig).,0,1,132219,0,0
106,Kettenheilung,Wird von Schamanen zur Gruppenheilung verwendet.,0,1,136042,0,0
107,Geistreinigung,"Wird von Schamanen eingesetzt, um einen schädlichen Magieeffekt aufzuheben.",0,1,236288,0,0
108,Knurren,"Zwingt das Ziel, den Druiden anzugreifen.",0,1,132270,0,0
114,Dunkler Befehl,"Zwingt das Ziel, den Todesritter anzugreifen.",0,1,136088,0,0
115,Knochenschild,Schützt den Todesritter mit einem knöchernen Schild.,0,1,458717,0,0
116,Tod und Verfall,"Wird von Todesrittern eingesetzt, um mehreren Gegnern Schaden zuzufügen.",0,1,136144,0,0
117,Gedankenfrost,"Friert die Gedanken des Gegners ein, sodass Zauber unterbrochen werden.",0,1,237527,0,0
118,Runenwaffe verstärken,"Wird von Todesrittern eingesetzt, um Schadensspitzen deutlich zu erhöhen.",0,1,135372,0,0
119,Antimagische Hülle,Schützt den Todesritter vor schädlichen Magieeffekten.,0,1,136120,0,0
120,Spalten,"Wird von Kriegern eingesetzt, um mehreren Gegnern Schaden zuzufügen. Kann auch auf Meinungen angewandt werden.",0,1,132338,0,0
121,Zuschlagen,"Wird von Kriegern eingesetzt, um einen Zauber zu unterbrechen.",0,1,132938,0,0
122,Tollkühnheit,"Wird von Kriegern eingesetzt, um Schadensspitzen deutlich zu erhöhen.",0,1,603532,0,0
123,Abrechnung,"Zwingt das Ziel, den Paladin anzugreifen.",0,1,135984,0,0
124,Gottesschild,"Wird von Paladinen eingesetzt, um sich feige aus dem Stau... vor Schaden zu schützen natürlich!",0,1,524354,0,0
125,Läuterung,"Wird von Paladinen eingesetzt, um einen schädlichen Magieeffekt aufzuheben.",0,1,135949,0,0
126,Zurechtweisung,"Wird von Paladinen eingesetzt, um einen Zauber zu unterbrechen.",0,1,523893,0,0
127,Buße,"Wird von Paladinen eingesetzt, um einen gefährlichen Gegner außer Gefecht zu setzen.",0,1,135942,0,0
128,Heiliges Strahlen,"Wird von Paladinen eingesetzt, um eine Gruppe Verbündeter zu heilen.",0,1,457654,0,0
129,Göttliche Bitte,"Wird von Paladinen eingesetzt, um schnell Mana zu regenerieren.",0,1,237537,0,2
130,Göttlicher Sturm,Paladine fügen damit mehreren Gegnern Schaden zu.,0,1,236250,0,0
131,Zornige Vergeltung,"Wird von Paladinen eingesetzt, um Schadensspitzen deutlich zu erhöhen.",0,1,135875,0,0
132,Baumrinde,"Wird von Druiden eingesetzt, um ihre Haut zu verhärten und deutlich weniger Schaden zu erleiden.",0,1,136097,0,0
133,Anregen,"Wird von Druiden eingesetzt, um das Mana des Ziels schnell zu regenerieren.",0,1,136048,0,2
134,Wucherwurzeln,"Wird von Druiden eingesetzt, um einen gefährlichen Gegner außer Gefecht zu setzen.",0,1,136100,0,0
135,Wildwuchs,"Wird von Druiden eingesetzt, um eine Gruppe Verbündeter zu heilen.",0,1,236153,0,0
136,Heilung der Natur,"Wird von Druiden eingesetzt, um einen schädlichen Magieeffekt aufzuheben.",0,1,236288,0,0
137,Hurrikan,"Wird von Druiden eingesetzt, um mehreren Gegnern Schaden zuzufügen.",0,1,136018,0,0
138,Berserker,"Wird von Druiden eingesetzt, um Schadensspitzen deutlich zu erhöhen.",0,1,236149,0,0
139,Himmlische Ausrichtung,"Wird von Druiden eingesetzt, um Schadensspitzen deutlich zu erhöhen.",0,1,136060,0,0
140,Provokation,"Zwingt den Gegner, den Mönch anzugreifen.",0,1,620830,0,0
141,Schutz,"Wird von Mönchen eingesetzt, um den erlittenen Schaden deutlich zu verringern.",0,1,611417,0,0
142,Chiwelle,"Wird von Mönchen eingesetzt, um eine Gruppe Verbündeter zu heilen.",0,1,606541,0,0
143,Rollen,"Wird von Mönchen eingesetzt, um schnell einer Gefahr zu entkommen.",0,1,574574,0,0
144,Paralyse,"Wird von Mönchen eingesetzt, um einen gefährlichen Gegner außer Gefecht zu setzen.",0,1,629534,0,0
145,Entgiftung,"Wird von Mönchen eingesetzt, um einen schädlichen Magieeffekt aufzuheben.",0,1,460692,0,0
146,Manatee,"Wird von Mönchen eingesetzt, um das Mana des Ziels schnell zu regenerieren.",0,1,608949,0,2
147,Speerhandstoß,"Wird von Mönchen eingesetzt, um einen Zauber zu unterbrechen.",0,1,608940,0,0
148,Magiebannung,"Wird von Priestern eingesetzt, um einen schädlichen Magieeffekt aufzuheben.",0,1,135894,0,0
149,Schattengeist,"Wird von Priestern eingesetzt, um Schadensspitzen und Manaregeneration deutlich zu erhöhen.",0,1,136199,0,2
150,Gedankenexplosion,"Wird von Priestern eingesetzt, um mehreren Gegnern Schaden zuzufügen.",0,1,237565,0,0
151,Gedankenkontrolle,"Wird von Priestern eingesetzt, um einen gefährlichen Gegner außer Gefecht zu setzen. Im Arathibecken und dem Auge des Sturms unglaublich beliebt.",0,1,136206,0,0
152,Seele der Macht,"Wird von Priestern eingesetzt, um Schadensspitzen deutlich zu erhöhen.",0,1,135939,0,0
153,Wasserschild,"Wird von Schamanen eingesetzt, um die Manaregeneration deutlich zu erhöhen.",0,1,132315,0,2
154,Kettenblitzschlag,"Wird von Schamanen eingesetzt, um mehreren Gegnern Schaden zuzufügen.",0,1,136015,0,0
155,Windstoß,"Wird von Schamanen eingesetzt, um einen Zauber zu unterbrechen.",0,1,463565,0,0
156,Geisterwolf,"Wird von Schamanen eingesetzt, um schnell einer Gefahr zu entkommen.",0,1,136095,0,0
157,Verhexen,"Wird von Schamanen eingesetzt, um einen gefährlichen Gegner außer Gefecht zu setzen. Und seinem Selbstwertgefühl zuzusetzen.",0,1,237579,0,0
158,Aszendenz,"Wird von Schamanen eingesetzt, um Schadensspitzen deutlich zu erhöhen. Erscheint manchmal unglaublich unfair.",0,1,135791,0,0
159,Entrinnen,"Wird von Schurken eingesetzt, um Schaden zu vermeiden.",0,1,136205,0,0
160,Sprinten,"Wird von Schurken eingesetzt, um schnell einer Gefahr zu entkommen. Wird auch verwendet, um rasch vom Briefkasten zum Auktionshaus zu gelangen.",0,1,132307,0,0
161,Dolchfächer,"Wird von Schurken eingesetzt, um mehreren Gegnern Schaden zuzufügen.",0,1,236273,0,0
162,Todesurteil,"Wird von Schurken eingesetzt, um Schadensspitzen deutlich zu erhöhen.",0,1,236364,0,0
