ID,Header_lang,TopLeftFeatureTitle_lang,TopLeftFeatureDesc_lang,BottomLeftFeatureTitle_lang,BottomLeftFeatureDesc_lang,RightFeatureTitle_lang,RightFeatureDesc_lang,AllianceQuestID,HordeQuestID,ScreenType,TextureKitID,SoundKitID,PlayerConditionID,CharLevelConditionID,RequiredTimeEventPassed
19,Neu vor dem Start von Shadowlands!,Brandneues Leveln,Erlebt einen runderen Storyverlauf auf dem Weg zur neuen Höchststufe 50!,Charakteranpassung,"Besucht einen Barbier, um ein ganz neues Aussehen auszuprobieren.",Die Flut des Todes,Entdeckt Eure verbesserten Klassenfähigkeiten und bereitet Euch auf die kommende Dunkelheit vor.,60113,60115,0,5364,0,0,87298,119
20,Neu in Shadowlands!,Pakte,Schwört einem der vier einzigartigen Pakte die Treue und erschließt neue Macht.,Charakteranpassung,"Besucht einen Barbier, um ein ganz neues Aussehen auszuprobieren.",Schattenlande,Erkundet die Welt des Jenseits und deckt die Geheimnisse des Todes auf.,60545,61874,0,5365,0,0,87299,120
40,"Neu in ""Ketten der Herrschaft""!",Ein Ruf nach Korthia,Schlagt die Truppen des Kerkermeisters in der wiederentdeckten Stadt der Geheimnisse zurück.,Aktualisierungen zu Torghast,Erreicht mit dem überarbeiteten Fortschrittssystem neue Höhen.,Schlacht um den Ardenwald,Verteidigt den ewigen Wald gegen den Übergriff der Bansheekönigin!,63576,63576,0,5403,0,0,92337,154
41,,Tazavesh,Vereitelt einen riskanten Mittlerraub auf dem Verhüllten Markt!,Saison 2 beginnt,"Belohnungen in Dungeons und PvP wurden aktualisiert, und 'Gequält' wurde als neues Affix für Mythisch+ hinzugefügt.",Sanktum der Herrschaft,"Endlich stellt Ihr Sylvanas Windläufer im Kampf, während Ihr die Festung des Kerkermeisters erobert!",0,0,1,5404,0,0,92337,123
42,Neu in Patch 9.1.5!,Zeitwanderung: Legion,"Stellt Euch der Herausforderung in den „Mythisch+""-Dungeons von Legion und dem Magierturm.",Verbesserter Stufenaufstieg!,"Verbesserungen bei Stufenaufstieg, Ruf und Aufhol-Ausrüstung für Alt-Charaktere!",Paktaktualisierungen,Wechselt nach Belieben den Pakt bei max. Ruhmstufe.,0,0,0,5416,0,0,92337,176
43,Neu in Ende der Ewigkeit!,Chiffre der Ersten,Erlernt die Sprache der Automas und schaltet mächtige Belohnungen frei.,Spießrutenlauf des Kerkermeisters,Kämpft auf 8 Stockwerken gegen die tödlichsten Feinde aus allen Bereichen von Torghast.,Zereth Mortis,Bekämpft die Truppen des Kerkermeisters im jenseitigen Land der Ersten.,64942,64942,0,5442,0,0,92337,204
44,Neu in Saison 3!,Saison 3,"Belohnungen in Dungeons und PvP wurden aktualisiert, und 'Verschlüsselt' wurde als neues Affix für Mythisch+ hinzugefügt.",Klassensets,Einzigartige Rüstungen und Boni verleihen Unterstützung beim Kampf um die Rettung der Schattenlande.,Mausoleum der Ersten,"Entdeckt das verbotene Sanktum und vereitelt den Plan des Kerkermeisters, die Realität zu beherrschen.",0,0,0,5443,0,0,92337,149
45,Neu in Patch 9.2.5!,Quests in Lordaeron,Können die Verlassenen die Ruinen von Lordaeron zurückerobern und sich den Weg in eine neue Zukunft bahnen?,Enigmatiegel,"Kämpft in einer neuen PvP-Arena, die vor dem Hintergrund der uralten Wunder von Zereth Mortis angesiedelt ist.",Fraktionsübergreifende Instanzen,"Zum ersten Mal könnt Ihr Gruppen für Dungeons, Raids oder gewertetes PvP aus Mitgliedern beider Fraktionen zusammenstellen!",0,0,0,5430,0,0,92337,247
46,Neu in Saison 4!,Saison 4 von Shadowlands,Für mythische Schlüsselsteindungeons und PvP-Kämpfe winken neue Belohnungen.,Neue Dungeons auf Mythisch+,Erlebt altbekannte klassische Dungeons mit mythischen Affixen!,Schicksalhafte Schlachtzüge,"Kehrt zu den Schlachtzügen der Schattenlande zurück, um Euch neuen Herausforderungen zu stellen und neue Belohnungen zu erhalten.",0,0,0,5431,0,0,92337,248
47,Neu im Dragonflight Pre-Patch!,Aktualisierung des Benutzerinterfaces,Die UI wurde optisch überarbeitet. Passt sie mit dem neuen Bearbeitungsmodus an!,Dragonflight ist in Kürze verfügbar!,28. November,Neues Talentsystem,Erforscht die brandneue Klasse und Spezialisierungsbäume und erstellt Euer eigenes Talentbuild!,0,0,0,5482,0,0,87298,250
