SourceText_lang,ID,ItemID,Flags,SourceTypeEnum
|cFFFFD200Beute von: |rWeltbeute,1,1973,0,0
|cFFFFD200Schwarzmarktauktionshaus|r,4,32566,0,2
|cFFFFD200Schwarzmarktauktionshaus|r,5,33223,0,2
|cFFFFD200Schwarzmarktauktionshaus|r,7,38578,0,2
|cFFFFD200Festtag: |rLiebe liegt in der Luft|n|cFFFFD200Verkäufer: |rReizende Verkäuferin|n|cFFFFD200Zone: |rHauptstädte|n|cFFFFD200Kosten: |r10|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|n|n,9,34480,0,6
|cFFFFD200Promotion|r,12,67097,0,7
|cFFFFD200Verkäufer: |rTex Vortaspul|n|cFFFFD200Zone: |rAzshara|n|cFFFFD200Kosten: |r5000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,16,68806,0,2
|cFFFFD200Verkäufer: |rAyla Schattensturm|n|cFFFFD200Zone: |rGeschmolzene Front|n|cFFFFD200Kosten: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,17,70161,0,2
|cFFFFD200Weltereignis: |rSchlotternächte|n|cFFFFD200Verkäufer: |rChub/Dorothea|n|cFFFFD200Zone: |rTirisfal/Sturmwind|n|cFFFFD200Kosten: |r150|TINTERFACE\ICONS\ACHIEVEMENT_HALLOWEEN_CANDY_01.BLP:0|t|n|n,18,70722,0,6
|cFFFFD200Promotion|r,19,72161,0,7
|cFFFFD200Beute von: |rPandaria,20,72231,2,0
|cFFFFD200Beute von: |rYorik Scharfauge|n|cFFFFD200Zone: |rTal der Ewigen Blüten,21,86568,0,0
|cFFFFD200Beute von: |rKang der Seelendieb|n|cFFFFD200Zone: |rTal der Ewigen Blüten,22,86571,0,0
|cFFFFD200Beute von: |rHavak|n|cFFFFD200Zone: |rKun-Lai-Gipfel,23,72221,2,0
|cFFFFD200Beute von: |rUrgolax|n|cFFFFD200Zone: |rTal der Ewigen Blüten,24,86575,0,0
|cFFFFD200Beute von: |rSki'thik|n|cFFFFD200Zone: |rKun-Lai-Gipfel,25,72225,2,0
|cFFFFD200Quest: |rElunes Segen|n|cFFFFD200Zone: |rMondlichtung,29,21540,0,1
,30,33079,2,7
|cFFFFD200Beruf: |rArchäologie,33,64651,0,3
"|cFFFFD200Verkäufer: |rOlut Bierbauch, Rork Spitzkinn|n|cFFFFD200Zone: |rDie Sturmgipfel|n|cFFFFD200Kosten: |r10|TINTERFACE\ICONS\INV_MISC_RUNE_14.BLP:0|t",34,43499,0,2
|cFFFFD200Beute von: |rTerokk|n|cFFFFD200Zone: |rWälder von Terokkar,99,32782,0,0
|cFFFFD200Schwarzmarktauktionshaus|r,100,34499,0,2
|cFFFFD200Beute von: |rNordend - Weltbeute,101,37254,0,0
|cFFFFD200Promotion|r,102,38301,0,7
|cFFFFD200Erfolg: |rDer Münzenmeister|n|cFFFFD200Kategorie: |rAngeln,103,44430,0,5
|cFFFFD200Weltereignis:|r Winterhauchfest,109,46709,0,6
|cFFFFD200Promotion|r,110,49703,0,7
|cFFFFD200Promotion|r,111,49704,2,7
|cFFFFD200Quest: |rMuradins Klagelied|n|cFFFFD200Zone: |rEiskronenzitadelle,112,52201,0,1
|cFFFFD200Quest: |rSylvanas' Rache|n|cFFFFD200Zone: |rEiskronenzitadelle,114,52253,0,1
|cFFFFD200Beruf: |rArchäologie,116,64358,0,3
|cFFFFD200Beruf: |rArchäologie,117,64361,0,3
|cFFFFD200Beruf: |rArchäologie,118,64373,0,3
|cFFFFD200Beruf: |rArchäologie,119,64383,0,3
|cFFFFD200Beruf: |rArchäologie,120,64456,0,3
|cFFFFD200Beruf: |rArchäologie,121,64481,0,3
|cFFFFD200Beruf: |rArchäologie,122,64482,0,3
|cFFFFD200Beruf: |rArchäologie,123,64646,0,3
|cFFFFD200Beruf: |rArchäologie,124,64881,0,3
|cFFFFD200Verkäufer: |rMeilosh|n|cFFFFD200Zone: |rTeufelswald|n|cFFFFD200Fraktion: |rHolzschlundfeste - Ehrfürchtig|n|cFFFFD200Kosten: |r75|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,125,66888,4,2
