OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID,VisibleSpellID
,,,10579,0,135936,0,0
,,,10612,0,135936,0,0
,,,10644,0,135936,0,0
,,,10647,263716,0,0,0
,,,10650,0,135936,0,0
,,,10687,373455,0,0,0
,,,10700,0,135936,0,0
,,,10705,0,135936,0,0
,,,11049,205636,0,0,0
,,,11149,155675,0,0,0
,,Mehrfachherstellung gewährt bis zu $ev1% zusätzliche Tränke.,24833,0,0,0,0
,,+$ev1 $en1 bei der Herstellung von Tränken.,24834,0,0,0,0
,,"Erlernt, einen $@spellname370668 herzustellen.",24835,370668,0,0,0
,,+$ev1% $en1 bei der Herstellung von Tränken.,24836,0,0,0,0
,,+$ev1 $en1 bei der Herstellung von Tränken.,24837,0,0,0,0
Serienherstellung,,"Meistert die Kunst, Tränke effizienter herzustellen, wodurch Ihr pro Punkt in dieser Spezialisierung +$ev1 $en1 erhaltet.",24838,0,4624378,0,0
,,"Erlernt $@spellname370745, was Tränke von höherer Qualität gewährt und Eure Chance erhöht, neue Rezepte zu entdecken.",24839,370745,0,0,0
,,Erhaltet 5% Durchbruchchance bei Trankexperimenten.,24840,0,0,0,0
,,"Immer, wenn Ihr einen großen Durchbruch bei Trankexperimenten verzeichnet, erhaltet Ihr 4 Stunden lang +20 Inspiration auf alle Alchemieverfahren.",24841,0,0,0,0
,,Erhaltet 5% Durchbruchchance bei Trankexperimenten.,24842,0,0,0,0
,,Erhaltet 10% Durchbruchchance bei Trankexperimenten.,24843,0,0,0,0
Trankexperimente,,"Erhaltet ein besseres Verständnis für Eure Reagenzien, um die Wahrscheinlichkeit zu verbessern, dass Eure Experimente zufriedenstellende Ergebnisse liefern, wodurch sich pro Punkt in dieser Spezialisierung Eure Chance, bei Trankexperimenten einen Durchbruch zu verzeichnen, um +1% erhöht.",24844,0,4624379,0,0
,,"Erlernt, wie Ihr $@spellname370735 als Fertigungsreagenz herstellt und zur Verbesserung Eurer Handwerksfertigkeit bei der Herstellung von Tränkekesseln einsetzt.",24845,370735,0,0,0
,,Erlernt die letzte Sekundärspezialisierung.,24846,0,0,0,0
,,+$ev1 $en1 bei der Herstellung von Tränken.,24847,0,0,0,0
,,Erlernt eine Sekundärspezialisierung Eurer Wahl.,24848,0,0,0,0
,,+$ev1 $en1 bei der Herstellung von Tränken.,24849,0,0,0,0
,,+$ev1 $en1 bei der Herstellung von Tränken.,24850,0,0,0,0
Tränkekunde,,"Forscht weiter in den Mysterien von Tränken und damit verwandten Alchemistensteinen, wodurch Ihr pro Punkt in dieser Spezialisierung +$ev1 $en1 erhaltet.",24851,0,4624657,0,0
,,"Erlernt, wie Ihr $@spellname370735 als Fertigungsreagenz herstellt und zur Verbesserung Eurer Handwerksfertigkeit bei der Herstellung von Tränken auf Luftbasis einsetzt.",24852,370735,0,0,0
,,+$ev1 $en1 bei der Herstellung von Tränken auf Luftbasis.,24853,0,0,0,0
,,+$ev1 $en1 bei der Herstellung von Tränken auf Luftbasis.,24854,0,0,0,0
,,"Erhöht den Bewegungsgeschwindigkeitsschub, der durch die Verwendung von Tränken der Dracheninseln gewährt wird.",24855,0,0,0,0
,,+$ev1 $en1 bei der Herstellung von Tränken auf Luftbasis.,24856,0,0,0,0
,,+$ev1 $en1 bei der Herstellung von Tränken auf Luftbasis.,24857,0,0,0,0
,,Die Verwendung eines Tranks der Dracheninseln gewährt Euch einen kurzen Schub der Bewegungsgeschwindigkeit.,24858,0,0,0,0
Tränke auf Luftbasis,,"Verbessert Euch in der Herstellung von Tränken, die auf tobender oder erweckter Luft basieren, wodurch Ihr pro Punkt in dieser Spezialisierung +$ev1 $en1 erhaltet.",24859,0,4497566,0,0
