Name_lang,ID,Parent,Ui_order
Statistiken,1,-1,17
Spieler gegen Spieler,21,1,10
Heldentaten,81,-1,14
Charaktere,92,-1,1
Spieler gegen Spieler,95,-1,5
Quests,96,-1,2
Erkundung,97,-1,3
Tode,122,1,3
Siege,128,1,2
Charakter,130,1,1
Körpersprache,131,1,7
Fertigkeiten,132,1,5
Quests,133,1,4
Reise,134,1,6
Kreaturen,135,128,1
Ehrenhafte Siege,136,128,2
Todesstöße,137,128,3
Vermögen,140,130,1
Verbrauchsgüter,145,130,2
Gewertete Arenen,152,21,1
Schlachtfelder,153,21,2
Welt,154,21,3
Weltereignisse,155,-1,9
Winterhauch,156,155,9
Schlotternächte,158,155,7
Nobelgarten,159,155,3
Mondfest,160,155,1
Sonnenwende,161,155,5
Braufest,162,155,6
Kinderwoche,163,155,4
Arena,165,95,17
Dungeons & Schlachtzüge,168,-1,6
Berufe,169,-1,7
Kochkunst,170,169,12
Angeln,171,169,13
Berufe,172,15234,6
Berufe,173,132,2
Sekundäre Fertigkeiten,178,132,1
Liebe liegt in der Luft,187,155,2
Ruf,201,-1,8
Östliche Königreiche,14777,97,1
Kalimdor,14778,97,2
Scherbenwelt,14779,97,3
Nordend,14780,97,4
Alteractal,14801,95,5
Arathibecken,14802,95,3
Auge des Sturms,14803,95,4
Kriegshymnenschlucht,14804,95,2
The Burning Crusade,14805,168,2
Wrath of the Lich King - Dungeons,14806,168,3
Dungeons & Schlachtzüge,14807,1,9
Classic,14808,168,1
Classic,14821,14807,1
The Burning Crusade,14822,14807,2
Wrath of the Lich King,14823,14807,3
Östliche Königreiche,14861,96,1
Scherbenwelt,14862,96,3
Nordend,14863,96,4
Classic,14864,201,1
The Burning Crusade,14865,201,2
Wrath of the Lich King,14866,201,3
Tausendwinter,14901,95,8
Wrath of the Lich King - Schlachtzüge,14922,168,4
Argentumturnier,14941,15301,1
Die Pilgerfreuden,14981,155,8
Insel der Eroberung,15003,95,7
Cataclysm - Dungeons,15067,168,5
Cataclysm - Schlachtzüge,15068,168,6
Cataclysm,15069,97,5
Cataclysm,15070,96,5
Archäologie,15071,169,14
Cataclysm,15072,201,4
Schlacht um Gilneas,15073,95,9
Zwillingsgipfel,15074,95,10
Tol Barad,15075,15301,2
Gilde,15076,-1,16
Quests,15077,15076,2
Spieler gegen Spieler,15078,15076,3
Dungeons & Schlachtzüge,15079,15076,4
Berufe,15080,15076,5
Kalimdor,15081,96,2
Classic,15082,15079,1
Cataclysm - Dungeons,15083,15079,5
The Burning Crusade,15084,15079,2
Wrath of the Lich King - Dungeons,15085,15079,3
Wrath of the Lich King - Schlachtzüge,15086,15079,4
Cataclysm - Schlachtzüge,15087,15079,6
Allgemein,15088,15076,1
Ruf,15089,15076,6
Schlachtfelder,15090,15078,1
Arena,15091,15078,2
