ID,BaseTag,TagText_lang,Flags
9597,BUG_BUTTON,Bugs und Vorschläge,1
9598,CHARACTER_BUTTON,Charakterinfo,1
9599,MAINMENU_BUTTON,Spielmenü,3
9600,QUESTLOG_BUTTON,Questlog,1
9601,SPELLBOOK_BUTTON,Zauberbuch,1
9602,BACKPACK_TOOLTIP,Rucksack,5
9603,INVENTORY_TOOLTIP,Inventar,5
9605,MELEE_ATTACK,Nahkampfangr.,1
9606,ATTACK_SPEED_SECONDS,Angriffstempo (Sekunden),1
9607,UNSPENT_TALENT_POINTS,Unverteilte Talentpunkte: %s,1
9610,DAMAGE_BONUS_TOOLTIP,Erhöht den Waffenschaden,1
9613,EXPERIENCE_COLON,Erfahrung:,1
9614,GUILD_TEMPLATE,%1$s von %2$s,1
9615,HEALTH_COLON,Gesundheit:,1
9616,INTELLECT_COLON,Intelligenz:,1
9617,DEFENSE_TOOLTIP,Verteidigung,1
9618,MAGIC_RESISTANCES_COLON,Magiewiderstand:,1
9619,MANA_COLON,Mana:,1
9620,MODIFIERS_COLON,Modifikatoren:,1
9621,PLAYER_LEVEL,"Stufe %s, |c%s%s-%s|r",1
9622,PROFICIENCIES_COLON,Kenntnisse:,1
9623,SPIRIT_COLON,Willenskraft:,1
9625,REPUTATION,Ruf,5
9626,RESISTANCE0_NAME,Rüstung,1
9627,RESISTANCE1_NAME,Heiligwiderstand,5
9628,RESISTANCE2_NAME,Feuerwiderstand,5
9629,RESISTANCE3_NAME,Naturwiderstand,5
9630,RESISTANCE4_NAME,Frostwiderstand,5
9633,STRENGTH_COLON,Stärke:,1
9634,TITLE_TEMPLATE,%1$s von %2$s,1
9635,CONTAINER_SLOTS,%1$d Platz %2$s,1
9636,EQUIP_CONTAINER,Behälter anlegen,1
9637,HEADSLOT,Kopf,1
9638,NECKSLOT,Hals,1
9639,SHOULDERSLOT,Schulter,1
9640,BACKSLOT,Rücken,1
9641,SHIRTSLOT,Hemd,1
9642,CHESTSLOT,Brust,1
9643,WAISTSLOT,Taille,1
9644,LEGSSLOT,Beine,1
9645,FEETSLOT,Füße,1
9646,WRISTSLOT,Handgelenk,1
9647,HANDSSLOT,Hände,1
9648,FINGER1SLOT,Finger,1
9649,TRINKET0SLOT,Schmuck,1
9650,TRINKET1SLOT,Schmuck,1
9651,MAINHANDSLOT,Waffenhand,1
9652,SECONDARYHANDSLOT,Schildhand,1
9653,RANGEDSLOT,Distanzwaffe,1
9654,BAGSLOT,Tasche,1
9655,INVTYPE_HEAD,Kopf,5
9656,INVTYPE_NECK,Hals,5
9657,INVTYPE_BODY,Hemd,5
9658,INVTYPE_CHEST,Brust,5
9659,INVTYPE_LEGS,Beine,5
9660,INVTYPE_FEET,Füße,5
9661,INVTYPE_WRIST,Handgelenk,5
9662,INVTYPE_HAND,Hände,5
9663,INVTYPE_FINGER,Finger,5
9664,INVTYPE_WEAPON,Einhändig,5
9665,INVTYPE_WEAPONOFFHAND,Schildhand,5
9666,INVTYPE_SHIELD,Schildhand,5
9667,INVTYPE_RANGED,Distanz,5
9668,INVTYPE_CLOAK,Rücken,5
9669,INVTYPE_2HWEAPON,Zweihändig,5
9670,INVTYPE_BAG,Tasche,5
9671,INVTYPE_HOLDABLE,In Schildhand geführt,5
