ID,Name_lang,ResourceName_lang,Verb_lang,CursorName,EnumID,TrackingIcon
1,Schlossknacken,Verschlossene Gegenstände,Knacken,PickLock,0,0
2,Kräuterkunde,Kräuter,Sammeln,GatherHerbs,1,17635
3,Bergbau,Erzablagerungen,Abbauen,Mine,2,17636
4,Falle entschärfen,Falle,Entschärfen,,3,0
5,Öffnen,Geöffnete Gegenstände,Öffnen,,4,0
6,Schatz (DND),Schatz,,,5,0
7,Verkalkte Elfenedelsteine (DND),Verkalkte Elfenedelsteine,,,6,0
8,Schließen,Geöffnete Gegenstände,Schließen,,7,0
9,Falle scharf machen,Falle,Bewaffnen,,8,0
10,Schnell öffnen,Geöffnete Gegenstände,Öffnen,,9,0
11,Schnell schließen,Geöffnete Gegenstände,Schließen,,10,0
12,Offenes Tüfteln,Geöffnete Gegenstände,Öffnen,,11,0
13,Offenes Knien,Geöffnete Gegenstände,Öffnen,,12,0
14,Offenes Angreifen,Geöffnete Gegenstände,Öffnen,,13,0
15,Gahz'ridian (DND),Gahz'ridian,,,14,0
16,Schlagen,Verschlossene Gegenstände,Schlagen,,15,0
17,PvP öffnen,Geöffnete Gegenstände,Öffnen,,16,0
18,PvP schließen,Geöffnete Gegenstände,Schließen,,17,0
19,Angeln,Fisch,Angeln,FishingCursor,18,17634
20,Inschriftenkunde,Folianten,Dechiffrieren,,19,0
21,Vom Fahrzeug öffnen,Geöffnete Gegenstände,Öffnen,,20,0
22,Archäologie,Fragmente,Untersuchen,,21,0
23,PvP schnell öffnen,Geöffnete Gegenstände,Öffnen,,22,0
28,Sägewerk,Holz,Ernten,HarvestTimber,23,0
29,Kürschnerei,Leder,Kürschnern,skin,24,0
30,Uraltes Mana,Manavorkommen,Extrahieren,Extract,25,0
31,Einsatztafel,Einsatztafeln,Ansehen,,26,0
32,Kräuterkunde,Kräuter,Sammeln,GatherHerbs,27,17635
33,Kräuterkunde,Kräuter,Sammeln,GatherHerbs,28,17635
34,Kräuterkunde,Kräuter,Sammeln,GatherHerbs,29,17635
35,Kräuterkunde,Kräuter,Sammeln,GatherHerbs,30,17635
36,Kräuterkunde,Kräuter,Sammeln,GatherHerbs,31,17635
37,Kräuterkunde,Kräuter,Sammeln,GatherHerbs,32,17635
38,Kräuterkunde,Kräuter,Sammeln,GatherHerbs,33,17635
39,Kräuterkunde,Kräuter,Sammeln,GatherHerbs,34,17635
40,Bergbau,Erzablagerungen,Abbauen,Mine,35,17636
41,Bergbau,Erzablagerungen,Abbauen,Mine,36,17636
42,Bergbau,Erzablagerungen,Abbauen,Mine,37,17636
43,Bergbau,Erzablagerungen,Abbauen,Mine,38,17636
44,Bergbau,Erzablagerungen,Abbauen,Mine,39,17636
45,Bergbau,Erzablagerungen,Abbauen,Mine,40,17636
46,Bergbau,Erzablagerungen,Abbauen,Mine,41,17636
47,Bergbau,Erzablagerungen,Abbauen,Mine,42,17636
48,Kürschnerei,Leder,Kürschnern,skin,43,0
149,Öffnen (verschlossenen Inventargegenstand öffnen),Geöffnete Gegenstände,Öffnen,,44,0
150,Stöbern,Stöbergut,Stöbern,ForagePlants,45,0
152,Geléeablagerung,Gelée,Sammeln,,46,0
153,Kräuterkunde,Kräuter,Sammeln,GatherHerbs,47,17635
155,Bergbau,Erzablagerungen,Abbauen,Mine,48,17636
157,Pakt: Nachtfae,Geöffnete Gegenstände,Öffnen,,49,0
158,Pakt: Venthyr,Geöffnete Gegenstände,Öffnen,,50,0
159,Pakt: Kyrianer,Geöffnete Gegenstände,Öffnen,,51,0
160,Pakt: Nekrolords,Geöffnete Gegenstände,Öffnen,,52,0
161,Beruf: Ingenieurskunst,,Deaktivieren,,53,0
162,Kräuterkunde der Dracheninseln,Kräuter,Sammeln,GatherHerbs,54,17635
163,Bergbau,Erzablagerungen,Abbauen,Mine,55,17636
166,Kräuterkunde,Kräuter,Sammeln,GatherHerbs,56,17635
167,Abbauen,Erzablagerungen,Abbauen,Mine,57,17636
169,Verzauberkunst,Verzauberte Gegenstände,Entzaubern,,58,0
170,Schätze der Dracheninseln,Schätze,Öffnen,Open,59,0
172,Alchemie der Dracheninseln 25,Freigeschaltete Gegenstände,Öffnen,,60,0
173,Schmiedekunst der Dracheninseln 25,Freigeschaltete Gegenstände,Öffnen,,61,0
174,Verzauberkunst der Dracheninseln 25,Freigeschaltete Gegenstände,Öffnen,,62,0
175,Ingenieurskunst der Dracheninseln 25,Freigeschaltete Gegenstände,Öffnen,,63,0
176,Kräuterkunde der Dracheninseln 25,Freigeschaltete Gegenstände,Öffnen,,64,17635
177,Inschriftenkunde der Dracheninseln 25,Freigeschaltete Gegenstände,Öffnen,,65,0
178,Juwelierskunst der Dracheninseln 25,Freigeschaltete Gegenstände,Öffnen,,66,0
179,Lederverarbeitung der Dracheninseln 25,Freigeschaltete Gegenstände,Öffnen,,67,0
180,Bergbau der Dracheninseln 25,Freigeschaltete Gegenstände,Öffnen,,68,17636
181,Kürschnerei der Dracheninseln 25,Freigeschaltete Gegenstände,Öffnen,,69,0
182,Schneiderei der Dracheninseln 25,Freigeschaltete Gegenstände,Öffnen,,70,0
186,Offenes Knien - Pflanze,Freigeschaltete Gegenstände,Pflücken,,71,0
188,Bergbau der Dracheninseln,Erzablagerungen,Abbauen,Mine,72,17636
193,Bergbau von Khaz Algar,Erzablagerungen,Abbauen,Mine,73,17636
194,Kräuterkunde von Khaz Algar,Kräuter,Sammeln,GatherHerbs,74,17635
195,Alchemie von Khaz Algar 25,Freigeschaltete Gegenstände,Öffnen,,75,0
196,Schmiedekunst von Khaz Algar 25,Freigeschaltete Gegenstände,Öffnen,,76,0
197,Verzauberkunst von Khaz Algar 25,Freigeschaltete Gegenstände,Öffnen,,77,0
198,Ingenieurskunst von Khaz Algar 25,Freigeschaltete Gegenstände,Öffnen,,78,0
199,Kräuterkunde von Khaz Algar 25,Freigeschaltete Gegenstände,Öffnen,,79,17635
200,Inschriftenkunde von Khaz Algar 25,Freigeschaltete Gegenstände,Öffnen,,80,0
201,Juwelierskunst von Khaz Algar 25,Freigeschaltete Gegenstände,Öffnen,,81,0
202,Lederverarbeitung von Khaz Algar 25,Freigeschaltete Gegenstände,Öffnen,,82,0
203,Bergbau von Khaz Algar 25,Freigeschaltete Gegenstände,Öffnen,,83,17636
204,Kürschnerei von Khaz Algar 25,Freigeschaltete Gegenstände,Öffnen,,84,0
205,Schneiderei von Khaz Algar 25,Freigeschaltete Gegenstände,Öffnen,,85,0
