CalloutText_lang,CalloutFrame,ID,Type,Direction,Field_10_1_0_48480_005,UiWidgetSetID,OffsetX,OffsetY
Plündern,ContainerFrame1Item1,1,2,1,107628,0,0,0
Wechseln,ContainerFrame1Item1,2,2,1,107628,0,0,0
Plündern,MultiBarBottomLeftButton1,9,2,1,107628,0,0,0
"Wechseln|n|n(|cFF00FFFFTab|r, um Plätze durchzuschalten)",MultiBarBottomLeftButton1,10,2,1,107628,0,0,0
"Wechseln|n|n(|cFF00FFFFTab|r, um Plätze durchzuschalten)",MultiBarBottomLeftButton2,11,2,1,107628,0,0,0
Plündern,MultiBarBottomLeftButton2,12,2,1,107628,0,0,0
Plündern,MultiBarBottomRightButton1,13,2,1,107628,0,0,0
"Wechseln|n|n(|cFF00FFFFTab|r, um Plätze durchzuschalten)",MultiBarBottomRightButton1,14,2,1,107628,0,0,0
Plündern,MultiBarBottomRightButton2,15,2,1,107628,0,0,0
"Wechseln|n|n(|cFF00FFFFTab|r, um Plätze durchzuschalten)",MultiBarBottomRightButton2,16,2,1,107628,0,0,0
"[Tab] drücken, um Plätze zu wechseln",MultiBarBottomLeft,17,3,3,0,0,0,0
Aufwerten!,MultiBarBottomLeftButton1,18,2,1,107628,0,0,0
Aufwerten!,MultiBarBottomLeftButton2,19,2,1,107628,0,0,0
Aufwerten!,MultiBarBottomRightButton1,20,2,1,107628,0,0,0
Aufwerten!,MultiBarBottomRightButton2,21,2,1,107628,0,0,0
"Wartet, bis genug Spielercharaktere für den Beginn des Turniers beschworen wurden!",UIWidgetBelowMinimapContainerFrame,29,3,3,0,0,0,0
,MultiBarBottomLeft,31,4,0,21439,772,-50000,16
,MultiBarBottomRight,32,4,0,21439,772,-50000,16
Test,ScenarioStageBlock,34,1,3,0,0,0,0
