ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,CreateScreenFileDataID,SelectScreenFileDataID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,PlayableRaceBit,TransmogrifyDisabledSlotMask,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],BaseLanguage,CreatureType,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,NeutralRaceID,MaleModelFallbackRaceID,MaleModelFallbackSex,FemaleModelFallbackRaceID,FemaleModelFallbackSex,MaleTextureFallbackRaceID,MaleTextureFallbackSex,FemaleTextureFallbackRaceID,FemaleTextureFallbackSex,HelmetAnimScalingRaceID,UnalteredVisualCustomizationRaceID
1,Hu,Human,Mensch,,Mensch,,Mensch,,mensch,,Die edlen Menschen von Sturmwind stehen im Kampf gegen die Feinde von Azeroth für die Allianz an vorderster Front.,Mensch,,mensch,,6292620,1,81,15007,1096,623712,131948,651555,0,0,0,47268,47268,47268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,0,1,0,0,-1,0,-1,0,-1,0,3,0,0
2,Or,Orc,Orc,,Orc,,Orc,,orc,,"Die mächtigen Orcs kamen als Eroberer nach Azeroth, streben aber jetzt danach, ihre Ehre und Traditionen wiederherzustellen.",Orc,,orc,,6291596,2,21,15007,1096,623714,132003,651558,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.077,0,0,0.07,0,1,7,1,1,0,1,0,0,-1,0,-1,0,-1,0,-1,0,0
3,Dw,Dwarf,Zwerg,Zwergin,Zwerg,Zwergin,Zwerg,,zwerg,,"Die kräftigen Zwerge von Eisenschmiede sind berühmte Entdecker, die den alten Geheimnissen der Welt nachgehen.",Zwerg,,zwerg,,6291596,3,41,15007,1090,623712,131940,651555,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,7,0,8,0,3,0,0,-1,0,-1,0,-1,0,-1,0,0
4,Ni,NightElf,Nachtelf,Nachtelfe,Nachtelf,Nachtelfe,Kaldorei,,kaldorei,,"Die mystischen Nachtelfen verteidigen die Wildnis von Azeroth gegen all jene, die der Natur zu schaden versuchen.",Elf,,elf,,6291588,4,61,15007,1096,623712,131993,651555,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,7,7,0,5,0,11,0,0,-1,0,-1,0,-1,0,-1,0,0
5,Sc,Scourge,Untoter,Untote,Untote,Untote,Verlassener,,verlassener,,Die in den Untod erweckten Verlassenen haben sich auf den Trümmern ihrer finsteren Vergangenheit mutig eine neue Zukunft aufgebaut.,Untoter,,untoter,,6291596,5,2,15007,1096,623714,132035,651558,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.1,0,0,0.1,0,1,7,1,4,0,9,0,0,-1,0,-1,0,-1,0,-1,0,0
6,Ta,Tauren,Tauren,,Tauren,,Shu'halo,,shu'halo,,Die gewaltigen Tauren dienen ihrer verehrten Erdenmutter und beschützen das Gleichgewicht der Natur.,Tauren,,tauren,,6291590,6,141,15007,1096,623714,132046,651558,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0.085,0,0,0.085,0,1,7,1,7,0,7,0,0,-1,0,-1,0,-1,0,-1,0,0
7,Gn,Gnome,Gnom,,Gnom,,Gnom,,gnom,,"Die kleinen, aber einfallsreichen Gnome sind bekannt für die unzähligen technologischen Wunder, die sie erschaffen.",Gnom,,gnom,,6291596,115,101,15007,1096,623712,430171,651555,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,7,7,0,6,0,9,0,0,-1,0,-1,0,-1,0,-1,0,0
8,Tr,Troll,Troll,,Troll,,Dunkelspeertroll,,dunkelspeertroll,,Die von rivalisierenden Stämmen aus ihrer Dschungelheimat vertriebenen Dunkelspeertrolle fanden in der mächtigen Horde neue Verbündete.,Troll,,troll,,6291598,116,121,15007,1096,623714,429097,651558,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0.095,0,0,0.095,0,1,7,1,3,0,7,0,0,-1,0,-1,0,-1,0,-1,0,0
9,Go,Goblin,Goblin,,Goblin,,Bilgewassergoblin,,bilgewassergoblin,,Die erfinderischen und oft rücksichtslosen Goblins sind als tüchtige Ingenieure und begabte Händler bekannt.,Goblin,,goblin,,6291716,2204,172,15007,1096,623714,319097,651558,0,0,0,0,0,0,0,1,10,8,0,0,0,0,0,0,0.1,0,0,0.09,0,1,7,1,22,0,4,0,0,-1,0,-1,0,-1,0,-1,0,0
10,Be,BloodElf,Blutelf,Blutelfe,Blutelf,Blutelfe,Sin'dorei,,sin'dorei,,"Die Blutelfen, Überlebende eines brutalen Krieges, schöpfen Kraft aus dem magischen Sonnenbrunnen, um ihr Königreich wiederaufzubauen.",Elf,,elf,,6291596,1610,162,15007,1096,623714,131921,651558,0,0,0,0,0,0,0,1,9,9,0,0,0,0,0,0,0.087,0,0,0.087,0,1,7,1,11,0,8,0,0,-1,0,-1,0,-1,0,-1,0,0
11,Dr,Draenei,Draenei,Draenei,Draenei,Draenei,Draenei,,draenei,,Die Draenei flohen vor der dämonischen Verderbnis und stellen ihre Macht jetzt in den Dienst der Verteidigung Azeroths.,Draenei,,draenei,,6291598,1629,163,15007,1096,623712,131934,651555,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,7,7,0,10,0,2,0,0,-1,0,-1,0,-1,0,-1,0,0
12,Fo,FelOrc,Höllenorc,,Höllenorc,,,,,,,,,,,262149,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
