ID,Name_lang,Description_lang,OrderIndex,Flags,Field_12_0_5_66330_004
1,Quests,Nach Questnamen suchen...,0,84,0
2,Dungeons,Nach Schlüsselstufen oder Dungeons suchen...,2,288,0
3,Schlachtzüge,"Nach Schlachtzügen, Bossen oder Schwierigkeitsgraden suchen...",4,289,0
4,Arenen,,0,288,0
5,Szenarien,,3,256,0
6,Benutzerdefiniert,,10,66,0
7,Arenageplänkel,,1,64,0
8,Schlachtfelder,,2,66,0
9,Gewertete Schlachtfelder,,3,290,0
111,Inselexpeditionen,,1,320,5703
113,Torghast,Nach Ebenen oder Flügeln suchen...,1,384,5703
121,Tiefen,"Durchsucht Tiefen, Stufen...",1,384,0
