Name_lang,ID,Field_10_0_5_47118_002
,1,0
Januar: Neuanfang,6,1
Februar: Heilen und Teilen,7,2
März: Gut aussehen,8,3
April: Es sprüht und blüht,9,4
Mai: Kinderleicht,10,5
Juni: Spiel mit dem Feuer,11,6
Juli: Festlichkeiten!,12,7
August: Prügelei!,13,8
September: Party ist angesagt,14,9
Oktober: Unheimlich und verrückt,16,10
"November: Je mehr, desto besser",18,11
Dezember: Frostig,19,12
Januar: Neuanfang,20,13
Februar: Neue und neu entfachte Liebe,21,14
März: Schick machen,22,15
April: Frühling liegt in der Luft,23,16
Mai: Blumenmacht,24,17
Juni: Sommerspaß,25,18
Juli: Die finsteren Tiefen,26,19
August: Sportsgeist,27,20
September: Versammelt Eure Besatzung,28,21
Oktober: Licht gegen Dunkelheit,29,22
November: Ikonisch,30,23
Dezember: Eiskalt erwischt,31,24
Januar: Vorwärtsentwicklung,32,25
Februar: Monderleuchtete Pracht,33,26
März: Glitzer und Flair,34,27
April: Faire Spiele,35,28
Mai: Kleine Kriecher,36,29
Juni: Brennende Herzen,37,30
Juli: Verlassene Erinnerungen,38,31
August: Entweder - oder,39,32
September: Zwergenzauber,40,33
Oktober: Dämonische Festlichkeiten,41,34
November: Großzügige Geschenke,42,35
Dezember: Gefrorene Herzen,43,36
Januar: Ein neuer Morgen,53,37
Februar: Das Gold lacht,55,38
"März: Leben, lachen, lieben",56,39
April: Pflegt Euren Garten,57,40
Mai: Etwas Einfaches,58,41
Juni: Es wird heiß,59,42
Juli: Feuerwerk!,60,43
August: Auseinandersetzung,61,44
September: Freundschaft,62,45
Oktober: Kostümierte Katastrophe,63,46
"November: Essen, glorreiches Essen",64,47
Dezember: Einmummeln,65,48
