ID,Description_lang,SoulbindID,CreatureDisplayInfoID,ModelSceneActorID,TextureKitID,OrderIndex,GlobalOrderIndex,ActivationSoundKitID
1,"Niya ist eine Sylvar, deren Aufgabe es war, die Wildsamen in ihrem Hain zu hüten und zu pflegen. Ihr seid ihr zu einem tragischen Zeitpunkt begegnet: Ihr Hain wurde dem Verfall überlassen, damit seine Anima zurückgewonnen werden konnte. Auf ihren Reisen mit Euch lernt Niya bittere Wahrheiten über das Überleben in Zeiten der Dürre. Sie ist Jagdexpertin und Fährtenleserin. Ihre Fähigkeiten werden dazu beitragen, die Dürre und andere Bedrohungen für den Ardenwald zu überwinden.",1,95232,1030,5312,0,6,171896
2,"Traumweber ist ruhig und gelassen und versteht es meisterlich, Einblick in die Träume der Naturgeister zu nehmen, die in den Wildsamen des Waldes schlummern, während sie auf ihre Wiedergeburt warten. Traumweber hat Euch geholfen, ein Band mit einem bestimmten Wildsamen zu knüpfen, dessen schlafender Geist Kontakt aufnehmen wollte. Seine Heilkräfte unterstützen Euch während der Belagerung des Ardenwalds durch fremde Kräfte.",2,94430,1029,5313,1,7,171898
3,"General Draven diente Revendreth äonenlang als Kommandant der Steinlegion. Er ist auf jedem Schlachtfeld an vorderster Front zu finden, kämpft ehrenvoll bis zum bitteren Ende und würde niemals einen Soldaten zurücklassen. Als sich Denathrius für den Kerkermeister entschied, schloss sich Draven Renathals Rebellion an, denn am Ende steht Revendreth für ihn immer an erster Stelle.",3,92399,1031,5314,2,11,171889
4,Marileth ist gleichermaßen brillant wie exzentrisch und hat einige der wirksamsten Tränke in ganz Maldraxxus hervorgebracht. Als Folge der Sabotage und Vernichtung des Hauses der Seuchen verlor Marileth den Verstand. Seine kreativen Lösungen erweisen sich bei der Kriegsführung als unentbehrlich... trotz gelegentlicher Nebenwirkungen.,4,94122,1035,5315,0,3,171890
5,"Emenis Konstruktkörper wurde in den Flickenhöfen von Maldraxxus zusammengesetzt. Zu Lebzeiten war sie eine mächtige Edelfrau, die hunderte ihrer Geschwister abschlachtete, um den Thron zu besteigen. Sie respektiert Eure Stärke und Euer Können bei Eurer Zusammenarbeit, um Eure gemeinsamen Feinde auszulöschen. Sie selbst ist bereits eine Legende, aber ihr Bekanntheitsgrad steigt dadurch noch mehr, dass sie ihre Seele an die des Schlundgängers bindet.",5,93825,1036,5316,1,4,171892
7,"Die Jägerin Korayn ist die durchsetzungsfähige Anführerin der Wilden Jagd und eine vehemente Kämpferin. Ihr obliegt es, den Wald vor den gefährlichsten und am schwierigsten zu fassenden Bedrohungen zu beschützen. Sie wird nicht eher ruhen, bis ihre Beute getötet und die Sicherheit des Ardenwalds gewährleistet ist. Als das Winterschlafbecken angegriffen wurde, war der errungene Sieg Korayns Führung und Entschlossenheit zu verdanken.",6,95248,1037,5317,2,8,171899
9,"Pelagos ist Aspirant in der Bastion und trainiert auch im Angesicht von Herausforderungen und Widrigkeiten eifrig für den Aufstieg. Zusammen mit Kleia, die mit ihm durch ein Seelenband verbunden ist, schließt Pelagos schnell Freundschaft mit Euch, während Ihr Euch um eine Audienz bei der Archon bemüht und Euch der Bedrohung durch die Verschmähten stellt. Obwohl sein Weg mit Zweifeln und Erinnerungen aus seiner sterblichen Vergangenheit gepflastert ist, behält Pelagos immer sein sonniges und hoffnungsvolles Gemüt.",7,94137,1039,5318,0,0,171883
10,"Heirmir ist Lehrling des Primus höchstpersönlich und eine der ältesten sterblichen Seelen in Maldraxxus. Nach Äonen der Ausbildung und Übung ist sie die herausragende Expertin für das Schmieden von Waffen und Rüstung aus Knochen und Stahl. Das von ihr geschaffene Rüstzeug sorgt dafür, dass nicht nur die Mitglieder des Hauses der Auserwählten, sondern auch Ihr von Kopf bis Fuß ausgerüstet seid, um Euch den vielen Feinden des Landes zu stellen.",10,96102,1038,5319,2,5,171894
11,"Kleia, eine kyrianische Aufgestiegene, traf Euch, als sie noch eine Aspirantin war. Sie bewies ihrem Seelenband und Gefährten Pelagos sowie dem Rest der Kyrianer, dass sie gewillt war, voranzuschreiten und alle Widrigkeiten zu überwinden, denen die beiden sich stellen mussten. Sie ist eine fürsorgliche Mentorin für Pelagos und Euch und gibt ihr Bestes, um ihre Freunde und die Bastion zu beschützen.",13,94873,1040,5320,1,1,171885
12,"Mikanikos, ein Provost der Bastion, zeigte von Anfang an großes Potenzial und stieg schnell zum Rang des Obersten Schmieds auf. Sein herausragender Erfindungsgeist brachte viele der berühmtesten Schöpfungen der Bastion hervor. Er erkennt das Potenzial des Schlundgängers und wird zu einem respekteinflößenden Verbündeten, der Euch bei der Beendigung der großen Animadürre und anderer Bedrohungen unterstützt.",18,96348,1041,5322,2,2,171886
14,"Nadjia, die selbsternannte größte Duellantin, die jemals eine Klinge geführt hat, verabscheut den Stillstand und sehnt sich ständig nach neuen Erfahrungen. Wo immer es auch Ärger gibt, Nadjia ist garantiert mittendrin. Sie ist bereit, ihre Fertigkeiten auf Euren Befehl zur Verteidigung Revendreths einzusetzen... und zu ihrem eigenen Vergnügen.",8,93210,1042,5327,0,9,171887
15,"Wahnsinn ist keine Entschuldigung für schlechte Manieren! Theotar wurde aus traditionellen Aristokratenkreisen verbannt und gründete daraufhin seinen eigenen Hof der Verstoßenen, um in Sachen Klatsch und Tratsch auf seine Kosten zu kommen. Ganz gleich, ob er nun seine Lieblingsteekanne mit Magie durchwirkt oder Gräber animiert, damit diese seinen Schirm für ihn tragen... Theotar gebietet auf seine unverkennbar exzentrische Weise über die unglaubliche Macht von Revendreth.",9,93223,1043,5328,1,10,171888
