ID,Name_lang,Description_lang,BountySetID,SkillLineID,DeathTeleportSpellID,Field_9_0_2_36165_006,Field_9_0_2_36165_007,FactionID,CurrencyTypesID,RequiredPlayerConditionID
1,Kyrianer,"Die Kyrianer sind die standhaften Wächter des Jenseits und geleiten die Seelen der Toten in die Schattenlande. Sie widmen ihr ganzes Dasein ihren Pflichten und ihrem ewigen Dienst, und nur den Würdigen ist es vergönnt, sich ihnen anzuschließen.",111,2730,315066,346042,346046,2407,1829,0
2,Venthyr,"Die adligen Venthyr sind die Aufseher aller Seelen, auf denen die Bürde exzessiven Stolzes und maßloser Boshaftigkeit lastet. Sie führen derart geplagte Seelen auf den rechtschaffenen Pfad zur Sühne und ernten dabei Anima, um die Stärke ihres Reichs zu bewahren.",112,2731,344545,346037,346043,2413,1830,0
3,Nachtfae,"Die Nachtfae kümmern sich um die gefallenen Naturgeister, die in ihrem friedvollen Wald ruhen. Wer eine innige Verbindung zur Natur besitzt, vermag sich ihrer Sache anzuschließen, um dafür zu sorgen, dass die regenerierten Geister eines Tages wieder in den ewigen Kreislauf zurückkehren können.",114,2732,344538,346039,346044,2465,1831,0
4,Nekrolords,"Unter den Nekrolords wird Stärke belohnt und Schwäche getilgt. Die Seelen der Ehrgeizigen und Streitsüchtigen werden zu einer Armee aus unsterblichen Soldaten geschmiedet, deren Aufgabe es ist, die Schattenlande zu verteidigen.",113,2733,344544,346041,346045,2410,1832,0
12,Zentauren der Maruuk,Die verschiedenen Zentaurenklans der Ebenen von Ohn'ahra werden allesamt als Zentauren der Maruuk bezeichnet.,119,0,0,0,0,2503,2002,104408
13,Drachenschuppenexpedition,Die Forscherliga und die Archäologische Akademie haben sich für eine gemeinsame Expedition zu den Dracheninseln zusammengeschlossen.,119,0,0,0,0,2507,2021,104394
14,Tuskarr von Iskaara,Zäher Tuskarrstamm der Dracheninseln.,119,0,0,0,0,2511,2087,104409
15,Das Valdrakkenabkommen,"Valdrakken ist die strahlende Hauptstadt der Drachenschwärme, und an diesem Ort wurde ein Abkommen geschlossen, den sterblichen Völkern auf ein Neues zu helfen.",119,0,0,0,0,2510,2088,104407
20,Niffen von Loamm,"Die Niffen, die unterhalb der Dracheninseln in Loamm leben.",119,0,0,0,0,2564,2402,108239
21,Traumwächter,"Ein Zusammenschluss mehrerer Völker, bereit den Smaragdgrünen Traum gegen jegliche Bedrohung zu verteidigen.",119,0,0,0,0,2574,2653,115959
23,Fasshaxes Besatzung,Eine unkonventionelle Tunichtgut-Besatzung unter der Flagge von Kapitän Fasshaxe.,0,0,0,0,0,2593,2814,119189
24,Rat von Dornogal,[DNT],120,0,0,0,0,2590,2900,117972
25,Der Konvent der Tiefen,[DNT],120,0,0,0,0,2594,2898,117991
26,Arathi von Heilsturz,[DNT],120,0,0,0,0,2570,2901,118011
27,Die Durchtrennten Fäden,[DNT],120,0,0,0,0,2600,2904,118037
28,[DNT] 11.0 Delves Season 1,[DNT],0,0,0,0,0,2644,3022,121067
29,[DNT] TBD The Undermine,[DNT] The Undermine,120,0,0,0,0,2653,3120,129040
30,Der Bund von K'aresh,[DNT],120,0,0,0,0,2658,3128,129096
31,[DNT] 11.0 Delves Season 2,[DNT],0,0,0,0,0,2683,3130,129178
32,Garbagio-Treue,[DNT],0,0,0,0,0,2685,3315,132346
33,Die Strahlen der Flamme,[DNT],0,0,0,0,0,2688,3140,130290
34,[DNT] 11.0 Delves Season 3,[DNT],0,0,0,0,0,2722,3271,135812
35,Vandalen der Manaschmiede,[DNT],0,0,0,0,0,2736,3305,140006
