Name_lang,ID,Flags,RoomComponentType,TextureFileDataID,Field_11_2_7_64438_005,HouseThemeID
Steinplatte,3,1,2,7535056,2,1
Volkstümliches Hartholz,4,1,2,7535057,4,1
Volkstümlicher Holzbalken,5,1,3,5658170,0,1
Volkstümlicher Stuck,22,1,1,5658169,0,1
Rustikaler Stein,24,1,1,6856592,0,2
Gravierter Silbermondmarmor,33,1,1,6986816,0,5
Rustikales Holz,40,1,2,7535058,4,2
Silbermondmosaik,49,1,2,7494198,2,5
Rustikales Holz,54,1,3,6856593,0,2
Silbermondblutmarmor,60,1,3,6986850,0,5
Bel'ameth-Holztäfelung,61,1,3,7196783,0,4
Bel'ameth-Weichholz,63,1,1,7114465,0,4
Bel'ameth-Hartholz,65,1,2,7491486,4,4
Landhaus,162,1,1,7535055,0,1
Volkstümlicher Holzbalken,235,0,3,5658170,0,0
Bel'ameth-Holzbalken,236,0,3,7196783,0,0
Bel'ameth-Holzbalken,237,1,3,7114460,0,0
Vernähter Balg,238,1,3,7570326,0,0
Bel'ameth-Herzholz,250,1,3,7654234,0,4
