Name_lang,ID,UiTextureAtlasElementID,DecorCategoryID,OrderIndex
Sitzgelegenheiten,1,29176,1,0
Betten,2,29113,1,3
Türen,3,29125,2,0
Wände und Säulen,4,29203,2,1
Tische und Schreibtische,5,29191,1,1
Lagerung,6,29185,1,2
Versch. Einrichtung,7,30799,1,4
Fenster,8,29206,2,2
Große Bauelemente,9,29155,2,3
Versch. Bauelemente,10,30799,2,4
Dekoration,11,29164,3,0
Wandbehänge,12,29197,3,1
Speis und Trank,13,29131,3,2
Boden,14,29128,3,3
Versch. Akzente,15,30799,3,4
Große Lichter,16,29152,4,0
Wandlichter,17,29200,4,1
Deckenleuchten,18,29140,4,2
Kleine Lichter,19,29182,4,3
Umgebungsbeleuchtung,20,29110,4,4
Versch. Beleuchtung,21,30799,4,5
Nützliches,22,29194,5,0
Große Grünpflanzen,25,29149,6,0
Kleine Grünpflanzen,26,29179,6,1
Büsche,27,29116,6,2
Bodendecker,28,29137,6,3
Versch. Natur,29,30799,6,4
Verschiedenes – Alle,34,30799,8,0
Räume – Alle,35,0,9,0
Versch. Funktional,51,30799,5,1
