ID,DisplayName_lang,Description_lang,Type,Cost_Modifier,Race,Sex,Data
3,Lang,,0,1,11,0,0
4,Fransiger Zopf,,0,1,11,0,1
5,Zöpfe,,0,1,11,0,2
6,Zerzaust,,0,1,11,0,3
7,Stacheliger Zopf,,0,1,11,0,4
8,Geschmückter Zopf,,0,1,11,0,5
9,Gehörnt,,0,1,11,0,6
10,Geknoteter Zopf,,0,1,11,0,7
11,Glatze,,0,1,11,0,8
19,Tentakellos,,2,0.75,11,0,0
20,Ausgebreitete Tentakel,,2,0.75,11,0,1
21,Koteletten,,2,0.75,11,0,2
22,Backenbart,,2,0.75,11,0,3
23,Schnurrbärtig,,2,0.75,11,0,4
24,Unterlippenbart,,2,0.75,11,0,5
25,Ziegenbart,,2,0.75,11,0,6
26,Zwillingstentakel,,2,0.75,11,0,7
27,Glatt,,0,1,1,1,0
28,Lose,,0,1,1,1,1
29,Pony,,0,1,1,1,2
30,Volles Haar,,0,1,1,1,3
31,Gescheitelt und lang,,0,1,1,1,4
32,Locker,,0,1,1,1,5
33,Burschikos,,0,1,1,1,6
34,Pony (rechts),,0,1,1,1,7
35,Pony (links),,0,1,1,1,8
36,Bob,,0,1,1,1,9
37,Stufig,,0,1,1,1,10
38,Kurz,,0,1,1,1,11
39,Reizend,,0,1,1,1,12
40,Gewellt,,0,1,1,1,13
41,Knoten,,0,1,1,1,14
42,Gescheitelt und kurz,,0,1,1,1,15
43,Gewellter Bob,,0,1,1,1,16
44,Eilig,,0,1,1,1,17
55,Schmucklos,,2,0.75,1,1,0
56,Ohrringe,,2,0.75,1,1,1
57,Hohe Ohrringe,,2,0.75,1,1,2
58,Doppelte hohe Ohrringe,,2,0.75,1,1,3
59,Viele Ohrringe,,2,0.75,1,1,4
60,Nasenring,,2,0.75,1,1,5
61,Nasen- & Brauenpiercing,,2,0.75,1,1,6
62,Nass,,0,1,1,1,18
63,Glatze,,0,1,1,0,0
64,Bauer,,0,1,1,0,1
65,Soldat,,0,1,1,0,2
66,Mönch,,0,1,1,0,3
67,Barbar,,0,1,1,0,4
68,Schneidig,,0,1,1,0,5
69,Lose,,0,1,1,0,6
70,Höfling,,0,1,1,0,7
71,Gelehrter,,0,1,1,0,8
72,Schurke,,0,1,1,0,9
73,Fabelhaft,,0,1,1,0,10
74,Samson,,0,1,1,0,11
85,Bärtig,,2,0.75,1,0,0
86,Obrist,,2,0.75,1,0,1
87,Duellant,,2,0.75,1,0,2
88,Ziegenbart,,2,0.75,1,0,3
89,Zauberer,,2,0.75,1,0,4
90,Backenbart,,2,0.75,1,0,5
91,Van Dyke,,2,0.75,1,0,6
92,Schnurrbärtig,,2,0.75,1,0,7
93,Glattrasiert,,2,0.75,1,0,8
125,Glatt,,0,1,11,1,0
