ID,Name_lang,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,CreatureDisplayID[0],CreatureDisplayID[1],CreatureDisplayID[2],CreatureDisplayID[3],PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
1,Katzengestalt,1,248,132116,1,1000,0.4,0,892,0,0,0,0,0,0,0,0,0,0,0
2,Baum des Lebens,7,2257,0,0,0,0,0,37165,0,0,0,0,0,0,0,0,0,0,0
3,Reisegestalt,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Wassergestalt,1,216,0,0,0,0,0,2428,0,0,0,0,0,0,0,0,0,0,0
5,Bärengestalt,1,248,132143,3,2500,0.4,0,2281,0,0,0,0,0,0,0,0,0,0,0
6,Umgebung,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0
7,Ghul,6,9689,0,0,0,0,0,25527,0,0,0,6603,47468,47481,47482,47480,0,47484,47496
8,Terrorbärengestalt,1,248,132143,3,2500,0.4,0,2281,0,0,0,0,0,0,0,0,0,0,0
9,Kranichstil,-1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Skelett von Tharon'ja,6,1034,0,0,0,0,0,9784,0,0,0,50799,49613,49609,49617,0,0,0,0
11,Dunkelmond-Test der Stärke,-1,1226,0,0,0,0,0,0,0,0,0,62022,62023,62024,62025,0,0,0,0
12,BLB Spieler,-1,0,0,0,0,0,0,0,0,0,0,44029,44752,44083,44010,44012,44817,0,0
13,Schattentanz,-1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Kreatur - Bär,1,0,0,0,0,0,0,2281,0,0,0,0,0,0,0,0,0,0,0
15,Kreatur - Katze,1,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,0
16,Geisterwolf,1,216,0,0,0,0,0,55287,0,0,0,0,0,0,0,0,0,0,0
17,Kampfhaltung,-1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Verteidigungshaltung,-1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
