Name_lang,Description_lang,ID,FiledataID
Überschüssig,Überheilung wird in einen Heilungsabsorptionseffekt umgewandelt.,1,463570
Launisch,Gegner schenken der von Tanks erzeugten Bedrohung deutlich weniger Aufmerksamkeit.,2,135994
Vulkanisch,Im Kampf lassen Gegner regelmäßig Flammentropfen unter den Füßen entfernter Spielercharaktere hervorbrechen.,3,451169
Nekrotisch,"Alle Nahkampfangriffe der Gegner belegen Ziele mit einer stapelbaren 'Verseuchung', die regelmäßigen Schaden verursacht und die erhaltene Heilung verringert.",4,1029009
Wimmelnd,Im gesamten Dungeon sind zusätzliche normale Gegner vorhanden.,5,136054
Wütend,"Normale Gegner bekommen bei 30% Gesundheit einen Wutanfall, was ihnen vorübergehend Immunität gegen Kontrollverlusteffekte gewährt.",6,132345
Anstachelnd,"Wenn normale Gegner sterben, erfüllt ihr Todesschrei Verbündete in der Nähe mit Macht und erhöht vorübergehend ihre Gesundheit um 10%.",7,132333
Blutig,"Wenn normale Gegner sterben, hinterlassen sie eine Sekretpfütze, die ihre Verbündeten heilt und Spielercharakteren Schaden zufügt.",8,136124
Tyrannisch,Bosse haben 25% mehr Gesundheit. Bosse und ihre Diener verursachen bis zu 15% mehr Schaden.,9,236401
Verstärkt,Normale Gegner haben 20% mehr Gesundheit und verursachen bis zu 20% mehr Schaden.,10,463829
Platzend,"Wenn normale Gegner getötet werden, explodieren sie und fügen allen Spielercharakteren im Verlauf von 4 Sek. Schaden zu. Dieser Effekt ist stapelbar.",11,1035055
Schrecklich,"Verletzte Spieler erleiden ansteigenden regelmäßigen Schaden, bis sie geheilt sind.",12,132090
Explosiv,"Gegner, die sich im Kampf befinden, beschwören regelmäßig explosive Kugeln, die explodieren, wenn sie nicht zerstört werden.",13,2175503
Bebend,"Alle Spielercharaktere senden regelmäßig eine Schockwelle aus, die Schaden verursacht und Verbündete in der Nähe unterbricht.",14,136025
Befallen,Einige normale Gegner sind von einem Spross von G'huun befallen.,16,2032223
Schröpfend,"Normale Gegner werden von Bwonsamdi gestärkt und greifen regelmäßig aus dem Jenseits heraus an, um sich zu rächen.",117,2446016
Betörend,Azsharas Abgesandte sind im gesamten Dungeon vorhanden.,119,237565
Erweckt,"Obelisken im gesamten Dungeon ermöglichen es Spielercharakteren, Ny'alotha zu betreten und gegen mächtige Diener N'Zoths zu kämpfen. Diener, die nicht besiegt werden, müssen während des letzten Bosskampfs bekämpft werden.",120,442737
Stolz,"Das Besiegen von normalen Gegnern überfüllt Spielercharaktere mit Stolz, wodurch sich nach einiger Zeit eine Manifestation des Stolzes bildet. Diese Manifestation zu bezwingen, verleiht Spielercharakteren große Macht.",121,3528307
Inspirierend,"Bestimmte normale Gegner haben eine inspirierende Präsenz, die ihre Verbündeten stärkt.",122,135946
Boshaft,Unholde erheben sich aus den Leichen normaler Gegner und verfolgen zufällige Spielercharaktere.,123,135945
Stürmisch,"Gegner, die sich im Kampf befinden, beschwören regelmäßig Wirbelwinde, die Schaden verursachen.",124,136018
Gequält,"Diener des Kerkermeisters können im gesamten Dungeon gefunden werden und gewähren mächtige Boni, wenn sie besiegt werden. Diener, die nicht besiegt werden, ermächtigen den letzten Boss.",128,3528304
Höllisch,"Höllische Fanale können in der Nähe einiger Bosse gefunden werden. Wenn ein Fanal aktiviert oder der Kampf mit einem Boss in der Nähe begonnen wird, löst dies eine Invasion der Legion aus.",129,1394959
