ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,Die größte Menge jemals besessenen Goldes,0,0,4,0,0,0
3,Höchster je besessener Goldbetrag:,2,0,0,4224,1,8
5,Reittiere besessen,0,0,4,0,0,0
6,Anzahl der Reittiere,5,0,0,4787,1,0
8,"Benutzt gewichtige Kürbislaternen, um Kürbisköpfe auf jedes der unten aufgelisteten Völker zu setzen.",0,0,4,0,0,0
9,Zwerg,8,1,0,5776,3,0
10,Gnom,8,1,0,5772,4,0
11,Blutelf,8,1,0,5774,1,0
12,Draenei,8,1,0,5775,2,0
13,Mensch,8,1,0,5777,6,0
14,Nachtelf,8,1,0,5778,7,0
15,Orc,8,1,0,5779,8,0
16,Tauren,8,1,0,5780,9,0
17,Troll,8,1,0,5781,10,0
18,Untoter,8,1,0,5782,11,0
19,Worgen,8,1,0,17854,12,0
20,Goblin,8,1,0,17855,5,0
22,Duelle verloren,0,0,4,0,0,0
23,Duelle verloren,22,0,0,3630,1,0
25,Tode durch 25-Spieler-Schlachtzugsbosse insgesamt in Nordend,0,0,5,0,0,0
26,XT-002 Dekonstruktor,25,0,0,11019,25,0
27,Freya,25,0,0,11027,33,0
28,Mimiron,25,0,0,11028,34,0
29,General Vezax,25,0,0,11029,35,0
30,Yogg-Saron,25,0,0,11030,36,0
31,Algalon der Beobachter,25,0,0,11031,37,0
32,Emalon der Sturmwächter,25,0,0,11032,38,0
33,Flammenleviathan,25,0,0,11016,22,0
34,Klingenschuppe,25,0,0,11017,23,0
35,"Ignis, Meister des Eisenwerks",25,0,0,11018,24,0
36,Auriaya,25,0,0,11024,30,0
37,Hodir,25,0,0,11025,31,0
38,Stahlbrecher,25,0,0,11020,26,0
39,Sturmrufer Brundir,25,0,0,11022,28,0
40,Kologarn,25,0,0,11023,29,0
41,Thaddius,25,0,0,7839,13,0
42,Than Korth'azz,25,0,0,7845,7,0
43,Flickwerk,25,0,0,7838,14,0
44,Saphiron,25,0,0,7840,12,0
45,Kel'Thuzad,25,0,0,7841,11,0
46,Lady Blaumeux,25,0,0,7842,10,0
47,Baron Totenschwur,25,0,0,7843,9,0
48,Noth der Seuchenfürst,25,0,0,7837,15,0
49,Heigan der Unreine,25,0,0,7833,19,0
50,Archavon der Steinwächter,25,0,0,7848,4,0
51,Anub'Rekhan,25,0,0,7828,1,0
52,Gluth,25,0,0,7829,21,0
53,Gothik der Ernter,25,0,0,7830,2,0
54,Großwitwe Faerlina,25,0,0,7831,20,0
55,Grobbulus,25,0,0,7832,3,0
56,Instrukteur Razuvious,25,0,0,7834,18,0
57,Loatheb,25,0,0,7835,17,0
58,Maexxna,25,0,0,7836,16,0
59,Sartharion,25,0,0,7846,6,0
60,Anub'arak,25,0,0,13296,44,0
61,Lady Todeswisper,25,0,0,13298,46,0
62,Toravon der Eiswächter,25,0,0,13291,39,0
63,Modermiene,25,0,0,13304,52,0
64,Eisheuler,25,0,0,13292,40,0
65,Sir Zeliek,25,0,0,7844,8,0
66,Malygos,25,0,0,7847,5,0
67,Lord Jaraxxus,25,0,0,13293,41,0
68,Fjola Lichtbann,25,0,0,13294,42,0
69,Lord Mark'gar,25,0,0,13297,45,0
70,Todesbringer Saurfang,25,0,0,13299,47,0
71,Blutkönigin Lana'thel,25,0,0,13300,48,0
72,Sindragosa,25,0,0,13301,49,0
73,Der Lichkönig,25,0,0,13302,50,0
74,Fauldarm,25,0,0,13303,51,0
75,Professor Seuchenmord,25,0,0,13305,53,0
76,Eydis Nachtbann,25,0,0,13295,43,0
77,Runenmeister Molgeim,25,0,0,11021,27,0
78,Thorim,25,0,0,11026,32,0
80,"Den Titel ""Großmarschall"" erhalten.",0,0,4,0,0,0
81,Großmarschall,80,0,0,707,1,2
83,"Den Titel ""Feldkommandant(in)"" erhalten.",0,0,4,0,0,0
84,Feldkommandant,83,0,0,711,1,2
86,"Den Titel ""Leutnant"" erhalten.",0,0,4,0,0,0
87,Leutnant,86,0,0,721,1,2
89,Das Gewölbe der Mysterien (Zweite Hälfte des Mogu'shangewölbes),0,0,4,0,0,0
90,Vier Könige,89,1,0,19113,0,16
91,Elegon,89,1,0,19767,1,16
92,Der Wille des Kaisers,89,1,0,19115,2,16
97,Zündet in höchstens 30 Sekunden 10 Festtagsknallfrösche.,0,0,4,0,0,0
98,Zündet in höchstens 30 Sekunden 10 Festtagsknallfrösche,97,10,0,5755,1,1
103,Ehrt die Flammen Kalimdors.,0,0,4,0,0,0
104,Eschental,103,1,0,3076,0,0
105,Blutmythosinsel,103,1,0,3078,2,0
106,Desolace,103,1,0,3080,4,0
107,Feralas,103,1,0,3082,6,0
108,Teldrassil,103,1,0,3085,11,0
109,Tanaris,103,1,0,3084,10,0
110,Düstermarschen,103,1,0,3081,5,0
111,Azurmythosinsel,103,1,0,3077,1,0
112,Silithus,103,1,0,3083,7,0
113,Winterquell,103,1,0,3087,13,0
114,Dunkelküste,103,1,0,3079,3,0
115,Südliches Brachland,103,1,0,17016,8,0
117,"Gewinnt 10 Schlachten im Arathibecken, während Ihr 5 Flaggen kontrolliert.",0,10,5,0,0,8193
118,"Gewinnt 10 Schlachten im Arathibecken, während Ihr 5 Flaggen kontrolliert.",117,10,0,44976,0,0
120,Bezwingt Cyanigosa in der Violetten Festung auf dem Schwierigkeitsgrad 'Heroisch'.,0,0,4,0,0,0
121,Cyanigosa,120,1,0,5613,1,2
123,Erhaltet ein großes Eismammut.,0,1,8,0,0,0
124,Großes Eismammut,123,0,0,7399,3,2
125,Großes Eismammut,123,0,0,7400,4,2
126,Großes Eismammut,123,1,0,7397,1,2
127,Großes Eismammut,123,1,0,7398,2,2
129,Gewinnt im Arathibecken mit einem Vorsprung von 50 Punkten oder weniger.,0,1,8,0,0,0
130,Gewinnt eine Schlacht im Arathibecken mit 50 Punkten Vorsprung oder weniger.,129,1,0,1235,0,2
132,Stolzer Besitzer des gelben Braufestkrugs (2007).,0,1,8,0,0,0
133,Den gelben Braufestkrug gefüllt,132,1,0,4073,2,2
134,Den gelben Braufestkrug gefüllt,132,1,0,4075,4,2
135,Den gelben Braufestkrug gefüllt,132,1,0,4077,6,2
136,Den gelben Braufestkrug gefüllt,132,1,0,4076,5,2
137,Gelber Braufestkrug,132,1,0,4072,1,2
138,Den gelben Braufestkrug gefüllt,132,1,0,4074,3,2
140,Tode in der Kriegshymnenschlucht,0,0,4,0,0,0
141,Tode in der Kriegshymnenschlucht,140,0,0,107,0,0
143,Tode durch Drek'Thar,0,0,4,0,0,0
144,Von Drek'Thar getötet,143,0,0,456,1,0
146,Entzauberte Gegenstände,0,0,4,0,0,0
147,Entzauberungsgegenstände,146,0,0,4991,1,0
149,Erlangt 225 Fertigkeitspunkte in Erster Hilfe.,0,0,4,0,0,0
150,Erlangt 225 Fertigkeitspunkte in Erster Hilfe.,149,225,0,5592,1,2
152,Bezwingt Kil'jaeden auf dem Sonnenbrunnenplateau.,0,1,8,0,0,0
153,Kil'jaeden,152,1,0,3261,1,2
154,Krone von Dath'Remar,152,1,0,4648,24,2
155,Helm der arkanen Reinheit,152,1,0,4650,26,2
156,Maske des Furorjägers,152,1,0,4652,28,2
157,"Apolyon, der Seelenspalter",152,1,0,4597,2,2
158,Umhang der unverzeihlichen Sünde,152,1,0,4599,4,2
159,Helmkappe Allerias,152,1,0,4600,5,2
160,Gugel von Gul'dan,152,1,0,4602,7,2
161,Krone von Anasterian,152,1,0,4604,9,2
162,Krux der Apokalypse,152,1,0,4605,10,2
163,Hammer der Weihung,152,1,0,4609,14,2
164,Handschützer des Morgens,152,1,0,4612,17,2
165,Helm der lodernden Rechtschaffenheit,152,1,0,4613,18,2
166,Sonnenfackel,152,1,0,4614,19,2
167,Thalassische Waldläuferstulpen,152,1,0,4616,21,2
168,Helm der Entschlossenheit Uthers,152,1,0,4651,27,2
169,Haube des Doppelzüngigen,152,1,0,4607,12,2
170,Bedeckung von Ursol dem Weisen,152,1,0,4601,6,2
171,Kragen des Schwarzkünstlers,152,1,0,4606,11,2
172,Zerlumptes Cape von Antonidas,152,1,0,4615,20,2
173,Handschützer der entweihten Welten,152,1,0,4611,16,2
174,Tuch von Häuptling Ner'zhul,152,1,0,4653,29,2
175,Goldener Stab der Sin'dorei,152,1,0,4608,13,2
176,Hand des Betrügers,152,1,0,4610,15,2
177,"Thori'dal, Furor der Sterne",152,1,0,4617,22,2
178,Bedeckung von Ursoc dem Mächtigen,152,1,0,4647,23,2
179,Handschuhe von Tyris Macht,152,1,0,4649,25,2
180,Schmerzenshandschutz des Grenzlandes,152,1,0,4598,3,2
181,Gugel des reinen Lichts,152,1,0,4603,8,2
183,"Nehmt persönlich die Flagge in Besitz und erobert sie, während Euer Team 4 Basen im Auge des Sturms hält.",0,1,4,0,0,0
184,Erobert eine Flagge bei 4 gehaltenen Basen,183,1,0,3693,0,2
186,Nehmt 50 Friedhöfe im Alteractal ein.,0,50,5,0,0,8193
187,50 Friedhöfe eingenommen,186,50,0,419,0,1
189,Den Titel 'Rachsüchtiger Gladiator' erhalten.,0,0,4,0,0,0
190,Rachsüchtiger Gladiator,189,1,0,5599,1,2
192,Erhaltet 5 Münzen der Urahnen.,0,0,4,0,0,0
193,Erhaltet 5 Münzen der Urahnen,192,5,0,472,1,1
195,Von Druiden wiederbelebt,0,1,5,0,0,0
196,Tiere wiederbelebt (Stufe 7),195,1,0,3815,1,0
197,Tier wiederbeleben (Stufe 5),195,0,0,4979,3,0
198,Tier wiederbeleben (Stufe 4),195,0,0,4980,4,0
199,Tier wiederbeleben (Stufe 2),195,0,0,4982,6,0
200,Tier wiederbeleben (Stufe 6),195,0,0,4978,2,0
201,Tier wiederbeleben (Stufe 1),195,0,0,4983,7,0
202,Tier wiederbeleben (Stufe 3),195,0,0,4981,5,0
204,"Gewinnt einen Wurf für Gier bei einem Gegenstand überragender Qualität oder einem besseren Gegenstand mit einer höheren Stufe als 185, indem Ihr eine 100 würfelt.",0,0,4,0,0,0
205,Würfelt für Gier und erreicht genau 100 für einen Gegenstand über Stufe 185.,204,1,0,2358,1,2
207,Talentneuverteilungen,0,0,4,0,0,0
208,Talentneuverteilungen,207,0,0,3359,1,0
210,Siege über Keli'dan den Zerstörer (Blutkessel),0,0,4,0,0,0
211,Keli'dan der Zerstörer,210,1,0,3239,1,0
213,Fangt einen Fisch aus jedem der unten aufgelisteten Schwärme.,0,0,4,0,0,0
214,Ein Brackwasserschwarm,213,1,0,3623,1,0
