Name_lang,ID,MapID,DifficultyID,OrderIndex,CompleteWorldStateID,Bit,Flags,SpellIconFileID,Faction,Field_11_1_5_59735_010
Verhörmeisterin Gerstahn,227,230,1,0,4625,0,4,0,-1,0
Lord Roccor,228,230,1,1000,4626,1,4,0,-1,0
Hundemeister Grebmar,229,230,1,2000,4627,2,4,0,-1,0
Ring des Gesetzes,230,230,1,3000,4628,3,4,0,-1,0
Pyromant Weisenkorn,231,230,1,4000,4629,4,4,0,-1,0
Lord Incendius,232,230,1,5000,4630,5,4,0,-1,0
Wärter Stilgiss,233,230,1,6000,4633,6,4,0,-1,0
Fineous Dunkelader,234,230,1,7000,4634,7,4,0,-1,0
Bael'Gar,235,230,1,8000,4635,8,4,0,-1,0
General Zornesschmied,236,230,1,9000,4636,9,4,0,-1,0
Golemlord Argelmach,237,230,1,10000,4637,10,4,0,-1,0
Hurley Pestatem,238,230,1,11000,4638,11,4,0,-1,0
Phalanx,239,230,1,12000,4639,12,4,0,-1,0
Ribbly Schraubstutz,240,230,1,13000,4640,13,4,0,-1,0
Stöpsel Zapfring,241,230,1,14000,4641,14,4,0,-1,0
Botschafter Flammenschlag,242,230,1,15000,4642,15,4,0,-1,0
Die Sieben,243,230,1,16000,4643,16,4,0,-1,0
Magmus,244,230,1,17000,4644,17,4,0,-1,0
Imperator Dagran Thaurissan,245,230,1,18000,4645,18,4,0,-1,0
Yor,250,557,2,1500,4607,3,4,0,-1,0
Hochlord Omokk,267,229,1,0,4646,0,4,0,-1,0
Schattenjägerin Vosh'gajin,268,229,1,1000,4647,1,4,0,-1,0
Kriegsmeister Voone,269,229,1,2000,4648,2,4,0,-1,0
Mutter Glimmernetz,270,229,1,3000,4649,3,4,0,-1,0
Urok Schreckensbote,271,229,1,4000,4650,4,4,0,-1,0
Rüstmeister Zigris,272,229,1,5000,4651,5,4,0,-1,0
Gizrul der Geifernde,273,229,1,6000,4652,6,4,0,-1,0
Halycon,274,229,1,5500,4653,7,4,0,-1,0
Oberanführer Wyrmthalak,275,229,1,8000,4654,8,4,0,-1,0
Zevrim Dornhuf,343,429,0,0,4669,0,4,0,-1,0
Hydrobrut,344,429,0,-500,4670,1,4,0,-1,0
Lethtendris,345,429,0,-1000,4671,2,4,0,-1,0
Alzzin der Wildformer,346,429,0,3000,4672,3,4,0,-1,0
Illyanna Rabeneiche,347,429,0,4000,4676,4,4,0,-1,0
Magister Kalendris,348,429,0,5000,4675,5,4,0,-1,0
Immol'thar,349,429,0,6000,4676,6,4,0,-1,0
Tendris Wucherborke,350,429,0,3500,4673,7,4,0,-1,0
Prinz Tortheldrin,361,429,0,7000,4677,8,4,0,-1,0
Wache Mol'dar,362,429,1,8000,4678,9,4,0,-1,0
Stampfer Kreeg,363,429,1,9000,4679,10,4,0,-1,0
Wache Fengus,364,429,1,10000,4680,11,4,0,-1,0
Wache Slip'kik,365,429,1,11000,4681,12,4,0,-1,0
Hauptmann Krombruch,366,429,1,12000,4682,13,4,0,-1,0
Cho'Rush der Beobachter,367,429,1,13000,4683,14,4,0,-1,0
König Gordok,368,429,1,14000,1544,15,4,0,-1,0
Verflüssigte Ablagerung,378,90,1,2500,4693,1,4,0,-1,0
Grubbis,379,90,1,2000,4694,2,4,0,-1,0
Elektrokutor 6000,380,90,1,3000,4695,3,4,0,-1,0
Meuteverprügler 9-60,381,90,1,4000,4696,4,4,0,-1,0
Robogenieur Thermadraht,382,90,1,5000,4697,5,4,0,-1,0
Noxxion,422,349,1,0,4703,0,4,0,-1,0
Schlingwurzler,423,349,1,1000,4704,1,4,0,-1,0
Lord Schlangenzunge,424,349,1,2000,4705,2,4,0,-1,0
Celebras der Verfluchte,425,349,1,3000,4706,3,4,0,-1,0
Erdrutsch,426,349,1,4000,4707,4,4,0,-1,0
Tüftler Gizlock,427,349,1,1500,4708,5,4,0,-1,0
Faulschnapper,428,349,1,6000,4709,6,4,0,-1,0
Prinzessin Theradras,429,349,1,7000,4710,7,4,0,-1,0
Roogug,438,47,1,375,8591,0,0,0,-1,0
Befrager Vishas,444,189,1,0,24615,0,0,0,-1,0
Hundemeister Loksey,446,189,1,2000,24617,2,0,0,-1,0
Arkanist Doan,447,189,1,3000,24618,3,0,0,-1,0
Herod,448,189,1,4000,24619,4,0,0,-1,0
Hochinquisitor Schönufer,449,189,1,5000,24620,5,0,0,-1,0
Hochinquisitorin Weißsträhne,450,189,1,6000,24621,6,0,0,-1,0
Kirtonos der Herold,451,289,1,0,4573,0,0,0,-1,0
Jandice Barov,452,289,1,1000,4574,1,0,0,-1,0
Blutrippe,453,289,1,2000,4575,2,0,0,-1,0
Marduk Schwarzborn,454,289,1,3000,4576,3,0,0,-1,0
Vectus,455,289,1,4000,4577,4,0,0,-1,0
Ras Frostraunen,456,289,1,5000,4578,5,0,0,-1,0
Instrukteurin Malicia,457,289,1,6000,4588,6,0,0,-1,0
Doktor Theolen Krastinov,458,289,1,7000,4589,7,0,0,-1,0
Hüter des Wissens Polkelt,459,289,1,8000,4590,8,0,0,-1,0
Der Ravenier,460,289,1,9000,4591,9,0,0,-1,0
Lord Alexei Barov,461,289,1,10000,4592,10,0,0,-1,0
Lady Illucia Barov,462,289,1,11000,4593,11,0,0,-1,0
Dunkelmeister Gandling,463,289,1,12000,4594,12,0,0,-1,0
Die Unverziehene,472,329,0,6500,4719,0,4,0,-1,0
Herdsinger Forresten,473,329,0,1000,4720,1,4,0,-1,0
Timmy der Grausame,474,329,0,2000,4721,2,4,0,-1,0
Willey Hoffnungsbrecher,475,329,0,3000,4723,3,4,0,-1,0
Kommandant Malor,476,329,0,2500,4722,4,4,0,-1,0
Instrukteur Galford,477,329,0,5000,4724,5,4,0,-1,0
Balnazzar,478,329,0,6000,4725,6,4,0,-1,0
Baroness Anastari,479,329,0,7000,4726,7,4,0,-1,0
Nerub'enkan,480,329,0,8000,4727,8,4,0,-1,0
Maleki der Leichenblasse,481,329,0,9000,4728,9,4,0,-1,0
Magistrat Barthilas,482,329,0,10000,4729,10,4,0,-1,0
Ramstein der Verschlinger,483,329,0,11000,4730,11,4,0,-1,0
Baron Aurius Totenschwur,484,329,0,12000,4731,12,4,0,-1,0
Traumsense,486,109,1,1000,4734,1,4,0,-1,0
Wirker,487,109,1,2000,4735,2,4,0,-1,0
Jammal'an der Prophet,488,109,1,500,121,3,4,0,-1,0
Morphaz,490,109,1,5000,4737,5,4,0,-1,0
Hazzas,491,109,1,6000,4738,6,4,0,-1,0
Avatar von Hakkar,492,109,1,-500,4739,7,4,0,-1,0
Eranikus' Schemen,493,109,1,8000,4740,8,4,0,-1,0
Eingefrorener Kommandant,519,576,2,0,3685,0,0,0,-1,0
Drakos der Befrager,528,578,1,0,3869,0,0,0,-1,0
Drakos der Befrager,529,578,2,1000,3869,0,0,0,-1,0
Varos Wolkenwanderer,530,578,1,1000,3871,1,0,0,-1,0
Varos Wolkenwanderer,531,578,2,2000,3871,1,0,0,-1,0
Magierlord Urom,532,578,1,2000,3872,2,0,0,-1,0
Magierlord Urom,533,578,2,3000,3872,2,0,0,-1,0
Leywächter Eregos,534,578,1,3000,3873,3,0,0,-1,0
Leywächter Eregos,535,578,2,4000,3873,3,0,0,-1,0
Revelosh,547,70,1,0,4758,0,4,0,-1,0
Die verlorenen Zwerge,548,70,1,1000,4761,1,4,0,-1,0
Ironaya,549,70,1,2000,4762,2,4,0,-1,0
Uralter Steinbewahrer,551,70,1,4000,4764,4,4,0,-1,0
Galgann Feuerhammer,552,70,1,5000,4765,5,4,0,-1,0
Grimlok,553,70,1,6000,4766,6,4,0,-1,0
Archaedas,554,70,1,7000,4767,7,4,0,-1,0
Lady Anakondra,585,43,1,0,4776,0,4,0,-1,0
Lord Kobrahn,586,43,1,1000,4777,1,4,0,-1,0
Kresh,587,43,1,2000,4778,2,4,0,-1,0
Lord Pythas,588,43,1,3000,4779,3,4,0,-1,0
Skum,589,43,1,4000,4780,4,4,0,-1,0
Lord Serpentis,590,43,1,5000,4781,5,4,0,-1,0
Verdan der Ewiglebende,591,43,1,6000,4782,6,4,0,-1,0
Mutanus der Verschlinger,592,43,1,7000,4783,7,4,0,-1,0
Hydromantin Velratha,593,209,0,0,4784,0,4,0,-1,0
Gahz'rilla,594,209,0,1000,4785,1,4,0,-1,0
Antu'sul,595,209,0,-500,4786,2,4,0,-1,0
Theka der Märtyrer,596,209,0,-1000,4787,3,4,0,-1,0
Hexendoktor Zum'rah,597,209,0,-250,4788,4,4,0,-1,0
Nekrum der Ausweider,598,209,0,5000,4789,5,4,0,-1,0
Schattenpriester Sezz'ziz,599,209,0,6000,4790,6,4,0,-1,0
Häuptling Ukorz Sandskalp,600,209,0,7000,4791,7,4,0,-1,0
Oberster Kriegsfürst Naj'entus,601,564,0,0,3013,0,6,0,-1,0
Supremus,602,564,0,1000,3012,1,6,0,-1,0
Akamas Schemen,603,564,0,2000,3058,2,6,0,-1,0
Teron Blutschatten,604,564,0,3000,4792,3,6,0,-1,0
Gurtogg Siedeblut,605,564,0,4000,3014,4,6,0,-1,0
Reliquiar der Seelen,606,564,0,5000,4793,5,6,0,-1,0
Mutter Shahraz,607,564,0,6000,12150,6,6,0,-1,0
Der Rat der Illidari,608,564,0,7000,3030,7,6,0,-1,0
Illidan Sturmgrimm,609,564,0,8000,4794,8,7,0,-1,0
Feuerkralle der Ungezähmte,610,469,0,0,4795,0,6,0,-1,0
Vaelastrasz der Verdorbene,611,469,0,1000,4796,1,6,0,-1,0
Brutwächter Dreschbringer,612,469,0,2000,4797,2,6,0,-1,0
Feuerschwinge,613,469,0,3000,4798,3,6,0,-1,0
Schattenschwinge,614,469,0,4000,4799,4,6,0,-1,0
Flammenmaul,615,469,0,5000,4800,5,6,0,-1,0
Chromaggus,616,469,0,6000,4801,6,6,0,-1,0
Nefarian,617,469,0,7000,1641,7,7,0,-1,0
Furor Winterfrost,618,534,0,0,2519,0,6,0,-1,0
Anetheron,619,534,0,1000,2464,1,6,0,-1,0
Kaz'rogal,620,534,0,2000,2523,2,6,0,-1,0
Azgalor,621,534,0,3000,2487,3,6,0,-1,0
Archimonde,622,534,0,4000,2530,4,7,0,-1,0
Hydross der Unstete,623,548,0,0,2853,0,6,0,-1,0
Das Grauen aus der Tiefe,624,548,0,1000,2855,1,6,0,-1,0
Leotheras der Blinde,625,548,0,2000,2857,2,6,0,-1,0
Tiefenlord Karathress,626,548,0,3000,2856,3,6,0,-1,0
Morogrim Gezeitenwandler,627,548,0,4000,2854,4,6,0,-1,0
Lady Vashj,628,548,0,5000,4802,5,7,0,-1,0
Hochkönig Maulgar,649,565,0,0,2778,0,2,0,-1,0
Gruul der Drachenschlächter,650,565,0,1000,4804,1,3,0,-1,0
Magtheridon,651,544,0,0,4805,0,7,0,-1,0
Attumen der Jäger,652,532,0,0,2315,0,4,0,-1,0
Moroes,653,532,0,1000,2309,1,4,0,-1,0
Tugendhafte Maid,654,532,0,2000,4806,2,4,0,-1,0
Der Opernsaal,655,532,0,3000,2381,3,4,0,-1,0
Der Kurator,656,532,0,4000,2501,4,4,0,-1,0
Terestian Siechhuf,657,532,0,5000,2336,5,4,0,-1,0
Arans Schemen,658,532,0,6000,2910,6,4,0,-1,0
Nethergroll,659,532,0,7000,2865,7,4,0,-1,0
Das Schachspiel,660,532,0,8000,2517,8,4,0,-1,0
Prinz Malchezaar,661,532,0,9000,4807,9,4,0,-1,0
Schrecken der Nacht,662,532,0,10000,4808,10,4,0,-1,0
Lucifron,663,409,0,0,4809,0,6,0,-1,0
Magmadar,664,409,0,1000,847,1,6,0,-1,0
Gehennas,665,409,0,2000,848,2,6,0,-1,0
Garr,666,409,0,3000,846,3,6,0,-1,0
Shazzrah,667,409,0,4000,850,4,6,0,-1,0
Baron Geddon,668,409,0,5000,845,5,6,0,-1,0
Sulfuronherold,669,409,0,6000,761,6,6,0,-1,0
Golemagg der Verbrenner,670,409,0,7000,741,7,6,0,-1,0
Majordomus Exekutus,671,409,0,8000,1502,8,6,0,-1,0
Ragnaros,672,409,0,9000,1666,9,7,0,-1,0
Der Prophet Skeram,709,531,0,0,4821,0,6,0,-1,0
Adel der Silithiden,710,531,0,1000,4822,1,6,0,-1,0
Schlachtwache Sartura,711,531,0,2000,4823,2,6,0,-1,0
Fankriss der Unnachgiebige,712,531,0,3000,4824,3,6,0,-1,0
Viscidus,713,531,0,4000,4825,4,6,0,-1,0
Prinzessin Huhuran,714,531,0,5000,4826,5,6,0,-1,0
Zwillingsimperatoren,715,531,0,6000,4827,6,6,0,-1,0
Ouro,716,531,0,7000,2296,7,6,0,-1,0
C'Thun,717,531,0,8000,4828,8,7,0,-1,0
Kurinnaxx,718,509,0,0,4811,0,6,0,-1,0
General Rajaxx,719,509,0,1000,2174,1,6,0,-1,0
Moam,720,509,0,2000,4812,2,6,0,-1,0
Buru der Verschlinger,721,509,0,3000,4813,3,6,0,-1,0
Ayamiss die Jägerin,722,509,0,4000,4814,4,6,0,-1,0
Ossirian der Narbenlose,723,509,0,5000,4815,5,7,0,-1,0
Kalecgos,724,580,0,0,3434,0,6,0,-1,0
Brutallus,725,580,0,1000,3336,1,6,0,-1,0
Teufelsruch,726,580,0,2000,3337,2,6,0,-1,0
Eredarzwillinge,727,580,0,3000,3435,3,6,0,-1,0
M'uru,728,580,0,4000,3423,4,6,0,-1,0
Kil'jaeden,729,580,0,5000,4816,5,7,0,-1,0
Al'ar,730,550,0,0,4817,0,6,0,-1,0
Leerhäscher,731,550,0,1000,4818,1,6,0,-1,0
Hochastromantin Solarian,732,550,0,2000,4819,2,6,0,-1,0
Kael'thas Sonnenwanderer,733,550,0,3000,4820,3,7,0,-1,0
Hohepriester Venoxis,784,309,1,0,1967,0,0,0,-1,0
Hohepriesterin Jeklik,785,309,1,-1000,1968,1,0,0,-1,0
Hohepriesterin Mar'li,786,309,1,2000,1969,2,0,0,-1,0
Blutfürst Mandokir,787,309,1,3000,4839,3,0,0,-1,0
Rand des Wahnsinns,788,309,1,4000,4850,4,0,0,-1,0
Hohepriester Thekal,789,309,1,5000,1970,5,0,0,-1,0
Gahz'ranka,790,309,1,6000,4840,6,0,0,-1,0
Hohepriesterin Arlokk,791,309,1,7000,1971,7,0,0,-1,0
Jin'do der Verhexer,792,309,1,8000,4841,8,0,0,-1,0
Hakkar,793,309,1,9000,4844,9,0,0,-1,0
Atramedes,1022,669,0,0,5182,0,6,0,-1,0
Schimaeron,1023,669,0,1000,5318,1,6,0,-1,0
