Name_lang,ID,Flags,UiTextureKitID,UiTextureKitElementCount,LearningCurveID
Orcisch,1,0,0,0,0
Darnassisch,2,0,0,0,0
Taurahe,3,0,0,0,0
Zwergisch,6,0,0,0,0
Gemeinsprache,7,0,0,0,0
Dämonisch,8,0,0,0,0
Titanensprache,9,0,0,0,0
Thalassisch,10,0,0,0,0
Drakonisch,11,0,0,0,0
Kalimag,12,0,0,0,0
Gnomisch,13,0,0,0,0
Zandali,14,0,0,0,0
Gossensprache,33,0,0,0,0
Draenei,35,0,0,0,0
Zombie,36,0,0,0,0
Gnomenbinär,37,0,0,0,0
Goblinbinär,38,0,0,0,0
Gilnearisch,39,0,0,0,0
Goblin,40,0,0,0,0
Pandarisch,42,0,0,0,0
Pandarisch,43,0,0,0,0
Pandarisch,44,0,0,0,0
Feensprache,168,0,0,0,0
Shath'Yar,178,0,0,0,0
Nerglisch,179,0,0,0,0
Mondkin,180,0,0,0,0
Shalassisch,181,0,0,0,0
Thalassisch,182,0,0,0,0
Vulpera,285,0,0,0,0
Komplexe Chiffre,287,0,0,0,0
Einfache Chiffre,288,0,0,0,0
Metrundisch,290,7,5410,36,0
Altesisch,291,7,5410,36,0
Sopranesisch,292,7,5410,36,0
Akkolarisch,293,7,5410,36,0
Dacaparisch,294,7,5410,36,0
Violonisch,295,7,5410,36,0
Bassonisch,296,7,5410,36,0
Eingebettete Sprachen,297,2,0,0,0
Unbegreiflich,298,7,5410,36,0
Furbolg,303,1,5508,36,62550
Irden,304,1,0,36,69564
Nerubisch,307,0,0,0,0
Sprachen Sanktuarios,308,0,0,0,0
