ID,Name_lang,GarrClassSpecID,PlayerConditionID,IconFileDataID,FlavorGarrStringID,OrderIndex
9,Rudel Wichtel,102,42846,1396680,47,0
10,Schwarm Wildwichtel,102,40902,1396698,48,1
11,Akolythen der Schwarzen Ernte,103,41214,1396691,49,0
16,Herbeirufer der Schwarzen Ernte,103,41213,1452660,50,1
17,Lehrlinge der Tirisgarde,72,41574,1396696,20,0
18,Herbeirufer der Kirin Tor,72,41575,1396699,21,1
19,Wasserelementare,73,42839,1396675,18,0
20,Arkangolems,73,41573,1401852,19,1
21,Ochseninitianden,67,42840,1396688,22,0
22,Ochsenadepten,67,40092,1396705,23,1
23,Tigerinitianden,66,40012,1396706,25,0
24,Tigeradepten,66,40138,1396707,26,1
25,Geringe Elementare,97,42847,1396645,40,0
26,Große Elementare,97,41422,1396658,41,1
27,Kreis der Erdenrufer,98,40260,1396708,42,0
28,Geomanten des Irdenen Rings,98,41421,1401884,43,1
29,Aszendenten,139,41525,1396660,44,0
30,Trupp Bogenschützen,86,42842,1401885,14,0
31,Unsichtbare Schützen,86,41557,1401886,15,1
32,Gruppe Fährtenleser,85,41559,1401887,16,0
33,Pfadfinder,85,41560,1401888,17,1
34,Treants des Hains der Träume,81,42843,1396694,10,0
35,Töchter des Cenarius,81,41580,1396686,11,1
36,Druiden der Klaue,82,41581,1396668,12,0
37,Hüter des Hains,82,41582,1396684,13,1
38,Trupp Knappen,87,42841,1396701,28,0
39,Schildträgerphalanx,87,41588,1396702,29,1
40,Ritter der Silbernen Hand,88,41589,1396703,30,0
41,Templer der Silbernen Hand,88,41590,1396704,31,1
42,Aspiranten der Valarjar,99,42845,1401869,51,0
43,Sturmgeschmiedete der Valarjar,99,41592,1401871,52,1
44,Schildmaidenkriegsmeute,100,41593,1401854,53,0
45,Schildmaiden der Valkyra,100,41594,1401874,54,1
46,Krieger der Aschenzungen,79,42844,1401873,6,0
47,Myrmidone der Naga,79,41635,1401889,7,1
48,Adepten der Illidari,80,41636,1401865,8,0
49,Verwandelte Adepten der Illidari,80,41637,1401883,9,1
50,Gruppe Ghule,75,42837,1401858,2,0
51,Spukschwarm,75,42838,1401859,3,1
52,Ritter der Schwarzen Klinge,76,41676,1401866,4,0
53,Verheerer der Schwarzen Klinge,76,41677,1401855,5,1
54,Banditenbande,93,42848,1401891,36,0
55,Diebe der Defias,93,41707,1401892,37,1
56,Duellanten der Ungekrönten,94,41705,1401893,38,0
57,Piratenmannschaft,94,41704,1401894,39,1
58,Erhabener,105,40060,1401861,59,0
59,Gruppe Akolythen,91,42849,1086381,32,0
60,Netherlichtparagons,91,41906,1066217,33,1
61,Gruppe Zeloten,92,41907,1066169,34,0
62,Dunkle Zeloten,92,41908,1066121,35,1
63,Urtum des Krieges,96,42818,1452563,58,0
64,Monstrosität,77,43780,1401851,0,0
65,Schläger der Echsennarbe,144,47107,1551349,0,0
66,Krieger der Grimmtotems,145,47112,1551342,80,0
67,Wächter der Kirin Tor,147,48413,1604890,68,0
68,Frosthäscher der Schwarzen Klinge,148,48417,1605028,64,0
69,Stoßtrupp,149,49177,1605040,75,0
70,Wächter des Hains der Träume,150,48415,1589538,66,0
71,Shivarra,151,48416,1589536,65,0
72,Beschützer des Irdenen Rings,152,48408,1589546,73,0
73,Meister der Ruhe,153,48412,1605031,69,0
74,Schläger der Teufelswache,154,48407,1589549,74,0
75,Vermummte Priester,155,48410,1589544,71,0
76,Kreuzfahrer der Silbernen Hand,156,48411,1605020,70,0
77,Rabenholdtassassinen,157,48409,1605036,72,0
78,Jägerinnen der Nachtgeborenen,158,48414,1551348,67,0
80,Stoßtrupp,149,49178,1605021,75,1
81,Krokulgratpirscher,160,50765,1712229,77,0
82,Leerengeläuterter Krokul,161,51511,1712228,78,0
83,Lichtgeschmiedetes Bollwerk,162,51512,1694048,76,0
