ID,Name,Message_lang
1,MSG_TITLE_WOW,World of Warcraft
2,MSG_GX_INIT_FAILED_D3D,O World of Warcraft não conseguiu iniciar a aceleração 3D. Verifique se o DirectX 9.0c está instalado e se os drivers de vídeo estão atualizados.
3,MSG_GX_INIT_FAILED,O World of Warcraft não conseguiu iniciar a aceleração 3D.
4,MSG_HW_UNSUPPORTED,"A placa aceleradora 3D não é compatível com o World of Warcraft. Para mais informações, consulte https://us.battle.net/support/en/article/world-of-warcraft-system-requirements"
5,MSG_HW_CHANGED,Hardware alterado. Deseja recarregar as configurações padrão?
9,MSG_GLUEXML_UI_CORRUPT,Os arquivos da interface de login foram corrompidos. Reinstale o jogo.
10,MSG_FRAMEXML_UI_CORRUPT,Os arquivos da interface de jogo foram corrompidos. Remova a pasta Interface\FrameXML.
11,MSG_GX_NO_DEVICE,Não foi possível encontrar um dispositivo de exibição adequado. O programa será encerrado.
12,MSG_REMOTE_DESKTOP,Não é possível executar o World of Warcraft por meio de uma conexão remota ao desktop. O programa será encerrado.
14,MSG_CLIENT_INIT,O World of Warcraft está executando a configuração inicial dos arquivos de dados. Isto poderá levar alguns minutos. Também é possível cancelar este processo e permitir que o Inicializador conclua a instalação.
15,MSG_DOWNLOAD_FAILED,Não foi possível obter conteúdo importante do jogo. Confira a sua conexão com a internet.
16,MSG_DISK_FULL,O disco está cheio. Libere mais espaço.
17,MSG_GX_FAIL_API_VERSION,"World of Warcraft requer a versão mais recente do DirectX Runtime para ser instalado. Para mais informações, acesse http://us.battle.net/support/en/article/driver-update-information"
18,MSG_GX_FAIL_NO_DRIVER,"O World of Warcraft não conseguiu encontrar uma placa de vídeo adequada. Verifique se o seu driver de vídeo está atualizado e se você não está no modo de segurança. Para mais informações, visite http://us.battle.net/support/en/article/driver-update-information"
27,MSG_COMPATIBILITY_ERROR,"World of Warcraft não pôde ser iniciado devido a configurações do modo de compatibilidade. Desabilite o modo de compatibilidade nos arquivos WoW.exe e Launcher.exe e tente iniciar o jogo novamente. Para um passo a passo de como desabilitar o modo de compatibilidade, acesse: http://www.battle.net/support/article/8500085"
134,MSG_GX_SLOW_SHADER_BUILDING_WARNING,Um problema já conhecido com drivers de vídeo pode causar muita lentidão ao processar as sombras nas primeiras vezes em que o jogo é iniciado. O processo pode levar vários minutos.
135,MSG_INTEL_13TH_OR_14TH_GEN_MICROCODE_WARNING,World of Warcraft detectou que o seu computador usa um processador Intel de 13ª ou 14ª geração que não tem as atualizações adequadas instaladas para lidar com possíveis problemas de instabilidade de processadores. É altamente recomendável atualizar a BIOS da placa-mãe para a versão mais recente com microcódigo 0x12B da Intel ou posterior.
136,MSG_MOTHERBOARD_BIOS_UPDATE,Consulte %s para obter informações sobre a atualização da BIOS da placa-mãe.
137,MSG_MOTHERBOARD_INFO,"Nome da CPU: %s
Nome da placa-mãe: %s
Data da versão da BIOS: %s
Versão de microcódigo: 0x%llX"
