ID,Name_lang,Description_lang,CovenantID,Level,Icon,Field_10_2_6_53840_005,UiOrder,SpellID
1074,Adaga Mortal,"|cFF00ccffAparência de Dragonflight|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Adaga Mortal. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Você está na Tripulação de Barrileiro agora, grumete. Aqui está sua adaga. Ao saque!""",23,1,2175564,0,0,0
1075,Luvas de Grumete,"|cFF00ccffAparência de Dragonflight|r|n|nDesbloqueia a aparência Luvas de Grumete.|n|n""Luvas de Couro para agarrar melhor o butim.""",23,2,1063260,0,0,439457
1076,Botas Firmes,"|cFF00ccffAparência de Dragonflight|r|n|nDesbloqueia a aparência Botas do Pé Firme.|n|n""Ajuda a manter o equilíbrio no mar ou na terra.""",23,3,590806,0,0,439448
1077,Calções Acolchoados,"|cFF00ccffAparência de Dragonflight|r|n|nDesbloqueia a aparência Calções Acolchoados.|n|n""Um novo par de calças para amortecer sua aterrissagem.""",23,4,5489011,0,0,439451
1078,Espadão Calcificado,"|cFF00ccffAparência de Dragonflight|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Espadão Calcificado. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Uma espada é como uma adaga, só que maior.""",23,5,2182692,0,0,439390
1231,Camisa de Algodão Tecido,"|cFF00ccffAparência de Dragonflight|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Camisa de Algodão Tecido.|n|nTambém desbloqueia a roupa de Grumete Xucro em Plunderstorm. Para trocar de roupa, procure Da'kash Daka'omeu.",23,6,4279080,0,0,439453
1232,Manto do Sorrateiro,"|cFF00ccffAparência de Dragonflight|r|n|nDesbloqueia a aparência Manto do Sorrateiro.|n|n""Alguns saqueadores preferem ficar nas sombras.""",23,7,2124014,0,0,439455
1233,Canhão de Cobre,"|cFF00ccffAparência de Dragonflight|r|n|cFF1eff00Aparência de Plunderstorm|r|n|nDesbloqueia a aparência Canhão de Cobre. Para trocar de aparência em Plunderstorm, procure Da'kash Daka'omeu.|n|n""Saquear é mais fácil com um canhão ao lado.""",23,8,304333,0,0,439393
1234,Casquete de Lã Quentinho,"|cFF00ccffAparência de Dragonflight|r|n|nDesbloqueia a aparência Casquete de Lã Quentinho.|n|n""Até o pirata mais bronzeado fica com frio.""",23,9,1676426,0,0,439445
1235,Corcel da Maré Prateado,"|cFF00ccffMontaria de Dragonflight|r|n|nDesbloqueia a montaria subaquática Corcel da Maré Prateado.|n|n""Tem cheiro de camarão.""",23,10,2741477,0,0,437516
