ID,Header_lang,TopLeftFeatureTitle_lang,TopLeftFeatureDesc_lang,BottomLeftFeatureTitle_lang,BottomLeftFeatureDesc_lang,RightFeatureTitle_lang,RightFeatureDesc_lang,AllianceQuestID,HordeQuestID,ScreenType,TextureKitID,SoundKitID,PlayerConditionID,CharLevelConditionID,RequiredTimeEventPassed
19,Novidade do Pré-lançamento de Shadowlands!,Reformulação dos níveis,Explore uma narrativa linear até chegar ao nível máximo 50!,Personalização do Personagem,Visite uma Barbearia para experimentar novos visuais.,Morte Ascendente,Explore suas habilidades de classe atualizadas e prepare-se para a escuridão que se anuncia.,60113,60115,0,5364,0,0,87298,119
20,Novidade de Shadowlands!,Pacto,Jure lealdade a um dos quatro pactos e ganhe novos poderes.,Personalização do Personagem,Visite uma Barbearia para experimentar novos visuais.,Terras Sombrias,Explore os reinos do pós-vida e desvele os mistérios da morte.,60545,61874,0,5365,0,0,87299,120
40,Novidades de Correntes da Dominação!,O Chamado a Korthia,Rechace as forças do Carcereiro na Cidade dos Segredos redescoberta.,Atualizações da Thanator,Alcance novas alturas com o novo sistema de progressão.,Batalha por Ardena,Defenda a floresta eterna da incursão da Rainha Banshee!,63576,63576,0,5403,0,0,92337,154
41,,Tazavesh,Impeça um golpe de alto risco no Mercado Oculto!,Início da Série 2,Masmorras e recompensas JxJ atualizadas e o novo afixo Mítico+: Atormentado.,Sacrário da Dominação,"Finalmente, enfrente Sylvana Correventos ao invadir o baluarte do Carcereiro!",0,0,1,5404,0,0,92337,123
42,Novidade do Patch 9.1.5!,Caminhada Temporal: Legion,Desafie os limites nas masmorras Míticas+ de Legion e na Torre dos Magos.,Aumento de níveis aumentado!,Equipamentos de atualização e aumento de níveis e reputação para personagens secundários!,Atualizações dos Pactos,"Com Renome no máximo, troque de Pacto sem custo.",0,0,0,5416,0,0,92337,176
43,Novidade no Fim da Eternidade!,Cifra dos Primogênitos,Aprenda o idioma dos Automas e desbloqueie recompensas poderosas.,Provação do Carcereiro,Conquiste 8 pisos repletos de adversários letais saídos de todas as alas da Thanator.,Zereth Mortis,Confronte as forças do Carcereiro na terra extraordinária dos Primogênitos.,64942,64942,0,5442,0,0,92337,204
44,Novidade na Série 3!,Série 3,"Masmorra e recompensas JxJ atualizadas, e o novo afixo Mítico+: Criptografado.",Conjuntos de classe,Armaduras com visuais e bônus exclusivos vão facilitar sua luta para salvar as Terras Sombrias.,Sepulcro dos Primogênitos,Explore o santuário proibido e frustre os planos do Carcereiro de dominar a realidade.,0,0,0,5443,0,0,92337,149
45,Novidade do Patch 9.2.5!,Missões de Lordaeron,Os Renegados podem reivindicar as ruínas de Lordaeron e forjar um novo futuro?,Crisol do Enigma,Trave batalhas em uma nova arena JxJ entre as maravilhas ancestrais de Zereth Mortis.,Instâncias Interfacções,"Pela primeira vez, monte um grupo de masmorras, raides ou grupos de JxJ ranqueado com membros das duas facções!",0,0,0,5430,0,0,92337,247
46,Novidade na Série 4!,Série 4 de Shadowlands,Ganhe novas recompensas nas Masmorras de Pedra-chave Mítica e no JxJ.,Novas Masmorras Míticas+,Vivencie lendárias masmorras de legado com afixos míticos!,Raides Fatídicos,Volte aos raides de Shadowlands para enfrentar um novo desafio e conquistar novas recompensas.,0,0,0,5431,0,0,92337,248
47,Novidades no pré-patch de Dragonflight!,Atualizações na interface do usuário,A interface passou por uma renovação artística. Personalize-a com o novo Modo de Edição!,Dragonflight em breve!,28 de novembro,Novo sistema de talentos,Explore a nova classe e as árvores de especialização e crie seu próprio talento!,0,0,0,5482,0,0,87298,250
48,Novidades no pré-patch de Dragonflight!,Tormenta Liberada,Derrote elementais poderosos em tempestades que irromperam em Azeroth.,Uldaman,Enfrente os perigos de Uldaman para garantir o futuro dos draconídeos.,Conjurante Dracthyr,As mais novas raça e classe de Azeroth despertaram. Use o poder das revoadas dragônicas para causa dano ou curar seus aliados.,0,0,0,5483,0,0,104814,262
49,Novidades em Dragonflight!,Atualização das profissões,"Novos recursos, como pedidos de criação, equipamentos, especializações e muito mais!",Dragonaria,Voe pelos céus das Ilhas do Dragão com um novo sistema de movimento emocionante!,Ilhas do Dragão,Viaje para o antigo lar das revoadas dragônicas e ajude-as a resgatar seu legado.,67700,65444,0,5484,0,0,104813,254
50,Novidade na Série 1!,Série 1 de JxJ,Ganhe recompensas com o novo modo Solo Mix Ranqueado.,Série 1 Mítica+,"Uma nova rotação de masmorra e o afixo ""Trovejante"" estão à espera.",Câmara dos Encarnados,Impeça os Primevistas de libertarem o povo aprisionado de Raszageth.,0,0,0,5492,0,0,104738,260
55,Novidade do Patch 10.0.5!,A Fúria da Tempestade,Combata os Primevistas no Futuro Primevista para ganhar recompensas épicas.,Atualizações de Transmogrificação,Itens cinzas e brancos agora podem ser coletados para transmogrificação!,O Posto Comercial está aberto!,Uma nova loja de itens cosméticos já abriu em Ventobravo e em Orgrimmar.,0,0,0,5529,0,0,104814,343
56,Novidade do Patch 10.0.7!,Tradição Humana e Órquica,Colete conjuntos de armadura exclusivos ao explorar as culturas e histórias das raças.,Atualização do Programa Recrute um Amigo,Novas recompensas empolgantes por trazer seus amigos para Azeroth!,Volte ao Recôndito Proibido,Mergulhe nos mistérios dos dracthyrs deixados para trás durante a fuga.,74381,74381,0,5514,0,0,104814,362
57,Novidades do Patch 10.1.0!,Dracoleante Sinuoso,Corra pela Caverna Zaralek na nova montaria nativa de dragonaria!,Guildas Interfacção,"Pela primeira vez, jogadores da Horda e da Aliança podem se reunir na mesma guilda!",Caverna Zaralek,Continue a história da Chama Partida e enfrente as forças dos Encarnados nesta vastidão subterrânea esquecida.,72975,72975,0,5532,0,0,104814,364
58,Novidade na Série 2!,Série 2 de Dragonflight,Ganhe novas recompensas nas Masmorras de Pedra-chave Mítica e no JxJ.,Atualização de Míticas+,Experimente novos afixos e uma seleção atualizada de masmorras Míticas+!,"Aberrus, o Crisol Sombrio",Persiga Sarkareth e explore o legado de Neltharion neste antigo laboratório.,0,0,1,5533,0,0,104738,294
59,Novidade do Patch 10.1.5!,Aprimoramento desbloqueado,Uma nova especialização de dano com um estilo de jogo exclusivo baseado em suporte!,Percursos Temporais do Desenlace,Ajude a Revoada Dragônica Bronze na Orla do Éon e nas Fendas Temporais!,Despertar do Infinito,Enfrente a Revoada Dragônica Infinita em uma megamasmorra mítica.,0,0,0,5540,0,0,104814,379
