ID,HordeName_lang,AllianceName_lang,Description_lang,Tooltip_lang,GarrTypeID,BuildingType,HordeGameObjectID,AllianceGameObjectID,GarrSiteID,UpgradeLevel,BuildSeconds,CurrencyTypeID,CurrencyQty,HordeUiTextureKitID,AllianceUiTextureKitID,IconFileDataID,AllianceSceneScriptPackageID,HordeSceneScriptPackageID,MaxAssignments,ShipmentCapacity,GarrAbilityID,BonusGarrAbilityID,GoldCost,Flags
8,Moinho de Guerra,Casamata Enânica,Esta estrutura estoca e faz a manutenção dos armamentos da Guarnição.,Dobra a chance de obter um aprimoramento bônus raro ou épico na recompensa da missão e aumenta a potência do aprimoramento. Possibilita a coleta de pedaços de armadura dos clãs órquicos de Draenor para fins de transmogrificação de armadura.,2,10,230406,224548,0,1,3600,824,150,15,14,975736,1194,1193,0,0,0,0,150,1
9,Moinho de Guerra,Casamata Enânica,Esta estrutura estoca e faz a manutenção dos armamentos da Guarnição.,"Inicia ordens de serviço para armas e armaduras de seguidores em troca de recursos da guarnição. Além disso, desbloqueia novos itens de transmogrificação.",2,10,230407,224549,0,2,3600,824,900,18,16,975736,1196,1195,0,14,0,0,300,1
10,Moinho de Guerra,Casamata Enânica,Esta estrutura estoca e faz a manutenção dos armamentos da Guarnição.,"Uma vez por semana, faz com que 1 dos seus 3 selos do destino inevitável (rolagem de bônus de saque de raide) não custe nada.",2,10,230409,224550,0,3,3600,824,1200,19,17,975736,1198,1197,0,21,0,0,500,1
24,Celeiro,Celeiro,"Os Celeiros abrigam as criaturas que fornecem couro, carne e pelegos à Guarnição.","Permite que você capture fenocerontes, elekks, lobos e talbuques para produzir couros e pelegos. Usado em receitas de couraria e alfaiataria.",2,3,230410,224795,0,1,3600,824,100,131,3,975737,1220,1219,0,7,0,0,150,1
25,Celeiro,Celeiro,"Os Celeiros abrigam as criaturas que fornecem couro, carne e pelegos à Guarnição.","Permite que você capture javalis e feras-do-rio para produzir carnes raras, usadas para cozinhar pratos fantásticos.",2,3,230411,224796,0,2,3600,824,300,132,57,975737,1222,1221,0,14,62,0,300,1
26,Quartel,Quartel,O Quartel abriga as forças militares e os seguidores da sua Guarnição.,Destrava as missões de patrulha. As missões de patrulha dão recompensas de experiência acima da média para seguidores.,2,8,230412,224797,0,1,3600,824,150,142,36,975738,1224,1223,0,1,0,0,10,1
27,Quartel,Quartel,O Quartel abriga as forças militares e os seguidores da sua Guarnição.,Permite que um seguidor com a especialização guarda-costas acompanhe você pelas áreas de Draenor.,2,8,230413,224798,0,2,3600,824,900,143,37,975738,1226,1225,0,3,231,0,300,1
28,Quartel,Quartel,O Quartel abriga as forças militares e os seguidores da sua Guarnição.,Aumenta o limite de seguidores em 5 e dá acesso a estandartes e guardas raciais.,2,8,230414,224799,0,3,3600,824,1200,144,38,975738,1228,1227,5,5,231,0,500,1
29,Jardim de Herborismo,Jardim de Herborismo,Um jardim fértil para plantar e colher ervas de Draenor.,Transforma as Sementes Draenorianas em ervas todos os dias e disponibiliza nodos de herborismo no jardim.,2,2,230415,224800,0,1,3600,824,50,137,59,134221,1230,1229,0,7,0,0,0,0
34,Taverna da Muralha de Gelo,Estalagem de Quedaluna,"Aventura!  Emoção! Um Herói e seus seguidores precisam de tudo isso, além de um lugar para descansar depois.","Todos os dias, haverá um visitante na estalagem oferecendo missões de masmorra com recompensas generosas.",2,5,230416,224805,0,1,3600,824,100,7,6,134414,1234,1233,0,1,0,0,150,1
35,Taverna da Muralha de Gelo,Estalagem de Quedaluna,"Aventura!  Emoção! Um Herói e seus seguidores precisam de tudo isso, além de um lugar para descansar depois.",Recruta seguidores aleatórios toda semana. Você pode especificar as especializações e habilidades nas quais tem interesse.,2,5,230417,224806,0,2,3600,824,300,138,31,134414,1236,1235,0,3,0,0,300,1
36,Taverna da Muralha de Gelo,Estalagem de Quedaluna,"Aventura!  Emoção! Um Herói e seus seguidores precisam de tudo isso, além de um lugar para descansar depois.",Desbloqueia as missões de recursos especialmente lucrativas da guarnição.,2,5,230418,224807,0,3,3600,824,600,139,32,134414,1238,1237,0,5,0,0,500,1
37,Tenda dos Espíritos,Torre dos Magos,Permite viagens instantâneas para pontos estratégicos em Draenor!,"Permite coletar Pedras de Pórtico Ôgrico de Ogros em Draenor. Essas pedras de pórtico podem ser usadas para energizar um Pórtico Ôgrico de sua escolha em Draenor. Além disso, ocasionalmente ativa Runas de Poder em combate.",2,13,230419,224808,0,1,3600,824,150,148,28,975740,1240,1239,0,7,0,0,150,1
38,Tenda dos Espíritos,Torre dos Magos,Permite viagens instantâneas para pontos estratégicos em Draenor!,"Dá acesso a um segundo Pórtico Ôgrico, de um total de dois.",2,13,230420,224809,0,2,3600,824,900,149,29,975740,1242,1241,0,14,0,0,300,1
39,Tenda dos Espíritos,Torre dos Magos,Permite viagens instantâneas para pontos estratégicos em Draenor!,"Dá acesso a um terceiro Pórtico Ôgrico, de um total de três.",2,13,230421,224810,0,3,3600,824,1200,150,30,975740,1244,1243,0,21,0,0,500,1
