ID,ClassName_lang,ClassID,PriceModifier,Flags
1,Consumível,0,0.25,0
2,Recipiente,1,0.25,0
3,Arma,2,0.2,1
4,Gema,3,0.25,0
5,Armadura,4,0.2,0
6,Reagente,5,0.25,0
7,Projétil,6,0.25,0
8,Perícia profissional,7,0.25,0
9,Aperfeiçoamento de Item,8,0.25,0
10,Receita,9,0.25,0
11,Money(OBSOLETE),10,0.25,0
12,Aljava,11,0.25,0
13,Missão,12,0.25,0
14,Chave,13,0.25,0
15,Permanent(OBSOLETE),14,0.25,0
16,Diversos,15,0.25,0
17,Glifo,16,0.25,0
18,Mascotes de Batalha,17,0.25,0
19,Ficha de WoW,18,0.25,0
145,Profissão,19,0,0
147,Moradia,20,0,0
