ID,Name_lang,UiTextureAtlasMemberID,UiTextureKitID
3,Combate,3475,0
4,Genérico,3475,0
5,Reciclar,3567,0
6,Logística,3580,0
7,Vida Selvagem,3572,0
8,Comércio,3575,0
9,Construção,3578,0
10,Provisão,3568,0
11,Recrutamento,3583,0
12,Treinamento,3574,0
13,Patrulha,3582,0
14,Pesquisa,3574,0
15,Defesa,3577,0
16,Exploração,3476,0
17,Cerco,3570,0
18,Alquimia,3571,0
19,Ferraria,3474,0
20,Encantamento,3566,0
21,Engenharia,3581,0
22,Escrivania,3579,0
23,Joalheria,3576,0
24,Couraria,3584,0
25,Alfaiataria,3573,0
35,Tesouro,3575,0
36,Batalha de Mascotes,3572,0
37,Navio-Combate,4613,174
38,Navio-Combustível (Não Usado),4614,175
39,Navio-Treinamento,4617,178
40,Navio-Tesouro,4618,179
41,Navio-CercoA,4615,176
42,Navio-CercoH,4616,177
46,Patrulhando,3582,0
47,Bônus de Navio,4897,220
48,Navio-Lendário,4931,221
49,Navio-CercoIHA,5016,224
50,Navio-CercoIHH,5017,223
51,Área de Suporte - Aliança,5597,244
52,Invasão,3577,224
53,Artefato - Missão do monge,4929,221
54,Genérico (7.0),3475,0
55,Tutorial do 7.0,4929,221
57,Área de Suporte - Horda,5598,245
58,Artefato - Missão de Xamã,4929,221
59,Artefato - Missão de Druida,4929,221
60,Artefato - Missão de Mago,4929,221
61,Artefato - Missão de Caçador,4929,221
63,Artefato - Missão de Paladino,4929,221
64,Artefato - Missão de Bruxo,4929,221
65,Artefato - Missão de Caçador de Demônios,4929,221
66,Artefato - Missão de Ladino,4929,221
67,Artefato - Missão de Sacerdote,4929,221
68,Artefato - Missão de Cavaleiro da Morte,4929,221
69,Artefato - Missão de Guerreiro,4929,221
70,7.0 Class Hall - Campaign Missions,6130,0
71,7.0 Class Hall - Generic Missions,6132,0
72,7.0 Class Hall - Treasure Missions,6128,0
73,7.0 Class Hall - Special Reward Missions,6131,0
74,7.0 Class Hall - Quest Missions,6130,0
75,7.0 Class Hall - Treasure Missions - Dungeon,6128,0
76,7.0 Class Hall - Treasure Missions - Raid,6128,0
79,7.2 Broken Shore - Generic Missions,6132,0
80,8.0 - Generic Missions,7747,0
81,8.0 - Stealth,7749,0
82,8.0 - Quick Strike,7748,0
83,8.0 - Long Campaign,8046,0
184,8.0 - Hub Unlock,7746,0
185,8.1 - Treasure Map,8778,0
186,8.2 - Holiday Mission,7746,0
187,8.2 - Deep Sea,9262,0
188,8.2 Azerite Essence - Treasure,8778,0
189,9.0 Encounter - Maldraxxus,6128,0
190,9.0 Batalha - Ardena,4929,0
191,9.0 Encounter - Revendreth,7748,0
192,9.0 Encounter - Bastion,6130,0
193,9.0 Confronto - Tazavesh,6128,0
194,9.0 Confronto - Ataque da Gorja,6128,0
195,9.0 Encounter - Treasure,6128,0
196,9.2 Confronto - Zereth Mortis,6128,0
