ID,Name_lang,TypeID,Parent_group_ID,Order_index
1,Masmorras Clássicas,1,0,114
2,Burning Crusade Normal,1,0,113
3,Burning Crusade Heroico,1,0,112
4,Wrath of the Lich King Normal,1,0,111
5,Wrath of the Lich King Heroico,1,0,110
6,Raide Clássica,2,0,522
7,Raide do Burning Crusade,2,0,521
8,Raide do Wrath of the Lich King (10),2,0,520
9,Raide do Wrath of the Lich King (25),2,0,519
11,Eventos Globais,0,0,10
12,Cataclysm Heroico,1,0,108
13,Cataclysm Normal,1,0,109
14,Raide do Cataclysm (25),2,0,517
15,Raide do Cataclysm (10),2,0,518
20,Campo de Batalha Ranqueado,2,0,1024
33,Hora do Crepúsculo Modo Heroico:,1,0,107
36,Mists of Pandaria Heroico,1,0,105
37,Mists of Pandaria Normal,1,0,106
38,Cenários,1,0,1025
40,Raide de Mists of Pandaria (25),2,0,516
41,Raide de Mists of Pandaria (10),2,0,515
43,Cenários Heroicos,1,0,1026
44,Caminhada Temporal,0,0,1027
45,Raide de Mists of Pandaria (Flexível),2,0,514
46,Chefe de Mundo de Mists of Pandaria,2,0,513
47,Warlords of Draenor Normal,1,0,104
48,Warlords of Draenor Heroico,1,0,103
49,Raide de Warlords of Draenor (Normal),2,0,510
50,Raide de Warlords of Draenor (Heroico),2,0,511
51,Raide de Warlords of Draenor (Mítico),2,0,512
52,Legion Heroico,1,0,102
53,Legion Normal,1,0,101
54,Raide de Legion (Normal),2,0,507
55,Raide de Legion (Heroica),2,0,508
56,Raide de Legion (Mítica),2,0,509
57,Battle for Azeroth Normal,1,0,99
58,Battle for Azeroth Heroica,1,0,100
159,Raide de Battle for Azeroth (Normal),2,0,510
160,Raide de Battle for Azeroth (Heroico),2,0,511
161,Raide de Battle for Azeroth (Mítico),2,0,512
162,Mítica de Battle for Azeroth,1,0,101
163,Terras Sombrias Mítica,1,0,98
164,Terras Sombrias Heroica,1,0,97
165,Terras Sombrias Normal,1,0,96
166,Rincão do Exílio,1,0,115
167,Raide de Shadowlands (Mítico),2,0,95
168,Raide de Shadowlands (Heroico),2,0,94
169,Raide de Shadowlands (Normal),2,0,93
170,Dragonflight Mítica,1,0,92
171,Dragonflight Heroica,1,0,91
172,Dragonflight Normal,1,0,90
173,Seguidor de Dragonflight,1,0,90
177,The War Within Normal,1,0,87
178,The War Within Heroica,1,0,88
180,Seguidor de Mists of Pandaria,1,0,106
182,Masmorras de Trilha Temporal,0,0,1028
183,Masmorras Heroicas de Trilha Temporal,0,0,1029
184,Cenários de Trilha Temporal,1,0,1030
185,Cenários Heroicos de Trilha Temporal,1,0,1031
186,The War Within Heroica: Série 1,1,0,89
192,The War Within Heroica: Série 2,1,0,89
194,The War Within Heroica: Série 3,1,0,89
