ID,Tooltip_lang,Name_lang,Field_8_2_0_30430_003
57,Número de vezes que você capturou a bandeira,Capturas de bandeira,0
58,Número de vezes que você destruiu muralhas inimigas.,Muralhas destruídas,0
59,Número de vezes que você destruiu prédios inimigos.,Prédios destruídos,0
60,Número de vezes que você destruiu portões.,Portões destruídos,0
61,Número de vezes que a captura de cemitérios foi impedida.,Cemitérios defendidos,0
62,Número de vezes em que você pegou a Bandeira no campo e a devolveu à base,Recuperações de bandeira,0
63,Número de vezes que estandartes de torres inimigas foram removidos,Torres atacadas,0
64,Número de unidades secundárias ativadas,Objetivos secundários,0
65,Número de vezes que estandartes de bases inimigas foram removidos,Bases atacadas,0
67,Número de vezes que a captura de torres foi impedida,Torres defendidas,0
69,Número de vezes que a captura de bases foi impedida,Bases defendidas,0
70,Número de vezes que você destruiu demolidores,Demolidores destruídos,0
71,Número de vezes que estandartes de cemitérios inimigos foram removidos,Cemitérios atacados,0
75,Número de vagonetes dos quais você ajudou a assumir o controle,Vagonetes controlados,0
78,Número de vezes em que você capturou o vagonete inimigo,Vagonetes capturados,0
79,Número de vezes em que você pegou o vagonete no campo e o devolveu à base,Vagonetes recuperados,0
81,Número de vezes em que a captura de uma mina foi impedida,Minas defendidas,0
87,Número de vezes em que você controlou um orbe,Posses do orbe,0
88,Número de Pontos de Vitória recebidos,Pontos de vitória,0
89,Contribuição para a vitória,Pontuação,0
98,Total de Fragmentos de Artefato que você coletou e entregou.,Artefatos coletados,0
99,Total de Azerita coletada.,Azerita coletada,0
102,Número de ingredientes coletados,Ingredientes coletados,0
1092,Número de vezes que estandartes de bases inimigas foram removidos,Minas atacadas,0
1093,Número de vezes que você capturou a bandeira,Capturas de bandeira,0
1097,Rodadas Vencidas,Rodadas|nvencidas,0
