Name_lang,Description_lang,ID,TriggerEnum,Flags
,,1,1,3
,,2,2,0
Locais,"|cnHIGHLIGHT_FONT_COLOR:Todos os locais:|r Esta roupa é válida para todas as localizações. Roupas atribuídas a uma localização específica terão prioridade.|n|n|cnHIGHLIGHT_FONT_COLOR:Áreas de descanso:|r Áreas sem combate, como cidades e vizinhanças.|n|n|cnHIGHLIGHT_FONT_COLOR:Casa:|r A casa do seu Bando de Guerra.|n|n|cnHIGHLIGHT_FONT_COLOR:Seleção de personagem:|r A exibição do acampamento do seu Bando de Guerra, bem como a visualização individual.|n|n|cnHIGHLIGHT_FONT_COLOR:Mundo:|r Áreas de combate externas.",3,3,4
Movimentação,Escolha o tipo de movimento para as quais esta roupa é válida.,4,4,4
Especialização,Escolha as especializações para as quais esta roupa é válida.,5,5,4
Conjuntos de equipamento,Escolha os conjuntos de equipamento para os quais esta roupa é válida.,6,6,4
Formas raciais,Escolha as formas raciais para as quais esta roupa é válida.,7,7,4
,,9,8,0
Clima,Escolha as condições climáticas para as quais esta roupa é válida.,11,9,4
Hora do Dia,Escolha as horas do dia para as quais esta roupa é válida.,12,10,4
