ID,BaseTag,TagText_lang,Flags
9597,BUG_BUTTON,Erros e sugestões,1
9598,CHARACTER_BUTTON,Informações do Personagem,1
9599,MAINMENU_BUTTON,Menu do Jogo,3
9600,QUESTLOG_BUTTON,Registro de Missões,1
9601,SPELLBOOK_BUTTON,Grimório,1
9602,BACKPACK_TOOLTIP,Mochila,5
9603,INVENTORY_TOOLTIP,Inventário,5
9605,MELEE_ATTACK,Ataque corpo a corpo,1
9606,ATTACK_SPEED_SECONDS,Velocidade de ataque (segundos),1
9607,UNSPENT_TALENT_POINTS,Pontos de talento não usados: %s,1
9610,DAMAGE_BONUS_TOOLTIP,Aumenta o dano com armas,1
9613,EXPERIENCE_COLON,Experiência:,1
9614,GUILD_TEMPLATE,%s de %s,1
9615,HEALTH_COLON,Pontos de vida:,1
9616,INTELLECT_COLON,Intelecto:,1
9617,DEFENSE_TOOLTIP,Defesa,1
9618,MAGIC_RESISTANCES_COLON,Resistências à magia:,1
9619,MANA_COLON,Mana:,1
9620,MODIFIERS_COLON,Modificadores:,1
9621,PLAYER_LEVEL,|c%2$s%4$s (%3$s)|r Nível %1$s,1
9622,PROFICIENCIES_COLON,Proficiências:,1
9623,SPIRIT_COLON,Espírito:,1
9625,REPUTATION,Reputação,5
9626,RESISTANCE0_NAME,Armadura,1
9627,RESISTANCE1_NAME,Resistência ao Sagrado,5
9628,RESISTANCE2_NAME,Resistência ao Fogo,5
9629,RESISTANCE3_NAME,Resistência à Natureza,5
9630,RESISTANCE4_NAME,Resistência ao Gelo,5
9633,STRENGTH_COLON,Força:,1
9634,TITLE_TEMPLATE,%s de %s,1
9635,CONTAINER_SLOTS,%2$s de %1$d compartimentos,1
9636,EQUIP_CONTAINER,Equipar-se com recipiente,1
9637,HEADSLOT,Cabeça,1
9638,NECKSLOT,Pescoço,1
9639,SHOULDERSLOT,Ombros,1
9640,BACKSLOT,Costas,1
9641,SHIRTSLOT,Camisa,1
9642,CHESTSLOT,Torso,1
9643,WAISTSLOT,Cintura,1
9644,LEGSSLOT,Pernas,1
9645,FEETSLOT,Pés,1
9646,WRISTSLOT,Pulsos,1
9647,HANDSSLOT,Mãos,1
9648,FINGER1SLOT,Dedo,1
9649,TRINKET0SLOT,Berloque,1
9650,TRINKET1SLOT,Berloque,1
9651,MAINHANDSLOT,Mão principal,1
9652,SECONDARYHANDSLOT,Mão secundária,1
9653,RANGEDSLOT,Longo alcance,1
9654,BAGSLOT,Bolsa,1
9655,INVTYPE_HEAD,Cabeça,5
9656,INVTYPE_NECK,Pescoço,5
9657,INVTYPE_BODY,Camisa,5
9658,INVTYPE_CHEST,Torso,5
9659,INVTYPE_LEGS,Pernas,5
9660,INVTYPE_FEET,Pés,5
9661,INVTYPE_WRIST,Pulsos,5
9662,INVTYPE_HAND,Mãos,5
9663,INVTYPE_FINGER,Dedo,5
9664,INVTYPE_WEAPON,Uma Mão,5
9665,INVTYPE_WEAPONOFFHAND,Mão Secundária,5
9666,INVTYPE_SHIELD,Mão Secundária,5
9667,INVTYPE_RANGED,Longo alcance,5
9668,INVTYPE_CLOAK,Costas,5
9669,INVTYPE_2HWEAPON,Duas mãos,5
9670,INVTYPE_BAG,Bolsa,5
9671,INVTYPE_HOLDABLE,Empunhado na mão secundária,5
9672,BANK_BAG,Compartimento de bolsa,1
9673,ITEMSLOTTEXT,Espaços para itens,1
9674,BAGSLOTTEXT,Espaços para bolsas,1
9675,BANKSLOTPURCHASE_LABEL,Deseja comprar espaço para uma bolsa adicional?,1
9676,BANKSLOTPURCHASE,Comprar,1
9677,ADD_FRIEND,Adicionar amigo,3
9678,ADD_IGNORE_LABEL,Digite o nome do jogador a ignorar\nou\nmantenha a tecla Shift pressionada e clique em um nome na janela de bate-papo:,1
9679,REMOVE_FRIEND,Remover amigo,3
9680,GROUP_INVITE,Convidar,3
9681,SEND_MESSAGE,Enviar recado,3
9682,FRIENDS,Amigos,3
9683,FRIENDS_LIST,Lista de amigos,3
9684,IGNORE,Ignorar,3
9685,IGNORE_PLAYER,Ignorar Jogador,3
9686,GROUPS,Grupos,1
9687,WHO,Quem,1
9688,FRIENDS_LIST_TEMPLATE,|cffffffff- %s|r %s,3
