ID,Name_lang,InstanceType,OrderIndex,OldEnumValue,FallbackDifficultyID,MinPlayers,MaxPlayers,Flags,ItemContext,ToggleDifficultyID,GroupSizeHealthCurveID,GroupSizeDmgCurveID,GroupSizeSpellPointsCurveID,Field_1_15_4_56400_013
1,Normal,1,1,0,0,5,5,4,1,0,0,0,0,0
2,Heroico,1,2,1,1,5,5,5,2,0,0,0,0,0
3,10 jogadores,2,1,0,0,10,10,38,4,5,0,0,0,0
4,25 jogadores,2,3,1,0,25,25,36,5,6,0,0,0,0
5,10 jogadores (Heroico),2,2,2,3,10,10,37,3,3,0,0,0,0
6,25 jogadores (Heroico),2,4,3,4,25,25,37,6,4,0,0,0,0
7,Procurando Raide,2,5,4,4,25,25,16,83,0,0,0,0,0
8,Pedra-chave Mítica,1,5,-1,23,5,5,1,16,0,0,0,0,0
9,40 jogadores,2,7,-1,0,40,40,36,3,0,0,0,0,0
11,Cenário Heroico,5,2,-1,12,3,3,1,10,0,0,0,0,0
12,Cenário normal,5,1,-1,0,5,5,2,9,0,0,0,0,0
14,Normal,2,3,-1,0,10,30,6,3,0,0,0,0,0
15,Heroico,2,4,-1,14,10,30,68,5,0,0,0,0,0
16,Mítico,2,5,-1,15,20,20,133,6,0,0,0,0,0
17,Procurando Raide,2,6,-1,14,10,30,16,4,0,0,0,0,0
18,Evento,2,4,-1,0,40,40,16,0,0,0,0,0,0
19,Evento,1,4,-1,0,5,5,16,0,0,0,0,0,0
20,Cenário de Evento,5,3,-1,0,25,25,0,0,0,0,0,0,0
23,Mítico,1,3,-1,2,5,5,133,23,0,0,0,0,0
24,Caminhada Temporal,1,6,-1,2,5,5,512,22,0,0,0,0,0
25,Cenário JxJ Mundial,5,4,-1,0,0,40,16,0,0,0,0,0,0
29,Cenário JxAxJ,3,5,-1,0,0,5,16,0,0,0,0,0,0
30,Evento,5,7,-1,0,6,6,0,9,0,0,0,0,0
32,Cenário JxJ Mundial,5,4,-1,0,0,40,16,0,0,0,0,0,0
33,Caminhada Temporal,2,7,-1,14,10,30,528,22,0,0,0,0,0
34,JxJ,3,7,-1,0,5,5,0,7,0,0,0,0,0
38,Normal,5,1,0,0,1,3,22,0,0,0,0,0,0
39,Heroico,5,2,1,38,1,3,84,0,0,0,0,0,0
40,Mítico,5,3,-1,39,1,3,148,0,0,0,0,0,0
45,JxJ,5,3,-1,39,1,3,340,0,0,0,0,0,0
147,Normal,5,1,-1,0,5,5,18,9,0,0,0,0,0
149,Heroico,5,2,-1,0,10,30,80,10,0,0,0,0,0
150,Autoajuste Normal (1-5),1,1,-1,0,1,5,2,1,0,0,0,0,0
151,Procurando raide,2,6,-1,17,10,30,16,4,0,0,0,0,0
152,Visões de N'Zoth,5,1,-1,0,1,5,18,9,0,0,0,0,0
153,Ilha Apinhada,5,8,-1,39,10,10,340,0,0,0,0,0,0
167,Thanator,5,1,-1,0,1,5,18,9,0,0,0,0,0
168,Caminho da Ascensão: Coragem,5,7,-1,0,1,1,0,0,0,0,0,0,0
169,Caminho da Ascensão: Lealdade,5,7,-1,0,1,1,0,0,0,0,0,0,0
170,Caminho da Ascensão: Sabedoria,5,7,-1,0,1,1,0,0,0,0,0,0,0
171,Caminho da Ascensão: Humildade,5,7,-1,0,1,1,0,0,0,0,0,0,0
172,Chefe Mundial,0,7,-1,0,1,40,4,81,0,0,0,0,0
192,Nível de Desafio 1,0,8,-1,0,1,40,4,25,0,0,0,0,0
205,Seguidor,1,7,-1,1,5,5,0,1,0,0,0,0,0
208,Imersões,5,1,-1,0,1,5,2,9,0,0,0,0,0
216,Missão,1,8,-1,1,5,5,0,1,0,0,0,0,0
220,História,2,9,-1,0,10,10,0,0,0,0,0,0,0
230,Heroico,0,9,-1,0,1,1,582,0,0,0,0,0,0
232,Evento,1,4,-1,0,5,5,16,0,0,0,0,0,0
