Description_lang,ID,MapID
Capturas de bandeira,42,489
Recuperações de bandeira,44,489
Torres atacadas,61,30
Cemitérios atacados,63,30
Torres defendidas,64,30
Cemitérios defendidos,65,30
Objetivos secundários,82,30
Bases atacadas,122,529
Bases defendidas,123,529
Capturas de bandeira,183,566
Muralhas destruídas,215,571
Prédios destruídos,216,571
Portões destruídos,231,607
Demolidores destruídos,232,607
Bases atacadas,245,628
Bases defendidas,246,628
Capturas de bandeira,290,726
Recuperações de bandeira,291,726
Bases atacadas,370,761
Bases defendidas,371,761
Bases atacadas,391,968
Bases defendidas,392,968
Capturas de bandeira,393,968
Posses do orbe,418,998
Pontos de vitória,419,998
Capturas de bandeira,422,1010
Recuperações de bandeira,423,1010
Vagonetes controlados,428,727
Vagonetes capturados,457,1105
Vagonetes recuperados,458,1105
Minas atacadas,459,1105
Minas defendidas,460,1105
Pontuação,501,451
Bases atacadas,679,1681
Bases defendidas,680,1681
Bases atacadas,688,2177
Bases defendidas,690,2177
Azerita coletada,744,1803
Capturas de bandeira,762,1740
Recuperações de bandeira,763,1740
Ingredientes coletados,923,1691
Bases atacadas,926,2107
Bases defendidas,927,2107
Capturas de bandeira,928,2106
Recuperações de bandeira,929,2106
Artefatos coletados,931,1191
Bases atacadas,1001,2245
Bases defendidas,1002,2245
Torres atacadas,1003,2197
Objetivos secundários,1004,2197
Cemitérios defendidos,1005,2197
Torres defendidas,1006,2197
Cemitérios atacados,1007,2197
Rodadas Vencidas,1008,1505
Rodadas Vencidas,1009,1672
Rodadas Vencidas,1010,1134
Rodadas Vencidas,1011,980
Rodadas Vencidas,1012,572
Rodadas Vencidas,1013,1911
Rodadas Vencidas,1014,1504
Rodadas Vencidas,1015,2509
Rodadas Vencidas,1016,2511
Rodadas vencidas,1017,2547
Rodadas vencidas,1018,2563
Capturas da Bandeira,1020,2656
Vagonetes controlados,1021,2656
Rodadas vencidas,1022,2759
