Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Yellow [DNT],[DNT] This is a UI Engineering test SubTree.,9,18688,898
Pink [DNT],[DNT] This is a UI Engineering test SubTree.,10,4076,898
Blue [DNT],[DNT] This is a UI Engineering test SubTree.,11,4073,898
Red [DNT],[DNT] This is a UI Engineering test SubTree.,12,11358,898
UI Test Subtree 1,Descrição,16,11409,878
UI Test Subtree 2,Outra Descrição,17,0,880
Tececaos,"Tececaos dedicam-se ao estudo das origens da magia do Caos e estabelecem uma tênue conexão com ele. É um poder extremamente perigoso e volátil, que consome tudo no caminho.",18,26682,795
Arconte,"Arcontes são muito pios e têm uma ligação forte com a Luz e a Sombra. Com bênçãos de seres superiores, entram em um estado ascendido, o que os transforma na sua melhor versão.",19,27430,795
Oráculo,Oráculos vislumbram o futuro e usam isso para proteger e fortalecer aliados. A visão do futuro dá aos Oráculos a habilidade de conceder bênçãos e benefícios únicos aos aliados antes mesmo de precisarem.,20,26934,795
Druida da Garra,"Druidas da Garra dominam poderosas formas animais. Quando se transformam em gatos ou ursos, tornam-se ferozes combatentes e protetores da natureza.",21,26675,793
Espreitador Selvagem,"Espreitadores Selvagens vivem nas regiões remotas, caçando para perpetuar o ciclo de vida e morte e para destruir aqueles que despojam a natureza. Eles usam os poderes curativos para restaurar a vida a áreas inférteis.",22,26677,793
Guardião do Bosque,Os Guardiões do Bosque se inspiram nos poderosos filhos de Cenarius para proteger o equilíbrio da natureza e salvaguardar o Sonho. Canalizam o poder do Sonho para fortalecer os feitiços e evocar arvorosos fortalecidos para proteger os aliados e esmagar os inimigos.,23,26686,793
Escolhido de Eluna,"Os Escolhidos de Eluna se dedicam à Deusa de Lua e partilham de sua conexão com a lua e as estrelas. Evocam magias lunares potentes, e suas habilidades são imbuídas de poder astral.",24,26685,793
Causador de Dano,Brann abate inimigos de longe usando o Véio de Guerra.,29,24179,874
Curador,Brann usa os suprimentos médicos e relíquias coletadas para curar jogadores feridos.,30,24186,874
San'layn,Os San'layn são mestres no uso da magia sombria e sangrenta para enfraquecer os inimigos e fortalecer as próprias capacidades.,31,26673,750
Cavalgante do Apocalipse,"Cavalgantes do Apocalipse evocam o poder dos lendários Quatro Cavaleiros. Eles podem pedir ajuda aos Cavaleiros e usar os poderes da morte, da fome e da doença.",32,27222,750
Mortífero,"Torne-se um emissário da morte. Invista contra a alma dos inimigos com ataques alimentados pelas Terras Sombrias, e relembre-os do fim inevitável.",33,26672,750
Marcado por Vileza,Os Marcados pela Vileza aceitam o demônio interior e amplificam o poder explosivo do Fogo Vil que usam.,34,27066,854
Aniquilador Aldrachi,"Os guerreiros Aldrachi eram os supremos mestre das glaives e brandiam as lâminas com graça mortal, consumindo almas e imbuindo as armas em grande poder.",35,27132,854
Comandante-de-escama,"Comandantes-de-escama são líderes natos, capazes de inspirar todos a se aprimorar. São os generais escolhidos dos dracthyr e usam feitiços potencializados para comandar a batalha e evocar tropas.",36,27067,872
Moldachamas,"Moldachamas estão fortemente sintonizados com Alexstrasza e se especializam em proteger aliados, recuperação e renovação. Também têm a habilidade única de espalhar, intensificar e manipular chama de dragão.",37,27223,872
Cronoguarda,"Os Cronoguardas podem manipular o tempo, recebendo visões do futuro para acelerar seus ataques ou resgatando ecos do passado para revisitar ações. A especialização em magia bronze pode provocar instabilidades, devido aos muitos possíveis futuros que eles enxergam.",38,26678,872
Solfúria,"Ao abraçar chamas arcanas, magos Solfúria melhoram seus sortilégios mais devastadores, evocando uma fênix de fogo místico.",39,27133,658
Lançafeitiços,"Dominar a natureza da magia, inerentemente instável, permite que os Lançafeitiços estilhacem sua magia, criando novos efeitos potentes e voláteis.",40,27429,658
Fogofrio,"Magos de Fogofrio controlam forças elementais aparentemente incompatíveis. Com o domínio de forças opostas, melhoram seus ataques elementais, podendo aumentar seu poder ao combiná-los.",41,27017,658
Sentinela,"Sentinelas retiram poder das forças da natureza, causando mais dano Arcano com suas habilidades e evocando o poder da lua para semear destruição entre os inimigos.",42,27529,774
Líder da Alcateia,"Líderes da Alcateia formam um vínculo profundo com os companheiros animais e com a própria natureza, permitindo ao Caçador e à matilha caçar com coordenação brutal no campo de batalha e pedir ajuda a feras poderosas.",43,27068,774
Patrulheira Sombria,"Aceite o ódio ataque das sombras, atacando os inimigos com habilidades necróticas energizadas pela sombra. Inimigos que tombarem por suas habilidades fortalecerão ainda mais suas energias sombrias.",44,26679,774
