ID,Name_lang,SafeLocID,PlayerConditionID,Flags,Field_8_2_0_30080_005,Field_8_2_0_30080_006,WaypointMapVolumeID
6,Usar o portal do Sacrário dos Teurgos até a Floresta de Jade,7262,67395,4,1,10,0
7,"Sacrário dos Teurgos, Portal para Floresta de Jade",7263,924,0,2,0,0
8,Sair do Sacrário dos Teurgos,7264,924,4,0,30,0
9,Entrar no Sacrário dos Teurgos,7266,924,0,0,0,0
10,Usar o portal do Santuário Oriental da Terra até Uldum,7267,37426,0,1,0,0
11,Usar o portal do Santuário Oriental da Terra até o Monte Hyjal,7268,37427,0,1,0,0
12,Usar o portal do Santuário Oriental da Terra até o Planalto do Crepúsculo,7269,37428,0,1,0,0
13,Usar o portal do Santuário Oriental da Terra até Vashj'ir,7270,57340,0,1,0,0
14,Usar o portal do Santuário Oriental da Terra até Tol Barad,7271,924,0,1,0,0
15,Usar o portal do Santuário Oriental da Terra até o Geodomo,7272,37429,0,1,0,0
16,Uldum,7273,0,0,2,0,0
17,Monte Hyjal,7274,0,0,2,0,0
18,Usar o portal de Nordrassil até Ventobravo,7275,924,0,1,0,0
19,"Ventobravo, Santuário Oriental da Terra",7276,924,0,2,0,0
20,Planalto do Crepúsculo,7277,924,0,2,0,0
21,Vashj'ir,7278,924,0,2,0,0
22,"Santuário Oriental da Terra, Portal para Tol Barad",7279,924,0,2,0,0
23,Usar o portal da Base de Operações de Baradin até Ventobravo,7280,924,0,1,0,0
24,Geodomo,7281,924,0,2,0,0
25,Usar o portal do Templo da Terra até Ventobravo,7282,924,0,1,0,0
26,Usar o portal da Aldeia Pata'don até Ventobravo,7283,924,0,1,0,0
27,Usar o portal do Sacrário dos Teurgos até a Floresta do Canto Cristalino,7284,76876,4,1,10,0
28,"Sacrário dos Teurgos, Portal para Floresta do Canto Cristalino",7285,924,0,2,0,0
29,Usar o portal do Enclave Prateado até Ventobravo,7286,924,0,1,0,0
30,Usar o portal do Sacrário dos Teurgos até a Exodar,7287,924,4,1,10,0
31,"Sacrário dos Teurgos, Portal para Exodar",7288,924,0,2,0,0
32,Usar o portal da Ilha Névoa Lazúli até Darnassus,7289,924,1,1,0,0
33,"Costa Negra, Portal para Darnassus",7290,924,0,2,0,0
36,Usar o portal dos Degraus do Destino até Ventobravo,7293,924,0,1,0,0
37,Usar o portal do Sacrário dos Teurgos até Shattrath,7294,6289,4,1,10,0
38,"Shattrath, Terraço da Luz",7295,0,0,2,0,0
39,Usar o portal do Terraço da Luz até a Ilha de Quel'Danas,7296,0,0,1,0,0
40,"Terraço da Luz, Portal para Ilha de Quel'Danas",7297,0,0,2,0,0
41,Usar o portal do Terraço da Luz até a Ventobravo,7298,924,0,1,0,0
42,Usar o portal do Sacrário dos Teurgos até Ashran,7299,67397,4,1,10,0
43,"Ashran, Escudo Tonante",7300,924,2,2,0,0
44,Usar o portal de Escudo Tonante até Darnassus,7301,924,1,1,0,0
45,Usar o portal de Escudo Tonante até Altaforja,7302,924,1,1,0,0
46,"Escudo Tonante, Portal para Altaforja",7303,924,0,2,0,0
47,Usar o portal de Escudo Tonante até Ventobravo,7304,924,0,1,0,0
48,Usar o portal do Sacrário dos Teurgos até Azsuna,7305,67396,4,1,10,0
49,"Sacrário dos Teurgos, Portal para Azsuna",7306,924,0,2,0,0
50,Usar o portal do Palácio Desabado até Ventobravo,7307,924,0,1,0,0
51,Usar o portal do Sacrário dos Teurgos até Boralus,7308,67398,4,1,10,0
52,"Sacrário dos Teurgos, Portal para Boralus",7309,924,0,2,0,0
53,Usar o portal do Enclave Presagris até Ventobravo,7314,924,0,1,0,0
54,Usar o portal do Santuário das Sete Estrelas até Ventobravo,7315,924,0,1,0,0
55,Usar o portal do Salão dos Mistérios até a Península Fogo do Inferno,7316,924,1,1,0,0
56,"Degraus do Destino, Portal para Ventobravo",7317,924,1,2,0,0
57,Entrar no Metrô Correfundo,7318,924,0,1,0,0
58,Saída para Altaforja,7319,924,0,2,0,0
59,Embarcar no Metrô,7320,924,0,0,0,0
60,Embarcar no Metrô,7321,924,0,0,0,0
61,Usar o portal do Sacrário dos Sábios até Ventobravo,7322,62085,0,1,0,0
62,Usar o portal do Sacrário dos Sábios até a Exodar,7323,62085,0,1,0,0
63,Usar o portal do Sacrário dos Sábios até Altaforja,7324,62085,0,1,0,0
64,Tomar o barco de Ventobravo até Boralus,7325,924,0,1,0,0
65,Tomar o barco de Boralus até Ventobravo,7326,924,0,1,0,0
66,Tomar o barco de Ventobravo até a Bastilha Valentia,7327,924,0,0,0,0
67,Tomar o barco da Bastilha Valentia até Ventobravo,7343,924,0,0,0,0
68,Tomar o barco da Baía de Baradin até a Ilha Theramore,7328,924,0,0,0,0
69,Tomar o barco da Ilha Theramore até o Porto de Menethil,7329,924,0,0,0,0
