ID,Name_lang,ResourceName_lang,Verb_lang,CursorName,EnumID,TrackingIcon
1,Arrombamento,Itens trancados,Arrombar,PickLock,0,0
2,Herborismo,Plantas,Coletar,GatherHerbs,1,17635
3,Mineração,Depósitos de minério,Mina,Mine,2,17636
4,Desarmar armadilha,Armadilha,Desarmar,,3,0
5,Abrir,Itens destrancados,Abrir,,4,0
6,Treasure (DND),Treasure,,,5,0
7,Calcified Elven Gems (DND),Calcified Elven Gems,,,6,0
8,Fechar,Itens destrancados,Fechar,,7,0
9,Preparar armadilha,Armadilha,Preparar,,8,0
10,Abrir rápido,Itens destrancados,Abrir,,9,0
11,Fechar rápido,Itens destrancados,Fechar,,10,0
12,Abrir improvisando,Itens destrancados,Abrir,,11,0
13,Abrir ajoelhando-se,Itens destrancados,Abrir,,12,0
14,Abrir atacando,Itens destrancados,Abrir,,13,0
15,Gahz'ridian (DND),Gahz'ridian,,,14,0
16,Explodindo,Itens trancados,Explodir,,15,0
17,Abrir JxJ,Itens destrancados,Abrir,,16,0
18,Fechar JxJ,Itens destrancados,Fechar,,17,0
19,Fishing (DND),Fish,Fish,FishingCursor,18,17634
20,Escrivania,Tomos,Decifrar,,19,0
21,Abrir em um veículo,Itens destrancados,Abrir,,20,0
22,Arqueologia,Fragmentos,Levantamento,,21,0
23,Abrir Rápido JxJ,Itens destrancados,Abrir,,22,0
28,Serraria,Lenho,Colher,HarvestTimber,23,0
29,Esfolamento,Couro,Esfolar,skin,24,0
30,Mana Ancestral,Depósitos de Mana,Extrair,Extract,25,0
31,Tabuleiro de Guerra,Tabuleiros de Guerra,Inspecionar,,26,0
32,Herborismo,Plantas,Coletar,GatherHerbs,27,17635
33,Herborismo,Plantas,Coletar,GatherHerbs,28,17635
34,Herborismo,Plantas,Coletar,GatherHerbs,29,17635
35,Herborismo,Plantas,Coletar,GatherHerbs,30,17635
36,Herborismo,Plantas,Coletar,GatherHerbs,31,17635
37,Herborismo,Plantas,Coletar,GatherHerbs,32,17635
38,Herborismo,Plantas,Coletar,GatherHerbs,33,17635
39,Herborismo,Plantas,Coletar,GatherHerbs,34,17635
40,Mineração,Depósitos de Minério,Minerar,Mine,35,17636
41,Mineração,Depósitos de Minério,Minerar,Mine,36,17636
42,Mineração,Depósitos de Minério,Minerar,Mine,37,17636
43,Mineração,Depósitos de Minério,Minerar,Mine,38,17636
44,Mineração,Depósitos de Minério,Minerar,Mine,39,17636
45,Mineração,Depósitos de Minério,Minerar,Mine,40,17636
46,Mineração,Depósitos de Minério,Minerar,Mine,41,17636
47,Mineração,Depósitos de Minério,Minerar,Mine,42,17636
48,Esfolamento,Couro,Esfolar,skin,43,0
149,Abrir (Abertura de item trancado no inventário),Itens Destrancados,Abrir,,44,0
150,Forrageio,Forragear,Forragear,ForagePlants,45,0
152,Depósito de Geleia,Geleia,Coletar,,46,0
153,Herborismo,Plantas,Coletar,GatherHerbs,47,17635
155,Mineração,Depósitos de Minério,Mina,Mine,48,17636
157,Pacto: Feério Noturno,Itens Destrancados,Abrir,,49,0
158,Pacto: Venthyr,Itens Destrancados,Abrir,,50,0
159,Pacto: Kyriano,Itens Destrancados,Abrir,,51,0
160,Pacto: Necrolorde,Itens Destrancados,Abrir,,52,0
161,Profissão: Engenharia,,Desativar,,53,0
162,Herborismo das Ilhas do Dragão,Plantas,Coletar,GatherHerbs,54,17635
163,Mineração,Depósitos de Minério,Mina,Mine,55,17636
166,Herborismo,Plantas,Coletar,GatherHerbs,56,17635
167,Mineração,Depósitos de Minério,Mina,Mine,57,17636
169,Encantamento,Itens Encantados,Desencantar,,58,0
170,Dragonflight Mítica,Tesouros,Abrir,Open,59,0
172,Dragonflight Normal,Itens Destrancados,Abrir,,60,0
173,Seguidor de Dragonflight,Itens Destrancados,Abrir,,61,0
174,Encantamento das Ilhas do Dragão 25,Itens Destrancados,Abrir,,62,0
175,Engenharia das Ilhas do Dragão 25,Itens Destrancados,Abrir,,63,0
176,Herborismo das Ilhas do Dragão 25,Itens Destrancados,Abrir,,64,17635
177,Escrivania das Ilhas do Dragão 25,Itens Destrancados,Abrir,,65,0
178,Joalheria das Ilhas do Dragão 25,Itens Destrancados,Abrir,,66,0
179,Couraria das Ilhas do Dragão 25,Itens Destrancados,Abrir,,67,0
180,Mineração das Ilhas do Dragão 25,Itens Destrancados,Abrir,,68,17636
181,Esfolamento das Ilhas do Dragão 25,Itens Destrancados,Abrir,,69,0
182,Alfaiataria das Ilhas do Dragão 25,Itens Destrancados,Abrir,,70,0
186,Abrir ajoelhando-se – Planta,Itens Destrancados,Coletando,,71,0
188,Mineração das Ilhas do Dragão,Depósitos de Minério,Mina,Mine,72,17636
193,Mineração de Khaz Algar,Depósitos de minério,Mina,Mine,73,17636
194,Herborismo de Khaz Algar,Plantas,Coletar,GatherHerbs,74,17635
195,Alquimia de Khaz Algar 25,Itens destrancados,Abrir,,75,0
196,Ferraria de Khaz Algar 25,Itens destrancados,Abrir,,76,0
197,Encantamento de Khaz Algar 25,Itens destrancados,Abrir,,77,0
198,Engenharia de Khaz Algar 25,Itens destrancados,Abrir,,78,0
199,Herborismo de Khaz Algar 25,Itens destrancados,Abrir,,79,17635
200,Escrivania de Khaz Algar 25,Itens destrancados,Abrir,,80,0
201,Joalheria de Khaz Algar 25,Itens destrancados,Abrir,,81,0
202,Couraria de Khaz Algar 25,Itens destrancados,Abrir,,82,0
203,Mineração de Khaz Algar 25,Itens destrancados,Abrir,,83,17636
204,Esfolamento de Khaz Algar 25,Itens destrancados,Abrir,,84,0
205,Alfaiataria de Khaz Algar 25,Itens destrancados,Abrir,,85,0
