ID,FeatureDescription_lang,ParentID,FeatureIcon
1,Domine a nova classe Caçador de Demônios,2,1260827
2,Avance até o nível 110 nas Ilhas Partidas,2,1064187
4,Embarque em milhares de novas missões!,5,236669
5,Avance até o Nível 100 no mundo de Draenor,5,1033987
6,Construa e aprimore sua guarnição,5,1033989
7,Embarque em milhares de novas missões!,4,236669
8,Battle to Level 70,4,236567
9,"Unlock nine expansions, including Dragonflight",4,1064187
10,Recrute Raças Aliadas,6,413576
11,Batalhe até o nível 120 em Kul Tiraz e Zandalar,6,1064187
12,Avance rapidamente um personagem para o nível 110,6,1033988
116,Avance até o nível 60 nas Terras Sombrias,115,236567
117,Entre para um Pacto e ganhe o poder dele,115,3726261
118,"Suba em Thanator, a Torre dos Malditos",115,3257863
122,Avance até o nível 70 nas Ilhas do Dragão,135,1064187
123,Domine a nova classe Conjurante Dracthyr,135,4696175
124,Vivencie a emoção da dragonaria,135,4640496
125,Comece a Saga da Alma do Mundo,143,1064187
126,Batalhe até o Nível 80 ganhando novos Talentos Heroicos poderosos,143,135981
127,Explore as Imersões com seu companheiro PNJ,143,1786405
131,Compre Midnight na pré-venda e dê continuidade à épica Saga da Alma do Mundo,149,1778229
132,"Mergulhe já em The War Within com novas Imersões, masmorras e raides",149,6025441
133,Curta sua casa nova ainda este ano com o acesso antecipado à Moradia,149,7252953
