ID,Title_lang,GarrTypeID,ClassID,MaxTiers,UiOrder,Flags,UiTextureKitID,GarrTalentTreeType,PlayerConditionID,FeatureTypeIndex,FeatureSubtypeIndex,CurrencyID
4,,3,10,7,0,0,0,0,0,0,0,0
31,,3,7,7,0,0,0,0,0,0,0,0
107,,3,11,7,0,0,0,0,0,0,0,0
110,,3,9,7,0,0,0,0,0,0,0,0
113,,3,3,7,0,0,0,0,0,0,0,0
116,,3,8,7,0,0,0,0,0,0,0,0
119,,3,2,7,0,0,0,0,0,0,0,0
122,,3,1,7,0,0,0,0,0,0,0,0
125,,3,12,7,0,0,0,0,0,0,0,0
128,,3,6,7,0,0,0,0,0,0,0,0
131,,3,4,7,0,0,0,0,0,0,0,0
134,,3,5,7,0,0,0,0,0,0,0,0
150,,111,0,8,0,0,0,1,0,0,0,0
151,,3,0,7,0,0,253,0,0,0,0,0
152,Pesquisa de Guerra,9,0,6,0,1,0,0,0,0,0,0
153,Pesquisa de Guerra,9,0,6,0,1,0,0,0,0,0,0
260,Visions Research [NYI],9,0,6,0,0,253,0,0,0,0,0
263,Pesquisa da M.A.D.R.E. - Solo,9,0,4,0,0,253,0,0,0,0,0
264,Pesquisa da M.A.D.R.E. - Grupo,9,0,4,0,0,253,0,0,0,0,0
265,Pesquisa da M.A.D.R.E. - Apostador,9,0,2,0,0,253,0,0,0,0,0
266,Pesquisa da M.A.D.R.E. - Velocista,9,0,2,0,0,253,0,0,0,0,0
267,Pesquisa da M.A.D.R.E. - Explorador,9,0,3,0,0,253,0,0,0,0,0
268,Pesquisa da M.A.D.R.E. - Marcos,9,0,2,0,0,253,1,0,0,0,0
271,Pesquisa da M.A.D.R.E.,9,0,6,0,0,5273,1,0,0,0,1719
272,"Nadjia, a Lâmina da Névoa",111,0,5,0,0,253,1,0,6,0,0
275,Tece-sonhos,111,0,12,0,16,0,0,79281,6,3,0
276,Niya,111,0,12,0,16,0,0,79279,6,3,0
304,General Draven,111,0,12,0,16,0,0,79288,6,2,0
307,Rede de Transporte,111,0,3,0,16,0,0,0,2,3,0
308,Rede de Transporte,111,0,3,0,16,5283,0,0,2,1,0
309,Rede de Transporte,111,0,3,0,16,0,0,0,2,2,0
310,Rede de Transporte,111,0,3,0,16,0,0,0,2,4,0
311,Condutor de Ânima,111,0,3,0,16,0,0,0,1,3,0
312,Condutor de Ânima,111,0,3,0,16,5283,0,0,1,1,0
313,Condutor de Ânima,111,0,3,0,16,0,0,0,1,4,0
314,Condutor de Ânima,111,0,3,0,16,0,0,0,1,2,0
315,Mesa de Comando,111,0,3,0,16,0,0,0,3,3,0
316,Mesa de Comando,111,0,3,0,16,5283,0,0,3,1,0
317,Mesa de Comando,111,0,3,0,16,0,0,0,3,2,0
318,Mesa de Comando,111,0,3,0,16,0,0,0,3,4,0
319,Conservatório da Rainha,111,0,5,0,16,0,0,0,5,3,0
320,Caminho da Ascensão,111,0,5,0,16,5283,0,0,5,1,0
321,Fábrica de Abominações,111,0,5,0,16,0,0,0,5,4,0
324,A Corte das Brasas,111,0,5,0,0,0,1,0,5,2,0
325,Arquiteto da Peste Marileth,111,0,12,0,16,0,0,79284,6,4,0
326,Aprimoramentos de Reservatório - Revendreth,111,0,3,0,16,5285,0,0,4,2,0
327,Aprimoramentos de Reservatório - Bastião,111,0,3,0,16,5283,0,0,4,1,0
328,Aprimoramentos de Reservatório - Ardena,111,0,3,0,16,5305,0,0,4,3,0
329,Aprimoramentos de Reservatório - Maldraxxus,111,0,3,0,16,5287,0,0,4,4,0
330,Emeni,111,0,12,0,16,0,0,79285,6,4,0
334,Korayn,111,0,12,0,16,0,0,79283,6,3,0
335,Chris Test Tree Set,3,0,2,0,0,0,0,0,0,0,0
345,Canalizar Ânima,111,0,1,0,0,5283,1,0,7,1,0
346,Canalizar Ânima,111,0,1,0,0,5305,1,0,7,3,0
347,Canalizar Ânima,111,0,1,0,0,5287,1,0,7,4,0
348,Canalizar Ânima,111,0,1,0,0,5285,1,0,7,2,0
349,Osseira Heirmir,111,0,12,0,16,0,0,81502,6,4,0
357,Pelagos,111,0,12,0,16,0,0,81504,6,1,0
360,Kleia,111,0,12,0,16,0,0,81505,6,1,0
365,Mikâniko,111,0,12,0,16,0,0,81506,6,1,0
368,"Nadjia, a Lâmina da Névoa",111,0,12,0,16,0,0,81503,6,2,0
392,"Theotar, o Duque Enlouquecido",111,0,12,0,16,0,0,83261,6,2,0
393,Bastião - Habilidades do Pacto,111,0,2,0,0,5283,1,0,0,1,0
395,Maldraxxus - Habilidades do Pacto,111,0,2,0,0,5287,1,0,0,4,0
396,Revendreth - Habilidades do Pacto,111,0,2,0,0,5279,1,0,0,2,0
397,Ardena - Habilidades do Pacto,111,0,2,0,0,5301,1,0,0,3,0
461,A Caixa de Muitas Coisas,111,0,6,0,4,5400,1,0,0,0,1904
463,Progressão de Maestria de Draco,111,0,9,0,0,0,0,0,0,0,42
465,Console de Aprimoramento de Dispositivo,111,0,3,0,0,253,1,0,0,0,1979
466,Núcleo Progenitor,111,0,4,0,0,5273,1,0,0,0,1979
467,Progressão de Maestria de Draco,111,0,3,0,0,0,1,0,0,0,0
468,Núcleo Progenitor JZB,9,0,7,0,0,5273,0,0,0,0,1979
474,Console de Pesquisa de Cifra,111,0,7,0,12,5415,1,0,8,0,1979
476,Personalização de Pocopoc,111,0,6,0,0,5419,0,0,0,0,0
479,Efígie de Lagarto Trovejante,111,0,3,0,0,5166,1,0,0,0,2011
482,Perícias de Dragonaria,111,0,9,0,0,5273,1,0,0,0,0
483,Cavalete de Equipamento do Caçador de Monstros,111,0,5,0,0,5419,0,0,0,0,0
484,Dragonaria Avançada,111,0,9,0,0,0,1,0,0,0,2045
