ID,Description_lang,OrderIndex,ProfTraitTreeID
1,Cria armaduras de placa Derretida Primeva.,0,105
2,Aumenta a Engenhosidade e Desenvoltura ao criar armaduras de placa.,1,105
3,"Cria um Martelo do Mestre, para consertar gratuitamente sua própria armadura de placa.",2,105
5,Domina a criação de rolos de tecido e Flanelas de Polimento.,1,161
6,Domina a criação de Contratos e Missivas.,2,176
7,Consumir poções fornece pequenos incrementos de velocidade de movimento ou cura.,1,58
8,Cria iscas para atrair criaturas que concedem materiais raros com esfolamento.,0,145
9,Domina a criação de Runas de Fauna e Runas Vantus.,2,148
10,Personaliza as armas e ferramentas criadas com Reagentes Opcionais e de Finalização.,2,102
11,Personaliza as armaduras de couro criadas com Reagentes Opcionais e de Finalização.,2,126
12,Personaliza as armaduras de malha criadas com Reagentes Opcionais e de Finalização.,2,124
13,Personaliza seus anéis e colares com Reagentes Opcionais.,2,131
14,"A prospecção permite descobrir Minério Prismático, contendo uma variedade de gemas.",0,128
15,Melhora a desenvoltura e eficiência de criação.,2,207
16,Encontra sementes mágicas que podem ser plantadas na terra para produzir plantas.,1,235
17,Recebe um bônus de dano contra Feras e Draconianos em ambientes externos.,0,144
18,Aumenta a Engenhosidade e Desenvoltura ao criar armaduras de tecido.,1,164
19,Aumenta a Engenhosidade e Desenvoltura ao criar encantamentos.,2,240
20,Aumenta a Engenhosidade e Desenvoltura ao criar armaduras de couro.,1,126
21,Aumenta a Engenhosidade e Desenvoltura ao criar armaduras de malha.,1,124
22,"Aumenta a Engenhosidade, Desenvoltura e Velocidade de Criação ao criar qualquer desenho de Joalheria.",0,130
23,Aumenta a eficácia da Engenhosidade e da Desenvoltura para todos os desenhos de Joalheria.,1,130
24,Aumenta a sua perícia de criação para todos os desenhos de Joalheria.,0,130
25,Descobre diagramas de reagentes opcionais para personalizar seu equipamento.,1,205
26,"Cria um Martelo do Mestre, um martelo que conserta suas próprias armas.",3,102
27,Aprende receitas de Poções Tóxicas e Frascos por experimentação.,3,59
28,Coleta Peças de Sucata para garimpar em busca de tesouros!,1,207
